July 2015 - Spend abve £25k,,,,,,,,,,,
,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type,Document
Department of Education,OFSTED,09/07/2015,Accommodation Rent,Property Division,Beachcroft Wansbroughs,160044,"£207,570.00",Dilapidation settlement,M2 7LP,Programme Class,PINMAN
Department of Education,OFSTED,03/07/2015,Accommodation Service Charge,Property Division,Bristol City Council,815982,"£261,393.00",Accomodation Rent and Service Charge,BS1 5TR,Admin Class,IMPINMAN
Department of Education,OFSTED,27/07/2015,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,816208,"£26,035.72",Contingent Labour,AL1 4ZX,Admin Class,IMPINMAN
Department of Education,OFSTED,10/07/2015,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,816064,"£25,610.19",Contingent Labour,AL1 4ZX,Admin Class,IMPINMAN
Department of Education,OFSTED,15/07/2015,Temporary Staff,Finance and Resources,Brook Street (Uk) Ltd,816125,"£25,531.85",Contingent Labour,AL1 4ZX,Admin Class,IMPINMAN
Department of Education,OFSTED,30/07/2015,ICT Systems,Information Services,CACI Ltd,816279,"£163,319.00",ICT Support,W14 8TS,Admin Class,IMPINMAN
Department of Education,OFSTED,20/07/2015,ICT Systems,Information Services,CACI Ltd,816160,"£161,731.20",ICT Support,W14 8TS,Admin Class,IMPINMAN
Department of Education,OFSTED,07/07/2015,ICT Systems,Information Services,CACI Ltd,816020,"£130,356.00",ICT Support,W14 8TS,Admin Class,IMPINMAN
Department of Education,OFSTED,02/07/2015,ICT Systems,Information Services,CACI Ltd,815969,"£75,729.00",ICT Support,W14 8TS,Admin Class,IMPINMAN
Department of Education,OFSTED,20/07/2015,ICT Systems,Information Services,CACI Ltd,816165,"£72,000.00",ICT Support,W14 8TS,Admin Class,IMPINMAN
Department of Education,OFSTED,07/07/2015,Travel,Corporate Transactions,Calder Conferences Ltd,816016,"£78,062.68",Meeting and Conferencing Service,LS16 6RF,Admin Class,IMPINMAN
Department of Education,OFSTED,28/07/2015,Travel,Corporate Transactions,Calder Conferences Ltd,816217,"£70,002.42",Meeting and Conferencing Service,LS16 6RF,Admin Class,IMPINMAN
Department of Education,OFSTED,08/07/2015,Contracted Inspection Costs,Inspection Costs,Cfbt,816050,"£311,860.79",Inspection Service Provider,RG1 4BS,Programme Class,IMPINMAN
Department of Education,OFSTED,30/07/2015,Managed Services,Information Services,CGI IT UK Ltd,816269,"£71,881.66",ICT Support,RG2 6UA,Admin Class,IMPINMAN
Department of Education,OFSTED,08/07/2015,Corporate Contracts,Corporate Transactions,Enterprise Rent-a-Car,816001,"£55,783.00",Vehicle Hire,TW20 9JY,Admin Class,IMPINMAN
Department of Education,OFSTED,28/07/2015,Accommodation Service Charge,Property Division,Food Standards Agency,816232,"£60,605.50",Accomodation Rent and Service Charge,YO1 7PX,Programme Class,IMPINMAN
Department of Education,OFSTED,21/07/2015,Accommodation Rent,Property Division,Jones Lang LaSalle,160056,"£36,734.25",Accommodation Rent,BS8 9AQ,Admin Class,PINMAN
Department of Education,OFSTED,07/07/2015,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,816002,"£984,560.00",Inspection Service Provider,BR1 1LT,Programme Class,IMPINMAN
Department of Education,OFSTED,07/07/2015,Travel,Corporate Transactions,Redfern Travel Ltd,816015,"£408,185.58",Travel and Overnight Accommodation,BD1 3AZ,Admin Class,IMPINMAN
Department of Education,OFSTED,08/07/2015,Managed Services,Inspection Data & Insight,RM Education,816031,"£33,307.64",ICT Support,OX14 4SB,Programme Class,IMPINMAN
Department of Education,OFSTED,30/07/2015,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,90,"£53,218.58",Corporate Purchasing Card,EC2M 4RB,Admin Class,PINCARD
Department of Education,OFSTED,16/07/2015,Contracted Inspection Costs,Inspection Costs,Serco Limited,160050,"£723,567.28",Inspection Service Provider,RG27 7FR,Programme Class,PINMAN
Department of Education,OFSTED,02/07/2015,Accommodation Service Charge,Finance and Resources,Workman LLP,815971,"£163,588.20",Accomodation Rent and Service Charge,EC2v 6EE,Admin Class,IMPINMAN
