March 2015 - Consolidated Transaction Spend,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Code,Cost Centre,Transaction No,Total Gross Value,Description,Supplier Postcode,Supplier Type,Expenditure Type,Document
Department of Education,OFSTED,11/03/2015,Managed Services,Information Services,Bytes Software Services Ltd,T003758,518S,814365,"£54,896.40",ICT Support,KT22 7TW,,Admin Class,IMPINMAN
Department of Education,OFSTED,20/03/2015,ICT Systems,Information Services,CACI Ltd,T007886,518G,814520,"£139,750.00",ICT Support,W14 8TS,LE,Admin Class,IMPINMAN
Department of Education,OFSTED,30/03/2015,ICT Systems,Information Services,CACI Ltd,T007886,103C,814741,"£134,884.80",ICT Support,W14 8TS,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,02/03/2015,ICT Systems,Information Services,CACI Ltd,T007886,103C,814204,"£129,315.60",ICT Support,W14 8TS,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,30/03/2015,ICT Systems,Information Services,CACI Ltd,T007886,518G,814722,"£32,800.00",ICT Support,W14 8TS,LE,Admin Class,IMPINMAN
Department of Education,OFSTED,19/03/2015,Travel,Corporate Transactions,Calder Conferences Ltd,T007370,155,814500,"£127,450.71",Meeting and Conferencing Service,LS16 6RF,SME,Admin Class,IMPINMAN
Department of Education,OFSTED,20/03/2015,Travel,Corporate Transactions,Calder Conferences Ltd,T007370,155,814517,"£62,754.56",Meeting and Conferencing Service,LS16 6RF,SME,Admin Class,IMPINMAN
Department of Education,OFSTED,03/03/2015,Travel,Corporate Transactions,Calder Conferences Ltd,T007370,155,814230,"£45,281.91",Meeting and Conferencing Service,LS16 6RF,SME,Admin Class,IMPINMAN
Department of Education,OFSTED,23/03/2015,Professional Services Other,Finance and Resources,Capgemini Uk Plc,T001467,103C,814549,"£49,400.00",FOM Project,GU21 6DB,,Admin Class,IMPINMAN
Department of Education,OFSTED,26/03/2015,Professional Services Other,Finance and Resources,Capgemini Uk Plc,T001467,103C,814649,"£37,180.00",FOM Project,GU21 6DB,,Admin Class,IMPINMAN
Department of Education,OFSTED,24/03/2015,Contracted Inspection Costs,Inspection Costs,Cfbt,T001471,531,159914,"£555,916.00",Inspection Service Provider,RG1 4BS,TS,Programme Class,PINMAN
Department of Education,OFSTED,25/03/2015,Contracted Inspection Costs,Inspection Costs,Cfbt,T001471,531,814593,"£309,521.83",Inspection Service Provider,RG1 4BS,TS,Programme Class,IMPINMAN
Department of Education,OFSTED,26/03/2015,Contracted Inspection Costs,Inspection Costs,Cfbt,T001471,546,159918,"£156,450.00",Inspection Service Provider,RG1 4BS,TS,Programme Class,PINMAN
Department of Education,OFSTED,26/03/2015,Managed Services,Information Services,CGI IT UK Ltd,T002406,122,814636,"£267,944.57",ICT Support,RG2 6UA,LE,Admin Class,IMPINMAN
Department of Education,OFSTED,30/03/2015,Managed Services,Information Services,CGI IT UK Ltd,T002406,518S,814732,"£176,174.49",ICT Support,RG2 6UA,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,26/03/2015,Managed Services,Information Services,CGI IT UK Ltd,T002406,122,814637,"£69,653.33",ICT Support,RG2 6UA,LE,Admin Class,IMPINMAN
Department of Education,OFSTED,27/03/2015,Managed Services,Information Services,CGI IT UK Ltd,T002406,103C,814671,"£69,529.67",ICT Support,RG2 6UA,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,30/03/2015,Managed Services,Information Services,CGI IT UK Ltd,T002406,518G,814730,"£58,295.00",ICT Support,RG2 6UA,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,25/03/2015,Managed Services,Information Services,CGI IT UK Ltd,T002406,155,814613,"£53,447.54",ICT Support,RG2 6UA,LE,Admin Class,IMPINMAN
Department of Education,OFSTED,30/03/2015,Managed Services,Information Services,CGI IT UK Ltd,T002406,518G,814731,"£45,767.50",ICT Support,RG2 6UA,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,27/03/2015,Managed Services,Information Services,CGI IT UK Ltd,T002406,498C,814705,"£37,296.17",ICT Support,RG2 6UA,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,26/03/2015,Managed Services,Information Services,CGI IT UK Ltd,T002406,518S,814617,"£34,019.61",ICT Support,RG2 6UA,LE,Programme Class,IMPINMAN
Department of Education,OFSTED,26/03/2015,Managed Services,Information Services,CGI IT UK Ltd,T002406,518R,814651,"£31,626.06",ICT Support,RG2 6UA,LE,Programme Class,IMPINMAN
