May 2015 - Spend Above £25k,,,,,,,,,,,,
,,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type,Document,
Department of Education,OFSTED,01/05/2015,Legal,Finance and Resources,Beachcroft LLp,815221,"£49,200.00",Legal Services,BS99 7UR,Admin Class,IMPINMAN,
Department of Education,OFSTED,01/05/2015,Legal,Finance and Resources,Beachcroft LLp,815222,"£26,208.00",Legal Services,BS99 7UR,Admin Class,IMPINMAN,
Department of Education,OFSTED,06/05/2015,Managed Services,Information Services,Bramble.cc Ltd,815287,"£138,489.60",ICT Support,SE1 7SP,Admin Class,IMPINMAN,
Department of Education,OFSTED,12/05/2015,ICT Systems,Information Services,CACI Ltd,815331,"£120,686.40",ICT Support,W14 8TS,Admin Class,IMPINMAN,
Department of Education,OFSTED,22/05/2015,ICT Systems,Information Services,CACI Ltd,815474,"£88,947.94",ICT Support,W14 8TS,Admin Class,IMPINMAN,
Department of Education,OFSTED,12/05/2015,Travel,Corporate Transactions,Calder Conferences Ltd,815329,"£113,762.00",Meeting and Conferencing Service,LS16 6RF,Admin Class,IMPINMAN,
Department of Education,OFSTED,01/05/2015,Travel,Corporate Transactions,Calder Conferences Ltd,815228,"£38,745.84",Meeting and Conferencing Service,LS16 6RF,Admin Class,IMPINMAN,
Department of Education,OFSTED,21/05/2015,Contracted Inspection Costs,Inspection Costs,Cfbt,159988,"£518,366.00",Inspection Service Provider,RG1 4BS,Programme Class,PINMAN,
Department of Education,OFSTED,20/05/2015,Contracted Inspection Costs,Inspection Costs,Cfbt,815458,"£311,860.79",Inspection Service Provider,RG1 4BS,Programme Class,IMPINMAN,
Department of Education,OFSTED,28/05/2015,Managed Services,Information Services,CGI IT UK Ltd,815541,"£70,093.49",ICT Support,RG2 6UA,Admin Class,IMPINMAN,
Department of Education,OFSTED,13/05/2015,Corporate Contracts,Corporate Transactions,Enterprise Rent-a-Car,815380,"£26,675.20",Vehicle Hire,TW20 9JY,Admin Class,IMPINMAN,
Department of Education,OFSTED,27/05/2015,Equipment,Finance and Resources,Gresham Office Furniture,815506,"£74,893.46",Office Furniture,BL6 4SA,Programme Class,IMPINMAN,
Department of Education,OFSTED,20/05/2015,Equipment,Finance and Resources,Gresham Office Furniture,815450,"£33,858.66",Office Furniture,BL6 4SA,Programme Class,IMPINMAN,
Department of Education,OFSTED,13/05/2015,Managed Services,Information Services,itelligence Business Solutions (UK),815383,"£51,172.45",ICT Support,SL5 7PW,Admin Class,IMPINMAN,
Department of Education,OFSTED,14/05/2015,ICT Systems,Information Services,Microsoft Limited,815391,"£95,956.80",ICT Support,RG6 1WG,Admin Class,IMPINMAN,
Department of Education,OFSTED,06/05/2015,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,815295,"£984,560.00",Inspection Service Provider,BR1 1LT,Programme Class,IMPINMAN,
Department of Education,OFSTED,14/05/2015,Travel,Corporate Transactions,Redfern Travel Ltd,815411,"£363,042.69",Travel and Overnight Accommodation,BD1 3AZ,Admin Class,IMPINMAN,
Department of Education,OFSTED,01/05/2015,Managed Services,Inspection Data & Insight,RM Education,815235,"£33,307.64",ICT Support,OX14 4SB,Programme Class,IMPINMAN,
Department of Education,OFSTED,20/05/2015,Contracted Inspection Costs,Inspection Costs,Serco Limited,159987,"£520,625.85",Inspection Service Provider,RG27 7FR,Programme Class,PINMAN,
,,,,,,,,,,,,
