Spend over £25k - May 2016,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type
Department of Education,OFSTED,20/05/2016,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,819560,"£947,000.00",Inspection Service Provider,BR1 1LT,Programme Class
Department of Education,OFSTED,06/05/2016,Travel,Finance and Resources,Redfern Travel Ltd,819388,"£360,948.32",Travel and Overnight Accommodation,BD1 3AZ,Admin Class
Department of Education,OFSTED,26/05/2016,Managed Services,Information Services,CGI IT UK Ltd,819603,"£277,734.08",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,05/05/2016,Travel,Corporate Transactions,Calder Conferences Ltd,819332,"£104,266.62",Meetings and Events,LS16 6RF,Admin Class
Department of Education,OFSTED,19/05/2016,ICT Systems,Information Services,CACI Ltd,819541,"£99,720.00",ICT Support,W14 8TS,Admin Class
Department of Education,OFSTED,26/05/2016,Managed Services,Information Services,CGI IT UK Ltd,819599,"£73,961.50",ICT Support,RG2 6UA,Admin Class
Department of Education,OFSTED,16/05/2016,Accommodation Service Charge,Finance and Resources,Food Standards Agency,819462,"£61,941.83",Accommodation Rent and Service Charge,YO1 7PX,Programme Class
Department of Education,OFSTED,03/05/2016,Accommodation Service Charge,Finance and Resources,Dept for Communities & Local Govt,819255,"£46,276.90",Accommodation Rent and Service Charge,HP2 4XN,Admin Class
Department of Education,OFSTED,03/05/2016,Managed Services,Inspection Data & Insight,RM Education,819300,"£36,714.64",ICT Support,OX14 4SB,Programme Class
Department of Education,OFSTED,23/05/2016,Corporate Transactions,Finance and Resources,Royal Bank of Scotland,99,"£36,664.64",Corporate Purchasing Card,EC2M 4RB,Admin Class
Department of Education,OFSTED,03/05/2016,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,819301,"£34,004.80",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,19/05/2016,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,819529,"£33,554.71",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,26/05/2016,Managed Services,Inspection Data & Insight,RM Education,819597,"£33,307.64",ICT Support,OX14 4SB,Programme Class
Department of Education,OFSTED,20/05/2016,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,819556,"£27,840.96",Contingent Labour,AL1 4ZX,Admin Class
Department of Education,OFSTED,27/05/2016,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,819615,"£26,564.05",Contingent Labour,AL1 4ZX,Admin Class
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
