Consolidated Spend for August 2018,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description
Department of Education,OFSTED,03/08/2018,Corporate Transactions,Corporate Transactions,Redfern Travel Ltd,828628,"389,949.58",Travel and Overnight Accommodation
Department of Education,OFSTED,08/08/2018,Managed Services,Technology,Informed Solutions Ltd,828668,"127,750.00",Digital Communications
Department of Education,OFSTED,10/08/2018,Managed Services,Technology,Informed Solutions Ltd,828703,"124,850.00",Digital Communications
Department of Education,OFSTED,14/08/2018,Managed Services,Technology,CGI IT UK Ltd,828726,"68,221.09",ICT Support
Department of Education,OFSTED,23/08/2018,Managed Services,Technology,CGI IT UK Ltd,828791,"52,168.50",ICT Support
Department of Education,OFSTED,15/08/2018,Corporate Transactions,Corporate Transactions,Calder Conferences Ltd,828740,"39,576.48",Meeting and Conferencing Service
Department of Education,OFSTED,08/08/2018,Managed Services,Programmes & Transformation,Tribal Education Ltd,828667,"44,391.53",ICT Support
Department of Education,OFSTED,23/08/2018,Managed Services,Technology,CGI IT UK Ltd,828789,"33,503.40",ICT Support
Department of Education,OFSTED,20/08/2018,Managed Services,Technology,Bytes Software Services Ltd,828755,"38,040.00",ICT Support
Department of Education,OFSTED,21/08/2018,Managed Services,Technology,Cloud Direct,828776,"34,307.87",ICT Support
Department of Education,OFSTED,10/08/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,828705,"33,638.38",Contingent Labour
Department of Education,OFSTED,03/08/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,828626,"33,175.45",Contingent Labour
Department of Education,OFSTED,24/08/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,828796,"27,693.70",Contingent Labour
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
