Transparency Report July 2018 -  Spend over £25k,,,,,,,,
,,,,,,,,
,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description
Department of Education,OFSTED,13/07/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,828425,"38,242.20",Contingent Labour
Department of Education,OFSTED,30/07/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,828555,"33,634.12",Contingent Labour
Department of Education,OFSTED,05/07/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,828354,"33,178.38",Contingent Labour
Department of Education,OFSTED,04/07/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,828331,"32,267.93",Contingent Labour
Department of Education,OFSTED,24/07/2018,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,828497,"30,926.84",Contingent Labour
Department of Education,OFSTED,09/07/2018,Managed Services,Technology,Bytes Software Services Ltd,828359,"38,040.00",ICT Support
Department of Education,OFSTED,16/07/2018,Managed Services,Technology,CACI Ltd,828437,"110,915.83",ICT Support
Department of Education,OFSTED,16/07/2018,Managed Services,Technology,CACI Ltd,828435,"73,795.00",ICT Support
Department of Education,OFSTED,09/07/2018,Managed Services,Early Years Delivery Unit,CACI Ltd,828362,"28,500.00",ICT Support
Department of Education,OFSTED,12/07/2018,Corporate Transactions,Corporate Transactions,Calder Conferences Ltd,828420,"33,552.35",Meeting and Conferencing Service
Department of Education,OFSTED,26/07/2018,Corporate Transactions,Corporate Transactions,Calder Conferences Ltd,828536,"33,521.87",Meeting and Conferencing Service
Department of Education,OFSTED,26/07/2018,Managed Services,Technology,CGI IT UK Ltd,828527,"68,221.09",ICT Support
Department of Education,OFSTED,26/07/2018,Managed Services,Technology,CGI IT UK Ltd,828530,"37,545.78",ICT Support
Department of Education,OFSTED,02/07/2018,Managed Services,Technology,CGI IT UK Ltd,828300,"33,164.15",ICT Support
Department of Education,OFSTED,26/07/2018,Managed Services,Technology,CGI IT UK Ltd,828532,"25,752.39",ICT Support
Department of Education,OFSTED,16/07/2018,Managed Services,Technology,Cloud Direct,828432,"61,383.11",ICT Support
Department of Education,OFSTED,13/07/2018,Managed Services,Technology,Cloud Direct,702485,"-27,365.40",ICT Support
Department of Education,OFSTED,04/07/2018,Corporate Transactions,Corporate Transactions,Enterprise Rent-a-Car,828304,"31,519.63",Vehicle Hire
Department of Education,OFSTED,04/07/2018,Corporate Transactions,Corporate Transactions,Redfern Travel Ltd,828324,"389,161.02",Travel and Overnight Accommodation
Department of Education,OFSTED,03/07/2018,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,127,"43,848.02",Company Credit Card
Department of Education,OFSTED,05/07/2018,Managed Services,Programmes & Transformation,Tribal Education Ltd,828344,"44,391.53",ICT Support
