Organisation Name (A),Reference Number (B),Title of Agreement (C ),Dept (D),Service Label (E ),Service Description (F),Description (G),Start Date (H),End Date (I),Quantity (J),Price (K),Value (L),Supplier Name (M),Tender Process (N),,,,,,,
,,,,,,,,,,,,,,,,,,,,
Pendle Borough Council,EST004334,Nelson Town Hall - Carry out second floor alterations as per schedule,Property Services,CD14,Capital,Nelson Town Hall - Carry out second floor alterations as per schedule, 09/05/2019,N/A,1,20766.08,20766.08,SPEAKMAN CONTRACTORS LTD,Purchase Order,,,,,,,
Pendle Borough Council,EST004335,Nelson Town Hall -  Carry out alterations to the ground floor general office and former receptions areas,Property Services,CD14,Capital,Nelson Town Hall -  Carry out alterations to the ground floor general office and former receptions areas, 09/05/2019,N/A,1,19678.47,19678.47,SPEAKMAN CONTRACTORS LTD,Purchase Order,,,,,,,
Pendle Borough Council,EST004336,Swinden Pavilion -  Carry out electrical upgrade as per quotation,Property Services,CD14,Capital,Swinden Pavilion -  Carry out electrical upgrade as per quotation, 10/05/2019,N/A,1,5190.00,5190.00,SPEAKMAN CONTRACTORS LTD,Purchase Order,,,,,,,
Pendle Borough Council,EST004356,Edge End Pavilion - Carry out floor painting works as per quotation ,Property Services,CD14,Capital,Edge End Pavilion - Carry out floor painting works as per quotation , 22/05/2019,N/A,1,8148.00,8000.00,GEORGE BOOCOCK DECORATORS LTD,Purchase Order,,,,,,,
Pendle Borough Council,EST004363,Pendle Leisure Centre - Works to former astro pitch as per quotation ,Property Services,CD14,Capital,Pendle Leisure Centre - Works to former astro pitch as per quotation , 22/05/2019,N/A,1,9723.00,9723.00,DALE CONTRACTORS LIMITED,Purchase Order,,,,,,,
Pendle Borough Council,ITS001679,eXpress annual fee 1/4/2019 - 31/3/2020,Information Services,4509,Computer Charges,eXpress annual fee 1/4/2019 - 31/3/2020, 02/05/2019,N/A,1,8490.16,8490.16,XPRESS SOFTWARE SOLUTIONS LTD,Purchase Order,,,,,,,
Pendle Borough Council,OPS014041,240L BLUE WHEELIE BINS,Operational Services,CD14,Capital,240L BLUE WHEELIE BINS, 15/05/2019,N/A,700,15.50,10850.00,CRAEMER UK LIMITED,Purchase Order,,,,,,,
Pendle Borough Council,OPS014041,240L GREY WHEELIE BINS,Operational Services,CD14,Capital,240L GREY WHEELIE BINS, 15/05/2019,N/A,500,15.50,7750.00,CRAEMER UK LIMITED,Purchase Order,,,,,,,
Pendle Borough Council,PCO017367,Weed Pendle South,Parks & Recreation Services,2103,Grounds : R & M : Gds Maint ,Weed Pendle South, 17/05/2019,N/A,1,5043.60,5043.60,ASSIST FACILITIES MANAGEMENT LTD,Purchase Order,,,,,,,
