Organisation Name (A),Reference Number (B),Dept (D),Service Description (F),Quantity (J),Price (K),Value (L),Supplier Name (M),Tender Process (N)
Pendle Borough Council,AAS000884,Financial Services,Seminars etc All Costs,1,5850,5850,LINK TREASURY SERVICES LIMITED,Purchase Order
Pendle Borough Council,DAL003366,Democratic & Legal Services,Publicity and Advertisements,1,6721.33,6721.33,THE DIRECT MAIL COMPANY,Purchase Order
Pendle Borough Council,EST004267,Property Services,Capital,1,5180,5180,SPEAKMAN CONTRACTORS LTD,Purchase Order
Pendle Borough Council,EST004282,Property Services,Capital,1,15275,15275,SPEAKMAN CONTRACTORS LTD,Purchase Order
Pendle Borough Council,HED010751,Engineering & Special Projects,Other Expenses,1,6800,6800,LANCASHIRE COUNTY COUNCIL,Purchase Order
Pendle Borough Council,ITS001659,Information Services,Capital,2,4188.23,8376.46,SOFTCAT,Purchase Order
Pendle Borough Council,ITS001659,Information Services,Capital,261,23.46,6123.06,SOFTCAT,Purchase Order
Pendle Borough Council,ITS001662,Information Services,Capital,1,7560,7560,SEC-1 LIMITED,Purchase Order
Pendle Borough Council,ITS001670,Information Services,Capital,30,219.22,6576.6,STORM TECHNOLOGIES LIMITED,Purchase Order
Pendle Borough Council,OPS013967,Parks & Recreation Services,Stock : Purchases,792,8.76,6937.92,THE HELPING HAND CO LTD,Purchase Order
