Organisation name,Purchase Order Number,Order date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,d1045186,2014-10-01,"£54,450.00",PETRUS,SERVICES - GENERAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045192,2014-10-01,"£5,760.00",EMO OIL LIMITED,OIL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045193,2014-10-01,"£6,865.40",NORTHGATE VEHICLE HIRE LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045201,2014-10-01,"£7,800.00",CP DAVIDSON & SONS LTD,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045202,2014-10-01,"£9,100.00",CP DAVIDSON & SONS LTD,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1014643,2014-10-01,"£5,066.08",ROSS CARE,PURCHASE OF OTHER EQUIPMENT,EARLY HELP AND SCHOOLS
Rochdale Borough Council,q1002661,2014-10-01,"£10,249.00",BINDMONT PRINT SERVICES LTD,PRINTING & STATIONERY,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1045235,2014-10-02,"£9,600.00",CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,CHRISTMAS DECORATIONS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1045238,2014-10-02,REDACTED COMMERCIALLY SENSITIVE,CHRISTMAS PLUS LTD,CHRISTMAS DECORATIONS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1045241,2014-10-02,"£6,316.50",F W SHERRATT LTD,REPAIRS & ALTS OF BUILDINGS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,ph100542,2014-10-02,"£16,490.00",ICE LIMITED,ACTIVITIES,PUBLIC HEALTH
Rochdale Borough Council,ph100543,2014-10-02,"£141,620.00",ICE LIMITED,ACTIVITIES,PUBLIC HEALTH
Rochdale Borough Council,q1002682,2014-10-02,"£16,800.00",STHREE PARTNERSHIP LLP,CAPITAL SALARIES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1002686,2014-10-02,"£5,800.00",UPDATA INFRASTRUCTURE UK LTD,PURCHASE OF OTHER EQUIPMENT,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1045250,2014-10-03,"£7,362.37",ELECTRICITY NORTH WEST LTD,REWIRING AND ELECTRICAL UPGRADES,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1045253,2014-10-03,"£5,000.00",UNITY PARTNERSHIP LTD,CONSULTANT FEES,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1045269,2014-10-03,"£8,560.00",EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,f1003729,2014-10-03,"£35,353.50",MERITEC LIMITED,AGENCY STAFF,FINANCE SERVICES
Rochdale Borough Council,q1002690,2014-10-03,"£5,000.00",ROCHDALE TOWN CENTRE MANAGEMENT CO,EVENTS,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1002692,2014-10-03,"£5,000.00",ROCHDALE MEDIATION SERVICE LIMITED,GRANTS TO THE NON VOLUNTARY SECTOR,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1045300,2014-10-06,"£8,344.06",BURNT TREE GROUP,TRANSACTIONS-EXPENDITURE,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045306,2014-10-06,"£7,525.00",MACE LIMITED,BASIC SALARIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1014675,2014-10-06,"£6,000.00",EARLY BREAK,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph100547,2014-10-06,"£6,504.24",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,AGENCY STAFF,PUBLIC HEALTH
Rochdale Borough Council,q1002697,2014-10-06,"£8,639.37",POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER,SERVICES - GENERAL,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1002698,2014-10-06,"£8,724.21",POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER,SERVICES - GENERAL,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1045350,2014-10-07,"£12,736.00",URBAN VISION PARTNERSHIP LTD,AGENCY STAFF,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,f1003731,2014-10-07,"£9,750.00",OVERDRIVE  INC,PURCHASE OF ICT SOFTWARE,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1002713,2014-10-07,"£5,600.00",HEMMING GROUP LIMITED,ADVERTISING/PUBLICITY,FINANCE SERVICES
Rochdale Borough Council,q1002716,2014-10-07,"£19,500.00",STHREE PARTNERSHIP LLP,CAPITAL SALARIES,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1045355,2014-10-08,"£10,093.00",JONES LANG LASALLE,SECURITY,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045366,2014-10-08,"£5,000.00",LUDUS LEISURE LTD,IMPROVEMENTS-MODERNISATION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045366,2014-10-08,"£5,000.00",LUDUS LEISURE LTD,IMPROVEMENTS-MODERNISATION,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,d1045376,2014-10-08,"£22,470.73",BRAHM FUNDCO 2 LTD,EQUIPMENT - GENERAL,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,f1003735,2014-10-08,"£205,160.00",GRANT THORNTON UK LLP,FEES / COMMISSION,FINANCE SERVICES
Rochdale Borough Council,q1002723,2014-10-08,"£6,602.40",TG EVENTS LTD,PRINTING & STATIONERY,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,q1002733,2014-10-08,"£98,354.11",H BELL & SONS ROCHDALE LTD,REPAIRS & ALTS OF BUILDINGS,CUSTOMERS & CORPORATE SERVICES
Rochdale Borough Council,d1045396,2014-10-09,"£9,330.66",NATIONAL FLOOD FORUM,ACTIVITIES,ECONOMY AND ENVIRONMENT
Rochdale Borough Council,e1014703,2014-10-09,"£108,072.00",DIOCESE OF SALFORD,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014719,2014-10-09,"£13,448.00",OLDHAM METROPOLITAN BOROUGH COUNCIL,OTHER EST - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014725,2014-10-09,"£40,546.61",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014729,2014-10-09,"£13,618.88",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014730,2014-10-09,"£25,413.31",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014733,2014-10-09,"£21,697.44",INSPIREDSPACES ROCHDALE LTD,IT SUPPORT,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014734,2014-10-09,"£21,697.44",INSPIREDSPACES ROCHDALE LTD,IT SUPPORT,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014735,2014-10-09,"£21,697.44",INSPIREDSPACES ROCHDALE LTD,IT SUPPORT,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014736,2014-10-09,"£37,380.00",INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1014738,2014-10-09,"£9,384.00",GATENBY SANDERSON,AGENCY STAFF,CHILDREN’S SOCIAL CARE
