Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,d1053230,2015-10-01,6000.00,LINK4LIFE (CHARITY),TRAINING,ECONOMY DIRECTORATE
Rochdale Borough Council,d1053238,2015-10-01,5425.00,ROCHDALE MEMORIAL SERVICE,FIXTURES & FITTINGS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1053240,2015-10-01,6000.00,LINK4LIFE (CHARITY),ACTIVITIES,ECONOMY DIRECTORATE
Rochdale Borough Council,d1053253,2015-10-01,21000.00,PETRUS,CONTRACTED SERVICES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1053261,2015-10-01,295780.00,DENNIS EAGLE LTD,PURCHASE OF VEHICLES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1018343,2015-10-01,8823.20,SPORT WORKS,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1018347,2015-10-01,119472.58,INSPIREDSPACES ROCHDALE LTD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1018350,2015-10-01,14774.80,INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1018351,2015-10-01,7330.97,INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1018352,2015-10-01,23339.57,INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1018353,2015-10-01,43493.54,INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1018354,2015-10-01,137000.90,AXIOM EDUCATION (ROCHDALE) LIMITED,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1018359,2015-10-01,12659.00,THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1018360,2015-10-01,11483.33,THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1018361,2015-10-01,11044.67,THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1018362,2015-10-01,12253.00,THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1018363,2015-10-01,12210.00,THE TOGETHER TRUST,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph100989,2015-10-01,138408.00,BIG LIFE CENTRES,PH BIG LIFE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,ph100990,2015-10-01,215796.00,PENNINE CARE NHS,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,q1005433,2015-10-01,24643.00,LGBT FOUNDATION,GRANTS TO THE NON VOLUNTARY SECTOR,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1053285,2015-10-02,8881.10,ROCHDALE BOROUGHWIDE HOUSING,FEES / COMMISSION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1053292,2015-10-02,7500.00,A E YATES LTD,ROADWORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,s1019443,2015-10-02,7070.00,ADAPT BUILDING SERVICES LTD,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1053302,2015-10-05,7700.00,ROCHDALE BOROUGH SHOPMOBILITY,GRANTS TO THE VOLUNTARY SECTOR,ECONOMY DIRECTORATE
Rochdale Borough Council,d1053311,2015-10-05,27000.00,EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1053328,2015-10-05,105937.27,CARIBOU GREEN WARMTH LLP,PROPERTY REFURBISHMENT (HOUSING),NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1053329,2015-10-05,99028.23,CARIBOU GREEN WARMTH LLP,PROPERTY REFURBISHMENT (HOUSING),NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1053330,2015-10-05,6322.40,OFFICE DEPOT UK LIMITED,PROJECTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1053331,2015-10-05,49461.80,CARIBOU GREEN WARMTH LLP,PROPERTY REFURBISHMENT (HOUSING),NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1053338,2015-10-05,20000.00,A E YATES LTD,DRAINAGE AND SEWERS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1053340,2015-10-05,8394.40,OFFICE DEPOT UK LIMITED,PROJECTS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1053344,2015-10-05,15000.00,ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1053345,2015-10-05,12500.00,STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1018374,2015-10-05,9143.00,BEVAN BRITTAN LLP,CONSULTANTS FEES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,s1019452,2015-10-05,5175.00,SUPRA UK LIMITED,EQUIPMENT - GENERAL,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,w1001101,2015-10-05,15000.00,ROCHDALE & DISTRICT MIND,SERVICE LEVEL AGREEMENTS,LEARNING DIS & MENTAL HEALTH
Rochdale Borough Council,d1053352,2015-10-06,9500.00,LITTLEBOROUGH PRIVATE HIRE,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1053353,2015-10-06,5600.00,LITTLEBOROUGH PRIVATE HIRE,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1053367,2015-10-06,29750.00,ROCHDALE DEVELOPMENT AGENCY,GRANTS TO OTHER BODIES,ECONOMY DIRECTORATE
Rochdale Borough Council,d1053368,2015-10-06,18750.00,ROCHDALE DEVELOPMENT AGENCY,FEES -CONSTRUCTION CONVERSION RENOVATION,ECONOMY DIRECTORATE
Rochdale Borough Council,d1053381,2015-10-06,5625.00,MILNROW CARS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1018387,2015-10-06,6710.00,UNIVERSITY OF BIRMINGHAM,TRAINING-QUALIFICATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph100994,2015-10-06,369777.00,PENNINE CARE NHS,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,q1005466,2015-10-06,44810.73,XEROX UK LTD,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1005469,2015-10-06,13783.00,BINDMONT PRINT SERVICES LTD,PRINTING & STATIONERY,FINANCE SERVICES
Rochdale Borough Council,q1005472,2015-10-06,8128.37,CIVICA UK LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1005473,2015-10-06,10708.66,GAMMA BUSINESS COMMUNICATIONS,TELEPHONE EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1019467,2015-10-06,5117.00,STANNAH LIFT SERVICES LTD,IMPROVEMENTS-EXTENSIONS & ALTERATIONS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1019468,2015-10-06,6000.00,T CUBED LTD,TRAINING,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,x1011655,2015-10-06,18000.00,ADOPTION MATTERS NORTHWEST,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1053408,2015-10-07,8500.00,GLOBECAR LTD,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1053423,2015-10-07,5750.00,STREAMLINE TAXIS,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1053424,2015-10-07,15000.00,ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1018437,2015-10-07,11559.64,INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1018438,2015-10-07,7077.11,INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1018439,2015-10-07,8377.92,INSPIREDSPACES ROCHDALE LTD,PURCHASE OF ICT HARDWARE,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1018440,2015-10-07,10360.81,INSPIREDSPACES ROCHDALE LTD,IMPROVEMENTS-MODERNISATION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1018444,2015-10-07,372738.64,INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1018445,2015-10-07,311534.41,INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1053435,2015-10-08,5000.00,CAR 2000 HEYWOOD LLP,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1053446,2015-10-08,10995.00,RAISE THE YOUTH FOUNDATION CIC,ACTIVITIES,ECONOMY DIRECTORATE
Rochdale Borough Council,d1053447,2015-10-08,14985.00,RAISE THE YOUTH FOUNDATION CIC,ACTIVITIES,ECONOMY DIRECTORATE
Rochdale Borough Council,d1053464,2015-10-08,7852.38,NORTHGATE VEHICLE HIRE LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
