Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,d1061609,2016-10-03,8820.00,CLOVER SECURITY SERVICES LIMITED,TRAINING,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1061647,2016-10-03,12000.00,PATROL,AGENCY,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1021898,2016-10-03,323042.33,INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1021905,2016-10-03,15319.36,FAMILY ACTION,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1004853,2016-10-03,105000.00,TRAFFORD MBC,OTHER LOCAL AUTHORITIES,FINANCE SERVICES
Rochdale Borough Council,ph101507,2016-10-03,16866.88,WOMENS HOUSING ACTION GROUP,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,d1061669,2016-10-04,14254.70,DOBSON UK LTD,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1061672,2016-10-04,12445.00,S T HEDGES QUINN LTD,IMPROVEMENTS-MODERNISATION,ECONOMY DIRECTORATE
Rochdale Borough Council,e1021907,2016-10-04,411893.26,INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1021916,2016-10-04,9332.50,PURE INNOVATIONS LIMITED,TRAVELLING GENERAL EXPENSES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1021917,2016-10-04,9332.50,PURE INNOVATIONS LIMITED,TRAVELLING GENERAL EXPENSES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph101508,2016-10-04,90750.00,PENNINE CARE NHS,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,ph101509,2016-10-04,355417.00,PENNINE CARE NHS,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,ph101510,2016-10-04,124574.58,BIG LIFE CENTRES,PH BIG LIFE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,q1007878,2016-10-04,25948.00,RESTORE PLC,DATA COLLECTION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1061693,2016-10-05,5250.00,GC MINI BUS SERVICES,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1061699,2016-10-05,6930.00,ROCHDALE BOROUGH SHOPMOBILITY,GRANTS TO THE VOLUNTARY SECTOR,ECONOMY DIRECTORATE
Rochdale Borough Council,f1004859,2016-10-05,8000.00,SECURITY PLUS LIMITED,SECURITY,LEARNING DIS & MENTAL HEALTH
Rochdale Borough Council,ph101511,2016-10-05,27392.00,PENNINE CARE NHS,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,ph101514,2016-10-05,78383.70,VIRGIN CARE SERVICES LIMITED,VIRGIN CARE,PUBLIC HEALTH
Rochdale Borough Council,q1007885,2016-10-05,9900.00,MANCHESTER CITY COUNCIL,AGENCY STAFF,FINANCE SERVICES
Rochdale Borough Council,x1013010,2016-10-05,9930.00,ME LEARNING LIMITED,TRAINING,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,q1007892,2016-10-06,42438.00,UPDATA INFRASTRUCTURE UK LTD,TELEPHONE EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1061743,2016-10-07,28224.36,CROMWELL POLYTHENE LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph101524,2016-10-07,11977.49,POLICE AND CRIME COMMISSIONER FOR GTR MANCHESTER,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,q1007899,2016-10-07,43310.71,XEROX UK LTD,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1061779,2016-10-10,6000.00,ENTERPRISE MANCHESTER PARTNERSHIP LTD,CONTRACTED SERVICES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1004869,2016-10-10,41163.99,OFFICE DEPOT UK LIMITED,PRINTING & STATIONERY,FINANCE SERVICES
Rochdale Borough Council,f1004870,2016-10-10,20202.00,NEPRO LIMITED,AGENCY STAFF,FINANCE SERVICES
Rochdale Borough Council,s1020852,2016-10-10,28008.08,THE STROKE ASSOCIATION,VOLUNTARY ASSOCIATIONS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,d1061836,2016-10-11,7056.00,CLOVER SECURITY SERVICES LIMITED,TRAINING,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1021973,2016-10-11,7138.40,ROC NORTHWEST LTD,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1021976,2016-10-11,14588.00,ROSSENDALE SCHOOL PRIORY,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1021977,2016-10-11,10104.34,BELMONT SCHOOL LIMITED,OTHER LA`S - SEN PROVISION,EARLY HELP AND SCHOOLS
