Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,f1005262,2017-04-03,"£98,151.75",GREATER MANCHESTER PENSION FUND,EXPENSES,RESOURCES
Rochdale Borough Council,f1005263,2017-04-03,"£105,670.00",TRAFFORD MBC,OTHER LOCAL AUTHORITIES,RESOURCES
Rochdale Borough Council,f1005265,2017-04-03,"£10,000.00",NORTHGATE PUBLIC SERVICES (UK) LTD,POSTAGE,RESOURCES
Rochdale Borough Council,d1065810,2017-04-04,"£48,100.00",RIVERSIDE TRUCK RENTAL,VEHICLE MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008569,2017-04-04,"£24,960.00",BLUERAQ NETWORKS LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,w1001743,2017-04-04,"£5,180.73",PM PROPERTIES,RENTS,LEARNING DIS & MENTAL HEALTH
Rochdale Borough Council,x1013827,2017-04-04,"£8,827.43",SPORT WORKS GTR MANCHESTER LTD,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1065854,2017-04-05,"£28,200.00",EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065856,2017-04-05,"£8,030.00",ROCHDALE MEMORIAL SERVICE LTD,FIXTURES & FITTINGS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065858,2017-04-05,"£15,408.23",DOBSON UK LTD,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065891,2017-04-05,"£10,723.50",HEYWOOD SCAFFOLDING SERVICES,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065896,2017-04-05,"£30,990.00",THOMAS KERSHAW BUILDERS LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1065897,2017-04-05,"£189,836.00",JACKSON JACKSON & SONS LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,f1005270,2017-04-05,"£313,425.91",GREATER MANCHESTER PENSION FUND,EXPENSES,RESOURCES
Rochdale Borough Council,m1001908,2017-04-05,"£59,894.81",WIGAN BOROUGH COUNCIL,ADVERTISING -STAFF,RESOURCES
Rochdale Borough Council,r1001613,2017-04-05,"£9,000.00",PENNINE PROSPECTS,GRANTS TO THE NON VOLUNTARY SECTOR,ECONOMY DIRECTORATE
Rochdale Borough Council,x1013837,2017-04-05,"£7,500.00",CROSSROADS CARE IN GREATER MANCHESTER,SERVICE LEVEL AGREEMENTS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1065933,2017-04-06,"£10,000.00",COUNCIL FOR VOLUNTARY SERVICE ROCHDALE,GRANTS TO THE VOLUNTARY SECTOR,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1023271,2017-04-06,"£40,468.21",AXIOM EDUCATION (ROCHDALE) LIMITED,MEALS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph101864,2017-04-06,"£32,500.00",COUNCIL FOR VOLUNTARY SERVICE ROCHDALE,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,s1021469,2017-04-06,"£8,149.40",ASTOR BANNERMAN (MEDICAL) LTD,PURCHASE OF FURNITURE AND EQUIPMENT,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,w1001744,2017-04-06,"£43,260.00",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,PURCHASE OF ICT SOFTWARE,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,x1013848,2017-04-06,"£15,000.00",RAINBOW TRUST CHILDRENS CHARITY,HOME CARE - CHILDRENS SERVICES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1065935,2017-04-07,"£16,176.00",SCHNEIDER ELECTRIC LIMITED,PROPERTY - WORKS ELEMENT,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065951,2017-04-07,"£93,906.00",CORPS,SECURITY,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065954,2017-04-07,"£5,591.25",JGM AGENCY,PUBLICITY,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065955,2017-04-07,"£7,500.00",THE HEMMING GROUP LIMITED,PUBLICITY,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065959,2017-04-07,"£63,038.41",DUVAL FM LIMITED,SECURITY,ECONOMY DIRECTORATE
Rochdale Borough Council,f1005280,2017-04-07,"£100,000.00",TUSKERDIRECT LIMITED,TRANSACTIONS-EXPENDITURE,RESOURCES
Rochdale Borough Council,d1065966,2017-04-10,"£15,541.00",STREET DESIGN LTD.,"TREES, SHRUBS, PLANTS",NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1023284,2017-04-10,"£691,664.09",AXIOM EDUCATION (ROCHDALE) LIMITED,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1005290,2017-04-10,"£12,500.00",XPRESS SOFTWARE SOLUTIONS LTD,PRINTING & STATIONERY,RESOURCES
Rochdale Borough Council,f1005291,2017-04-10,"£7,010.00",MODERN MINDSET LTD,SOFTWARE,RESOURCES
Rochdale Borough Council,f1005297,2017-04-10,"£58,000.00",CAPITA BUSINESS SERVICES LIMITED,SOFTWARE,RESOURCES
Rochdale Borough Council,q1008576,2017-04-10,"£17,250.00",NORTHGATE PUBLIC SERVICES (UK) LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008578,2017-04-10,"£10,046.00",UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008579,2017-04-10,"£14,656.00",UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008580,2017-04-10,"£9,780.00",UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008581,2017-04-10,"£164,920.00",UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1065990,2017-04-11,"£5,913.60",ISAAC BUTTERWORTH (IRONFOUNDERS) LIMITED,"TREES, SHRUBS, PLANTS",NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1005299,2017-04-11,"£8,000.00",SECURITY PLUS LIMITED,SECURITY,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008582,2017-04-11,"£179,300.00",XEROX UK LTD,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008583,2017-04-11,"£41,415.00",RESTORE DOCUMENT MANAGEMENT,DATA COLLECTION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008589,2017-04-11,"£97,375.00",EVERYTHING EVERYWHERE LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008590,2017-04-11,"£39,930.00",EVERYTHING EVERYWHERE LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008591,2017-04-11,"£11,262.00",EVERYTHING EVERYWHERE LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008592,2017-04-11,"£6,921.00",EVERYTHING EVERYWHERE LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008593,2017-04-11,"£22,862.00",DAISY COMMUNICATIONS LTD,IT MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008595,2017-04-11,"£14,988.00",DAISY COMMUNICATIONS LTD,IT MAINTENANCE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008596,2017-04-11,"£41,890.00",UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008597,2017-04-11,"£11,760.00",UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008598,2017-04-11,"£28,620.00",UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,q1008599,2017-04-11,"£11,280.00",UPDATA INFRASTRUCTURE UK LTD,COMMUNICATION AND COMPUTING - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,r1001616,2017-04-11,"£10,000.00",NETWORK RAIL INFRASTRUCTURE LTD,PLANNING FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,d1066022,2017-04-12,"£6,454.00",VAISALA LIMITED,TRAINING,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1066023,2017-04-12,"£12,751.00",VAISALA LIMITED,TRAINING,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d1066024,2017-04-12,"£12,000.00",ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066025,2017-04-12,"£9,520.00",J AND S TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066026,2017-04-12,"£9,200.00",J AND S TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066027,2017-04-12,"£8,800.00",J AND S TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066028,2017-04-12,"£9,700.00",J AND S TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066029,2017-04-12,"£8,500.00",PREMIERESHOW LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066030,2017-04-12,"£8,500.00",PREMIERESHOW LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066031,2017-04-12,"£9,500.00",PREMIERESHOW LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066032,2017-04-12,"£5,000.00",GC MINI BUS SERVICES,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066033,2017-04-12,"£12,500.00",ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066034,2017-04-12,"£12,500.00",ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066035,2017-04-12,"£11,500.00",ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066041,2017-04-12,"£6,261.80",TYRE FORCE NW LTD,TYRES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066053,2017-04-12,"£10,000.00",ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066054,2017-04-12,"£11,000.00",ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066055,2017-04-12,"£9,000.00",S P EXECUTIVE TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066056,2017-04-12,"£9,000.00",S P EXECUTIVE TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066058,2017-04-12,"£6,000.00",DK MINIBUSES LTD,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066059,2017-04-12,"£7,000.00",COACH OPTIONS LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066060,2017-04-12,"£7,000.00",COACH OPTIONS LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066061,2017-04-12,"£7,000.00",COACH OPTIONS LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066062,2017-04-12,"£7,100.00",OLYMPIC EXECUTIVE TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066063,2017-04-12,"£8,000.00",OLYMPIC EXECUTIVE TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066064,2017-04-12,"£9,000.00",OLYMPIC EXECUTIVE TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066065,2017-04-12,"£7,200.00",OLYMPIC EXECUTIVE TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1066066,2017-04-12,"£9,500.00",OLYMPIC EXECUTIVE TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
