Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,q1008360,2017-01-03,22152.05,PHOENIX SOFTWARE LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,x1013356,2017-01-03,8654.34,SPORT WORKS GTR MANCHESTER LTD,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph101675,2017-01-04,90750.00,PENNINE CARE NHS,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,q1008362,2017-01-04,12050.00,THINKING PLACE LIMITED,BUDGET TO BE ALLOCATED,RESOURCES
Rochdale Borough Council,e1022561,2017-01-05,24975.51,AXIOM EDUCATION (ROCHDALE) LIMITED,MEALS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1063575,2017-01-06,6930.00,ROCHDALE BOROUGH SHOPMOBILITY,GRANTS TO THE VOLUNTARY SECTOR,ECONOMY DIRECTORATE
Rochdale Borough Council,e1022576,2017-01-06,17089.24,AXIOM EDUCATION (ROCHDALE) LIMITED,WATER CHARGES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1022586,2017-01-06,17100.00,PSYCHOLOGY PEOPLE,BASIC SALARIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph101681,2017-01-06,355417.00,PENNINE CARE NHS,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,ph101682,2017-01-06,124574.58,BIG LIFE CENTRES,PH BIG LIFE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,ph101683,2017-01-06,149489.50,BIG LIFE CENTRES,PH BIG LIFE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,s1021125,2017-01-06,5010.00,NEWLINE ADAPTATIONS LTD,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1063630,2017-01-09,63439.22,CORPS,SECURITY,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1022588,2017-01-09,33730.50,TRANSPORT FOR GREATER MANCHESTER,STUDENT TRAVEL,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1022589,2017-01-09,5078.10,AXIOM EDUCATION (ROCHDALE) LIMITED,"DEV CAP - NEW CONSTRUCTION,CONVERSION",EARLY HELP AND SCHOOLS
Rochdale Borough Council,ph101687,2017-01-09,21478.00,THE PENNINE ACUTE HOSPITALS NHS TRUST,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,s1021138,2017-01-09,28008.08,THE STROKE ASSOCIATION,VOLUNTARY ASSOCIATIONS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,s1021139,2017-01-09,469167.21,THE PENNINE ACUTE HOSPITALS NHS TRUST,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,x1013386,2017-01-09,18000.00,CARITAS CARE LTD,ADOPTION PAYMENTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,e1022599,2017-01-10,16659.24,INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,NEW CONSTRUCTION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1022601,2017-01-10,22455.00,INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,NEW CONSTRUCTION,EARLY HELP AND SCHOOLS
