Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,d1068171,2017-07-03,"£12,500.00",RADAMA,GRANTS TO THE NON VOLUNTARY SECTOR,ECONOMY DIRECTORATE
Rochdale Borough Council,d1068183,2017-07-03,"£48,235.00",PAUL SMITH  CO PLMBG  BLDG SER LTD,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,r1001667,2017-07-04,"£23,725.98",BRAHM FUNDCO 2 LTD,CHARGES-COMMITAL,ECONOMY DIRECTORATE
Rochdale Borough Council,s1021769,2017-07-04,"£5,831.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,SERVICE LEVEL AGREEMENTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,w1001796,2017-07-04,"£99,999.00",FUTURE DIRECTIONS CIC,SUPPORTED LIVING,LEARNING DIS & MENTAL HEALTH
Rochdale Borough Council,d1068226,2017-07-05,"£13,680.00",DRY WALLS LTD,MINOR BUILDING WORKS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1068251,2017-07-05,"£6,930.00",ROCHDALE BOROUGH SHOPMOBILITY,GRANTS TO THE VOLUNTARY SECTOR,ECONOMY DIRECTORATE
Rochdale Borough Council,ph102023,2017-07-05,"£35,969.99",NHS HEYWOOD MIDDLETON AND ROCHDALE CCG,CONTRACTED SERVICES,PUBLIC HEALTH
Rochdale Borough Council,d1068265,2017-07-06,"£44,619.50",OLDHAM AND ROCHDALE GROUNDWORK TRUST LTD,PROPERTY REFURBISHMENT (HOUSING),NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1068286,2017-07-06,"£13,560.00",SSI SCHAEFER LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1068287,2017-07-06,"£13,560.00",SSI SCHAEFER LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1068291,2017-07-06,"£9,630.00",JEREMY BENN ASSOCIATES LTD,GRANTS TO THE NON VOLUNTARY SECTOR,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1068292,2017-07-06,"£144,720.00",PETRUS,GRANTS TO THE VOLUNTARY SECTOR,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1068294,2017-07-06,"£22,100.00",PETRUS,GRANTS TO THE VOLUNTARY SECTOR,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1021779,2017-07-06,"£469,637.00",THE PENNINE ACUTE HOSPITALS NHS TRUST,CONTRACTS,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,x1014206,2017-07-06,"£5,000.00",CHROMA THERAPIES LTD,SUBSIDISED ADOPTERS PMTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1014207,2017-07-06,"£5,000.00",CHROMA THERAPIES LTD,SUBSIDISED ADOPTERS PMTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1014208,2017-07-06,"£5,000.00",CHROMA THERAPIES LTD,SUBSIDISED ADOPTERS PMTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1014209,2017-07-06,"£5,000.00",CHROMA THERAPIES LTD,SUBSIDISED ADOPTERS PMTS,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,x1014212,2017-07-06,"£5,540.00",TAMESIDE METROPOLITAN BOROUGH COUNCIL,FOSTER PARENTS BASIC ALLOWANCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1068300,2017-07-07,"£60,812.00",H BELL AND SONS ROCHDALE LTD,MINOR BUILDING WORKS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1068332,2017-07-07,"£5,890.70",TYRE FORCE NW LTD,TYRES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1068334,2017-07-07,"£7,146.00",SAFEGUARD SECURITY SOLUTIONS,SECURITY,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1005545,2017-07-07,"£11,682.31",ROYAL MAIL GROUP PLC,PRINTING & STATIONERY,RESOURCES
Rochdale Borough Council,d1068376,2017-07-10,"£7,719.75",JGM AGENCY,MARKETING EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
