Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,d1075138,2018-04-03,"£14,000.00",A J COCKER ASSOCIATES LIMITED,CONDITION SURVEYS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,s1022851,2018-04-03,"£6,177.21",MANCHESTER WORKING LIMITED,MAINTENANCE STAIRLIFTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,d1075171,2018-04-04,"£40,080.00",SSI SCHAEFER LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3000087,2018-04-04,"£12,190.00",MEASURE 2 IMPROVE,ASSET MANAGEMENT PLANS & SURVEYS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,f1006424,2018-04-04,"£7,010.00",MODERN MINDSET LTD,SOFTWARE,RESOURCES
Rochdale Borough Council,f1006427,2018-04-04,"£9,700.00",AGMA,AGMA,RESOURCES
Rochdale Borough Council,f1006429,2018-04-04,"£29,976.31",CRITIQOM LIMITED,POSTAGE,RESOURCES
Rochdale Borough Council,r1001810,2018-04-04,"£9,000.00",PENNINE PROSPECTS,GRANTS TO THE NON VOLUNTARY SECTOR,ECONOMY DIRECTORATE
Rochdale Borough Council,w1001880,2018-04-04,"£54,092.37",ROSS CARE,OTHER AGENCIES,BETTER CARE FUND POOLED BUDGET
Rochdale Borough Council,d1075194,2018-04-05,"£6,907.00",A B MARKETS,PROFESSIONAL FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,d1075207,2018-04-05,"£20,000.00",CORPS,SECURITY,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,x1015458,2018-04-05,"£5,262.00",SOFTBOX LTD,LICENCE,CHILDREN’S SOCIAL CARE
Rochdale Borough Council,d1075224,2018-04-06,"£10,000.00",NO GRAFFITI LTD,CONTRACTED SERVICES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3000101,2018-04-06,"£25,200.00",HBP STRUCTURAL CONSULTANTS LTD,MINOR BUILDING WORKS,ECONOMY DIRECTORATE
Rochdale Borough Council,e1025662,2018-04-06,"£12,210.00",TEACHING PERSONNEL LTD,AGENCY STAFF,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1006435,2018-04-06,"£11,483.01",CRITIQOM LIMITED,PRINTING & STATIONERY,RESOURCES
Rochdale Borough Council,s1022860,2018-04-06,"£136,065.96",HEALTHWATCH ROCHDALE,SERVICE LEVEL AGREEMENTS,COMMISSIONING AND STATUTORY
Rochdale Borough Council,d1075239,2018-04-09,"£22,521.00",ROCHDALE DEVELOPMENT AGENCY,BASIC SALARIES,ECONOMY DIRECTORATE
Rochdale Borough Council,d1075240,2018-04-09,"£34,492.00",ROCHDALE DEVELOPMENT AGENCY,CAPITAL SALARIES,ECONOMY DIRECTORATE
Rochdale Borough Council,d1075241,2018-04-09,"£37,146.00",ROCHDALE DEVELOPMENT AGENCY,CAPITAL SALARIES,ECONOMY DIRECTORATE
Rochdale Borough Council,d1075242,2018-04-09,"£31,717.00",ROCHDALE DEVELOPMENT AGENCY,BASIC SALARIES,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1075253,2018-04-09,"£31,717.00",ROCHDALE DEVELOPMENT AGENCY,BASIC SALARIES,ECONOMY DIRECTORATE
Rochdale Borough Council,d1075254,2018-04-09,"£7,281.90",THE PLAY INSPECTION COMPANY LTD,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1075265,2018-04-09,"£15,076.54",EGBERT H TAYLOR & CO LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1075273,2018-04-09,"£6,930.00",ROCHDALE BOROUGH SHOPMOBILITY,GRANTS TO THE VOLUNTARY SECTOR,ECONOMY DIRECTORATE
Rochdale Borough Council,d1075278,2018-04-09,"£5,331.00",AVANTI GAS LTD,OIL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1025666,2018-04-09,"£415,392.09",INSPIREDSPACES ROCHDALE PROJECTCO2 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,e1025667,2018-04-09,"£338,623.94",INSPIREDSPACES ROCHDALE PROJECT CO1 LTD,PFI SCHEMES RPIX,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1006440,2018-04-09,"£5,681.12",CRITIQOM LIMITED,POSTAGE,RESOURCES
Rochdale Borough Council,f1006442,2018-04-09,"£45,000.00",CRITIQOM LIMITED,POSTAGE,RESOURCES
Rochdale Borough Council,f1006443,2018-04-09,"£20,000.00",CRITIQOM LIMITED,PRINTING & STATIONERY,RESOURCES
Rochdale Borough Council,f1006446,2018-04-09,"£10,000.00",NORTHGATE PUBLIC SERVICES UK LTD,POSTAGE,RESOURCES
Rochdale Borough Council,r1001812,2018-04-09,"£12,000.00",EAST LANCASHIRE RAILWAY TRUST LTD,CONSULTANT FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,d1075282,2018-04-10,"£50,000.00",GM BUSINESS SUPPORT LIMITED,GRANTS TO THE NON VOLUNTARY SECTOR,ECONOMY DIRECTORATE
Rochdale Borough Council,d1075284,2018-04-10,"£26,315.00",ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1075285,2018-04-10,"£24,700.00",J AND S TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1075286,2018-04-10,"£24,370.00",J AND S TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1075287,2018-04-10,"£25,840.00",J AND S TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1075288,2018-04-10,"£24,267.00",J AND S TRAVEL,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1075289,2018-04-10,"£23,450.00",PREMIERESHOW LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1075290,2018-04-10,"£21,628.00",PREMIERESHOW LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1075291,2018-04-10,"£25,365.00",PREMIERESHOW LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1075292,2018-04-10,"£27,243.00",ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1075293,2018-04-10,"£28,379.00",ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1075294,2018-04-10,"£22,392.00",ROYTON MINIBUSES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1075295,2018-04-10,"£23,351.00",DALE INDUSTRIAL SERVICES LIMITED,TAXI HIRE,NEIGHBOURHOODS AND ENVIRONMENT
