Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,d1072918,2018-01-02,38857.00,MANCHESTER CITY COUNCIL,AGMA,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,e1025017,2018-01-02,21036.51,INSPIREDSPACES ROCHDALE LTD,ARCHITECTS FEES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1072920,2018-01-03,148429.00,JACKSON JACKSON AND SONS LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,ph102391,2018-01-03,17867.95,SAFENET DOMESTIC ABUSE SERVICE,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,ph102392,2018-01-03,327779.00,PENNINE CARE NHS,PH PENNINE CARE CONTRACT,PUBLIC HEALTH
Rochdale Borough Council,r1001748,2018-01-03,8649.00,A B MARKETS,PROFESSIONAL FEES,ECONOMY DIRECTORATE
Rochdale Borough Council,d1072960,2018-01-04,28500.00,EMO OIL LIMITED,TRANSACTIONS-EXPENDITURE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1072985,2018-01-04,9575.36,AVK SEG UK LTD,PURCHASE OF ICT HARDWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,ph102400,2018-01-04,32500.00,COUNCIL FOR VOLUNTARY SERVICE ROCHDALE,PH OTHER CONTRACTS,PUBLIC HEALTH
Rochdale Borough Council,s1022408,2018-01-04,5600.00,ACTION FIRST IPEOPLE LTD,FEES / COMMISSION,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1022412,2018-01-04,6009.00,STANNAH LIFT SERVICES LTD,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,x1015027,2018-01-04,8827.43,SPORT WORKS GTR MANCHESTER LTD,ACTIVITIES,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1006131,2018-01-05,5000.00,ROCHDALE ONLINE LIMITED,ADVERTISING -STAFF,RESOURCES
Rochdale Borough Council,d1073043,2018-01-08,150000.00,ROCHDALE BOROUGHWIDE HOUSING,GRANTS TO OTHER BODIES,NEIGHBOURHOODS AND ENVIRONMENT
