Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,Description of Goods ,Service/Department ,Expense Area ,Net Order Value Over £5000.00 
2019-01-03,ZZS654492,1,12841,AFG Law,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Legal Fees Budget,6101.18
2019-01-21,ZZS655389,1,3771,Warrington MBC,280000,Legal Services  ,Legal Fees,Corporate and Support Services,Legal Fees Budget,7923.68
2019-01-28,ZZS655733,1,9816,Temperley Taylor LLP,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Legal Fees Budget,15180.40
2019-01-28,ZZS655744,1,7452,Big Button Media Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Systems,8500.00
2019-02-05,ZZS656242,1,12589,Garratts Solicitors,280000,Legal Services  ,Legal Fees,Corporate and Support Services,Legal Fees Budget,12757.50
2019-02-07,ZZS656360,1,4272,Civica UK Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Legal Services,33921.66
2019-02-14,ZZS656755,1,909,DWF LLP,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Legal Fees Budget,11054.92
2019-02-14,ZZS656755,2,909,DWF LLP,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Legal Fees Budget,4456.50
2019-02-14,ZZS656755,3,909,DWF LLP,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Legal Fees Budget,12039.93
2019-02-19,ZZS656949,1,7684,CDW Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Traded (SHG),5489.05
2019-03-25,ZZS658802,1,10678,Servelec Education Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT Systems,6300.00
2019-03-04,ZPC657617,1,11021,The Laurus Trust (Cheadle Hulm,150000,Consultancy   ,Professional Fees,Services to People,Cedars PRU,22050.00
2019-01-18,ZSB655340,1,3529,Totally Local Company Ltd,130000,Cleaning & Janitorial  ,Cleaning,Services to People,Highfields PRU,6367.72
2019-02-12,ZSB656632,1,3529,Totally Local Company Ltd,130000,Cleaning & Janitorial  ,Cleaning,Services to People,Schools referral-ACE,5501.28
2019-01-22,ZAV655498,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,5313.12
2019-01-22,ZAV655498,2,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,9.00
2019-02-14,ZAV656756,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,4524.00
2019-02-14,ZAV656756,2,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,417.60
2019-02-14,ZAV656756,3,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,762.00
2019-02-14,ZAV656756,4,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,501.00
2019-02-14,ZAV656756,5,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,15.00
2019-03-05,ZAV657660,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Service,1508.00
2019-03-05,ZAV657660,2,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Service,139.20
2019-03-05,ZAV657660,3,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Service,508.00
2019-03-05,ZAV657660,4,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,2262.00
2019-03-05,ZAV657660,5,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,208.80
2019-03-05,ZAV657660,6,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,381.00
2019-03-06,ZAV657770,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,5551.00
2019-03-06,ZAV657770,2,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,130.00
2019-03-07,ZAV657892,1,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,5565.60
2019-03-07,ZAV657892,2,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,150.00
2019-03-07,ZAV657892,3,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,510.00
2019-03-07,ZAV657901,1,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,6120.00
2019-03-07,ZAV657901,2,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,510.00
2019-03-07,ZAV657901,3,12351,Getech,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,150.00
2019-03-14,ZAV658265,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,9300.00
2019-03-14,ZAV658265,2,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,202.40
2019-01-07,ZSA654646,1,1644,Tameside MBC,150000,Consultancy   ,Professional Fees,Services to People,Safeguarding Adults,51048.00
2019-01-03,ZSA654493,1,3188,Northgate Public Services,380000,Vehicle Management  ,Driving and Vehicle Licences,Corporate and Support Services,Driver Assessment,6000.00
2019-01-22,ZSA655479,1,11156,David Hunter,261500,Human Resources Training & Conferences ,Expenses and Allowances,Services to People,SA Board,6000.00
2019-01-28,ZSA655736,1,8880,HAS Technology Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,A&C Payments Team,140745.00
2019-02-15,ZSA656868,1,9715,NHS Stockport CCG,260000,Human Resources  ,Other Payments,Services to People,Proactive Care,285875.00
2019-02-07,ZSA656374,1,13393,Valtech Limited,390000,"Works - Construction, Repair & Maintenance  ",Fees and Charges,Services to People,Marple Running Costs,6000.00
2019-02-19,ZSA656993,1,11362,Gill Frame,999999,Fees and Charges,Fees and Charges,Services to People,Safeguarding Adults,15000.00
2019-02-21,ZSA657101,1,13425,Paul Cheeseman,261500,Human Resources Training & Conferences ,Expenses and Allowances,Services to People,SA Board,5000.00
2019-03-08,ZSA657970,1,10081,Doro Care Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,#N/A,#N/A,4740.00
2019-03-08,ZSA657970,2,10081,Doro Care Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,#N/A,#N/A,1380.00
2019-03-08,ZSA657972,1,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,#N/A,#N/A,5120.00
2019-03-08,ZSA657972,2,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,#N/A,#N/A,2250.00
2019-03-08,ZSA657972,3,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,#N/A,#N/A,816.00
2019-03-08,ZSA657972,4,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,#N/A,#N/A,27.00
2019-03-08,ZSA657972,5,1583,Tunstall Healthcare (UK) Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,#N/A,#N/A,19.50
2019-03-13,ZSA658166,1,12193,Greater Manchester Combined Au,999999,Fees and Charges,Fees and Charges,Services to People,S&P Support,29742.00
2019-03-28,ZSA659037,1,3664,Main and Main,202000,Financial Services Rents ,Rents,Services to People,Queensway,10800.00
2019-03-15,ZSA658340,1,1644,Tameside MBC,999999,Fees and Charges,Fees and Charges,Services to People,*Ss&Reg: Ad-S.& Perf,7500.00
2019-03-22,ZSA658754,1,9715,NHS Stockport CCG,260000,Human Resources  ,Other Payments,Services to People,Proactive Care,327537.00
2019-03-22,ZSA658753,1,9715,NHS Stockport CCG,260000,Human Resources  ,Other Payments,Services to People,Transformation Fund,51000.00
