Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,"Description of Goods 
(Purpose of expenditure look up)","Service/Department 
(SAP Hierarchy Position)","Expense Area 
(cost centre desc)","Net Order Value Over £5000.00 
(line item value shown here)",GL Code,Cost Centre/WBS
2019-07-29,ZZS665393,1,11932,THOMSON REUTERS LTD,171113,Education Library Books ,Library Equipment,Corporate and Support Services,Legal Services,"27,951.47",400202,11117
2019-09-23,ZZS667903,1,1177,Copyright Licensing Agency,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Legal Fees Budget,"13,845.26",401020,12271
2019-09-04,ZZS666997,1,12582,LISA HOUGHTON - Legal/Law,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Legal Fees Budget,"16,990.00",401020,12271
2019-09-16,ZPC667541,1,11021,The Laurus Trust (Cheadle Hulm,150000,Consultancy   ,Professional Fees,Services to People,Pendlebury PRU,"2,646.00",401020,10318
2019-09-16,ZPC667541,2,11021,The Laurus Trust (Cheadle Hulm,150000,Consultancy   ,Professional Fees,Services to People,Cedars PRU,"1,764.00",401020,10317
2019-09-16,ZPC667541,3,11021,The Laurus Trust (Cheadle Hulm,150000,Consultancy   ,Professional Fees,Services to People,Pendlebury PRU,"2,646.00",401020,10318
2019-09-16,ZPC667541,4,11021,The Laurus Trust (Cheadle Hulm,150000,Consultancy   ,Professional Fees,Services to People,Cedars PRU,"1,764.00",401020,10317
2019-09-16,ZPC667541,5,11021,The Laurus Trust (Cheadle Hulm,150000,Consultancy   ,Professional Fees,Services to People,Pendlebury PRU,"2,646.00",401020,10318
2019-09-16,ZPC667541,6,11021,The Laurus Trust (Cheadle Hulm,150000,Consultancy   ,Professional Fees,Services to People,Cedars PRU,"1,764.00",401020,10317
2019-09-16,ZPC667541,7,11021,The Laurus Trust (Cheadle Hulm,150000,Consultancy   ,Professional Fees,Services to People,Pendlebury PRU,"2,646.00",401020,10318
2019-09-16,ZPC667541,8,11021,The Laurus Trust (Cheadle Hulm,150000,Consultancy   ,Professional Fees,Services to People,Cedars PRU,"1,764.00",401020,10317
2019-07-03,ZSB664183,1,3529,Totally Local Company Ltd,111200,Catering Food & Beverages ,Catering Supplies,Services to People,Highfields PRU,"4,956.34",400422,10329
2019-07-03,ZSB664183,2,3529,Totally Local Company Ltd,111200,Catering Food & Beverages ,Catering Supplies,Services to People,Highfields PRU,"3,666.40",400422,10329
2019-07-03,ZSB664180,1,5535,Elementary Technology Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to People,Highfields PRU,"9,245.00",402001,10329
2019-07-10,ZSB664464,1,1799,Stockport Homes,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to People,Highfields PRU,"6,973.65",200123,10329
