Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,Description of Goods ,Service/Department ,Expense Area,Net Order Value Over £5000.00 
2017-11-15,ZAV281617,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,,Corporate and Support Services,I&C AVA Services,7000.00
2017-11-15,ZAV281617,2,12402,VeryPC Ltd,270000,Information Communication Technology  ,,Corporate and Support Services,I&C AVA Services,9.00
2017-12-14,ZAV283130,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,,Corporate and Support Services,I&C AVA Services,9394.00
2017-12-14,ZAV283130,2,12402,VeryPC Ltd,270000,Information Communication Technology  ,,Corporate and Support Services,I&C AVA Services,176.00
2017-12-14,ZAV283130,3,12402,VeryPC Ltd,270000,Information Communication Technology  ,,Corporate and Support Services,I&C AVA Services,9.00
2017-10-23,ZES280384,1,2927,XMA Ltd,270000,Information Communication Technology  ,,Services to People,HTV GM ESF,9613.76
2017-10-23,ZES280384,2,2927,XMA Ltd,270000,Information Communication Technology  ,,Services to People,HTV GM ESF,56.00
2017-10-23,ZES280384,3,2927,XMA Ltd,270000,Information Communication Technology  ,,Services to People,HTV GM ESF,56.00
2017-10-26,ZES280548,1,2927,XMA Ltd,270000,Information Communication Technology  ,,Corporate and Support Services,I&C Schools Email & Internet,3734.45
2017-10-26,ZES280548,2,2927,XMA Ltd,270000,Information Communication Technology  ,,Corporate and Support Services,I&C Schools Email & Internet,1855.35
2017-10-26,ZES280548,3,2927,XMA Ltd,270000,Information Communication Technology  ,,Corporate and Support Services,I&C Schools Email & Internet,889.20
2017-10-26,ZES280548,4,2927,XMA Ltd,270000,Information Communication Technology  ,,Corporate and Support Services,I&C Schools Email & Internet,889.20
2017-11-07,ZES281145,1,9353,Capita IT Services t/a NTS (UK,270000,Information Communication Technology  ,,Corporate and Support Services,Digital by Design Technical,12309.33
2017-11-15,ZES281628,1,8861,Adam Continuity,270000,Information Communication Technology  ,,Corporate and Support Services,IT Infrastructure,6548.00
2017-11-30,ZES282361,1,2927,XMA Ltd,270000,Information Communication Technology  ,,Services to Place,Taxi & Private Hire Cars,5293.68
2017-11-30,ZES282361,2,2927,XMA Ltd,270000,Information Communication Technology  ,,Services to Place,Taxi & Private Hire Cars,42.00
2017-11-30,ZES282361,3,2927,XMA Ltd,270000,Information Communication Technology  ,,Services to Place,Taxi & Private Hire Cars,42.00
2017-10-04,ZFC279398,1,2388,Young & Company,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Broadfields Children's Home - Roof,72491.13
2017-10-18,ZFC280185,1,8334,SPECIALIST UK RESTORATIONS LTD,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Corporate Buildings  - Fire Protection  Work,6470.00
2017-10-18,ZFC280192,1,2538,Whitfield and Brown Ltd,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Capital Works on Leisure Centres - Grand Central,707599.69
2017-10-31,ZFC280815,1,4756,Eurolink Modular Buildings Ltd,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Highfields Pru Mobile Accommodation,385352.00
2017-11-08,ZFC281234,1,2438,J Greenwood (Builders) Ltd,390000,"Works - Construction, Repair & Maintenance  ",,Services to People,CH - Broadfield,48625.00
2017-11-28,ZFC282276,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Capital Works on Leisure Centres - Avondale,198700.05
2017-11-28,ZFC282276,2,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Condition Works on Leisure Centres - Bramhall,63663.11
2017-11-28,ZFC282276,3,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Capital Works on Leisure Centres - Hazel Grove,698659.98
2017-11-28,ZFC282276,4,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Capital Works on Leisure Centres - Hazel Grove,120934.73
2017-11-28,ZFC282276,5,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Capital Works on Leisure Centres - Priestnall,32925.56
2017-11-28,ZFC282276,6,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Capital Works on Leisure Centres - Romiley,94763.62
2017-12-05,ZFC282562,1,4704,CPL Heating and Plumbing,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Marple Hall Sec. Isherwood Block Boiler Scheme,153378.00
2017-12-13,ZFC283010,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Capital Works on Leisure Centres - Grand Central,51359.27
2017-10-02,ZHT279277,1,2438,J Greenwood (Builders) Ltd,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Park Buildings/Changing rooms - H&S Issues,7560.00
2017-10-19,ZHT280290,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Condition Works on Leisure Centres - Romiley,7257.80
2017-10-19,ZHT280298,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Condition Works on Leisure Centres - Priestnall,25331.20
2017-11-02,ZHT280953,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Leisure Strategy - Capital Works on Centres,10000.00
2017-11-10,ZHT281382,1,2479,JR Foy and Son Ltd,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Park Buildings/Changing rooms - H&S Issues,23377.20
2017-11-10,ZHT281397,1,2479,JR Foy and Son Ltd,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Corporate Buildings - install improved boilers,7564.68
2017-11-10,ZHT281409,1,12435,Northern Fencing Ltd,181000,Environmental Services Demolition & Asbestos Removal ,,Capital Expenditure,Corporate buildings - demolition of 103,7059.00
2017-11-16,ZHT281673,1,2438,J Greenwood (Builders) Ltd,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Corporate Buildings - install improved boilers,43095.00
2017-11-28,ZHT282242,1,588,H Jenkinson & Co Ltd,210000,Furniture & Soft Furnishings  ,,Capital Expenditure,Brinnington Sports Centre,12750.00
2017-12-05,ZHT282563,1,628,Life Leisure,270000,Information Communication Technology  ,,Capital Expenditure,Brinnington Sports Centre,13996.14
2017-12-06,ZHT282692,1,10966,National Car Parks Ltd,192200,Facilities & Management Services Security ,,Capital Expenditure,Stopford House - car park controlled access,86900.14
2017-12-19,ZHT283301,1,2479,JR Foy and Son Ltd,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Hazlegrove Primary.  Roof Repairs,8880.00
2017-10-10,ZPP279795,1,2458,Northern Insulation Contractor,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Marple Hall Sec. Isherwood Block Boiler Scheme,14637.00
2017-10-24,ZPP280473,1,2324,LAR Ltd,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Capital Works on Leisure Centres - Romiley,5438.00
2017-10-27,ZPP280622,1,4708,The Dodd Group,390000,"Works - Construction, Repair & Maintenance  ",,Capital Expenditure,Corporate buildings - asbestos removal,5724.60
2017-10-03,ZSA279322,1,1339,Stockport NHS Foundation Trust,260000,Human Resources  ,,Services to People,PDL Purchasing Costs,193241.00
2017-10-19,ZSA280264,1,9715,NHS Stockport CCG,260000,Human Resources  ,,Services to People,Proactive Care,528055.00
2017-10-19,ZSA280283,1,11615,Healthwatch Stockport,999999,Social Community Care Supplies & Services  ,,Services to People,Health Policy Grants,64500.00
2017-10-31,ZSA280771,1,1644,Tameside MBC,999999,Fees and Charges,,Services to People,Assistant Director - Strategy & Performa,5000.00
2017-11-02,ZSA280897,1,1117,OLM Systems Ltd,150000,Consultancy   ,,Services to People,Info S&P Special Projects,10000.00
2017-11-06,ZSA281071,1,9715,NHS Stockport CCG,150000,Consultancy   ,,Services to People,Info S&P Special Projects,5000.00
2017-11-07,ZSA281136,1,1339,Stockport NHS Foundation Trust,260000,Human Resources  ,,Services to People,Transformation Fund-Intermediate Tier,627753.00
2017-11-07,ZSA281137,1,1339,Stockport NHS Foundation Trust,999999,UNCLASSIFIED  ,,Services to People,Intermediate Care PCT,228225.00
2017-11-07,ZSA281138,1,1339,Stockport NHS Foundation Trust,999999,UNCLASSIFIED  ,,Services to People,Intermediate Care FT,303750.00
2017-11-08,ZSA281241,1,1339,Stockport NHS Foundation Trust,261400,Human Resources Temporary & Agency Staff ,,Services to People,Ld Service Mgt Costs Medical Services,30000.00
2017-11-08,ZSA281242,1,9018,Future Directions CIC,320000,Social Community Care Supplies & Services  ,,Services to People,Calderstones 4 Properties,60000.00
2017-11-08,ZSA281275,1,1339,Stockport NHS Foundation Trust,999999,UNCLASSIFIED  ,,Services to People,Intermediate Care PCT,456450.00
