Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Support Costs,MIRO.COM,Information and Communications Technology,Information Communication Technology  ,24.04.2020,16.05.2020,GPC04200000001,116.99
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,23.04.2020,16.05.2020,GPC04200000002,11.79
Stockport MBC,Corporate and Support Services,Central Support Costs,GITHUB,Information and Communications Technology,Information Communication Technology  ,14.04.2020,16.05.2020,GPC04200000003,168.59
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.CONTENTFUL.COM,Information and Communications Technology,Information Communication Technology  ,10.04.2020,16.05.2020,GPC04200000004,34.35
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.CONTENTFUL.COM,Information and Communications Technology,Information Communication Technology  ,07.04.2020,16.05.2020,GPC04200000005,802.72
Stockport MBC,Corporate and Support Services,Central Support Costs,EASILY LTD,Information and Communications Technology,Information Communication Technology  ,06.04.2020,16.05.2020,GPC04200000006,12.80
Stockport MBC,Corporate and Support Services,Central Support Costs,EASILY LTD,Information and Communications Technology,Information Communication Technology  ,06.04.2020,16.05.2020,GPC04200000007,31.80
Stockport MBC,Corporate and Support Services,Central Support Costs,AWS EMEA,Information and Communications Technology,Information Communication Technology  ,03.04.2020,16.05.2020,GPC04200000008,"1,056.44"
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,05.04.2020,16.05.2020,GPC04200000009,168.47
Stockport MBC,Corporate and Support Services,Central Services to the public,WWW.JOHNLEWIS.COM,COVID 19,Social Community Care Supplies & Services  ,27.04.2020,16.05.2020,GPC04200000010,422.99
Stockport MBC,Corporate and Support Services,Central Services to the public,TESCO ONLINE,COVID 19,Social Community Care Supplies & Services  ,02.04.2020,16.05.2020,GPC04200000011,48.00
Stockport MBC,Corporate and Support Services,Central Services to the public,TESCO ONLINE,COVID 19,Social Community Care Supplies & Services  ,02.04.2020,16.05.2020,GPC04200000012,48.00
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  6SARTS6MG2,Office Expenses,Facilities & Management Services  ,30.04.2020,16.05.2020,GPC04200000013,495.48
Stockport MBC,Corporate and Support Services,Central Support Costs,APPLE.COM/BILL,Information and Communications Technology,Information Communication Technology  ,27.04.2020,16.05.2020,GPC04200000014,5.83
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Furniture and Equipment,Environmental Services Technical Equipment ,09.04.2020,16.05.2020,GPC04200000015,5.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,11.04.2020,16.05.2020,GPC04200000016,-7.20
