Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,28.08.2020,16.09.2020,GPC08200000001,264.00
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,25.08.2020,16.09.2020,GPC08200000002,12.59
Stockport MBC,Corporate and Support Services,Central Support Costs,MIRO.COM,Information and Communications Technology,Information Communication Technology  ,24.08.2020,16.09.2020,GPC08200000003,110.37
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,16.08.2020,16.09.2020,GPC08200000004,19.19
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.CONTENTFUL.COM,Information and Communications Technology,Information Communication Technology  ,14.08.2020,16.09.2020,GPC08200000005,26.45
Stockport MBC,Corporate and Support Services,Central Support Costs,GITHUB,Information and Communications Technology,Information Communication Technology  ,14.08.2020,16.09.2020,GPC08200000006,79.06
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.CONTENTFUL.COM,Information and Communications Technology,Information Communication Technology  ,09.08.2020,16.09.2020,GPC08200000007,750.90
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,05.08.2020,16.09.2020,GPC08200000008,157.83
Stockport MBC,Corporate and Support Services,Central Support Costs,AWS EMEA,Information and Communications Technology,Information Communication Technology  ,03.08.2020,16.09.2020,GPC08200000009,"1,137.59"
Stockport MBC,Corporate and Support Services,Central Support Costs,PLURALSIGHT,Information and Communications Technology,Information Communication Technology  ,31.07.2020,16.09.2020,GPC08200000010,"4,604.36"
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  XZUPBWAMG2,Office Expenses,Facilities & Management Services  ,01.09.2020,16.09.2020,GPC08200000011,539.76
Stockport MBC,Corporate and Support Services,Central Support Costs,ENVATO 54500172,Information and Communications Technology,Information Communication Technology  ,28.08.2020,16.09.2020,GPC08200000012,58.19
