Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Services to the public,AUTOMOBILE PARKING LOTS AND GARAGES,Travelling Expenses,Human Resources Travel & Subsistence ,21.02.2020,16.03.2020,12.00
Stockport MBC,Corporate and Support Services,Central Support Costs,ADVERTISING SERVICES,Publicity and Promotion,Facilities & Management Services  ,29.02.2020,16.03.2020,447.06
Stockport MBC,Corporate and Support Services,Central Support Costs,RECORD SHOPS,Publicity and Promotion,Facilities & Management Services  ,26.02.2020,16.03.2020,6.99
Stockport MBC,Corporate and Support Services,Central Support Costs,ADVERTISING SERVICES,Publicity and Promotion,Facilities & Management Services  ,23.02.2020,16.03.2020,350.00
Stockport MBC,Corporate and Support Services,Central Support Costs,COMPUTER NETWORK/INFORMATION SERVICES,Publicity and Promotion,Facilities & Management Services  ,09.02.2020,16.03.2020,6.00
Stockport MBC,Corporate and Support Services,Central Support Costs,ADVERTISING SERVICES,Publicity and Promotion,Facilities & Management Services  ,31.01.2020,16.03.2020,260.27
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,28.02.2020,16.03.2020,2.00
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,28.02.2020,16.03.2020,11.79
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,27.02.2020,16.03.2020,13.15
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,26.02.2020,16.03.2020,17.80
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,25.02.2020,16.03.2020,14.56
