Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Services to the public,AMAZON.CO.UK OU3X48KR5,Office Expenses,Stationery    ,22.01.2020,16.02.2020,GPC01200000001,53.99
Stockport MBC,Corporate and Support Services,Central Services to the public,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,17.01.2020,16.02.2020,GPC01200000002,-4.40
Stockport MBC,Corporate and Support Services,Central Services to the public,THETRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,16.01.2020,16.02.2020,GPC01200000003,73.30
Stockport MBC,Corporate and Support Services,Central Services to the public,THETRAINLINE.COM,Expenses and Allowances,UNCLASSIFIED  ,13.01.2020,16.02.2020,GPC01200000004,150.30
Stockport MBC,Corporate and Support Services,Central Services to the public,AMAZON.CO.UK K60011XZ5,Office Expenses,Stationery    ,13.01.2020,16.02.2020,GPC01200000005,98.28
Stockport MBC,Corporate and Support Services,Central Services to the public,AVANTI WEST COAST,Travelling Expenses,Human Resources Travel & Subsistence ,03.01.2020,16.02.2020,GPC01200000006,142.00
Stockport MBC,Corporate and Support Services,Central Support Costs,FS  KREATURA,Furniture and Equipment,Environmental Services Technical Equipment ,30.01.2020,16.02.2020,GPC01200000007,20.00
Stockport MBC,Corporate and Support Services,Central Support Costs,GOOGLE  ADS3507315292,Office Expenses,Facilities & Management Services  ,29.01.2020,16.02.2020,GPC01200000008,200.00
Stockport MBC,Corporate and Support Services,Central Support Costs,APPLE.COM/BILL,Information and Communications Technology,Information Communication Technology  ,26.01.2020,16.02.2020,GPC01200000009,6.99
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  8PFDDRAMG2,Office Expenses,Facilities & Management Services  ,23.01.2020,16.02.2020,GPC01200000010,700.00
Stockport MBC,Corporate and Support Services,Central Support Costs,AMZNMKTPLACE AMAZON.CO,Office Expenses,Facilities & Management Services  ,19.01.2020,16.02.2020,GPC01200000011,25.33
Stockport MBC,Corporate and Support Services,Central Support Costs,AMZ TORRAS DIRECT,Information and Communications Technology,Information Communication Technology  ,18.01.2020,16.02.2020,GPC01200000012,-18.44
Stockport MBC,Corporate and Support Services,Central Support Costs,POPSOCKETS UK GBP,Information and Communications Technology,Information Communication Technology  ,17.01.2020,16.02.2020,GPC01200000013,3.00
Stockport MBC,Corporate and Support Services,Central Support Costs,GRAMMARLY COVMETUJA,Office Expenses,Facilities & Management Services  ,16.01.2020,16.02.2020,GPC01200000014,110.62
Stockport MBC,Corporate and Support Services,Central Support Costs,POPSOCKETS UK GBP,Information and Communications Technology,Information Communication Technology  ,13.01.2020,16.02.2020,GPC01200000015,22.49
Stockport MBC,Corporate and Support Services,Central Support Costs,AMZNMKTPLACE,Information and Communications Technology,Information Communication Technology  ,12.01.2020,16.02.2020,GPC01200000016,22.43
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  R5GN8QWLG2,Office Expenses,Facilities & Management Services  ,11.01.2020,16.02.2020,GPC01200000017,700.00
Stockport MBC,Corporate and Support Services,Central Support Costs,ENVATOMARKET50918824,Furniture and Equipment,Environmental Services Technical Equipment ,09.01.2020,16.02.2020,GPC01200000018,58.85
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Furniture and Equipment,Environmental Services Technical Equipment ,09.01.2020,16.02.2020,GPC01200000019,5.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,30.01.2020,16.02.2020,GPC01200000020,6.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,30.01.2020,16.02.2020,GPC01200000021,14.75
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,29.01.2020,16.02.2020,GPC01200000022,20.69
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,28.01.2020,16.02.2020,GPC01200000023,15.95
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,27.01.2020,16.02.2020,GPC01200000024,17.94
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,24.01.2020,16.02.2020,GPC01200000025,10.11
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,23.01.2020,16.02.2020,GPC01200000026,8.70
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,22.01.2020,16.02.2020,GPC01200000027,19.33
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,21.01.2020,16.02.2020,GPC01200000028,5.15
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,20.01.2020,16.02.2020,GPC01200000029,21.48
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,17.01.2020,16.02.2020,GPC01200000030,7.28
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,10.01.2020,16.02.2020,GPC01200000031,14.45
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,09.01.2020,16.02.2020,GPC01200000032,20.70
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,08.01.2020,16.02.2020,GPC01200000033,14.14
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,06.01.2020,16.02.2020,GPC01200000034,35.09
Stockport MBC,Services to People,Childrens & Educational Services,UNIVERSITY OF MANCHEST,Travelling Expenses,Human Resources Travel & Subsistence ,29.01.2020,16.02.2020,GPC01200000035,4.17
Stockport MBC,Services to People,Childrens & Educational Services,JOHN LEWIS,Information and Communications Technology,Information Communication Technology  ,21.01.2020,16.02.2020,GPC01200000036,160.84
Stockport MBC,Services to People,Childrens & Educational Services,PRINTMYTICKETS.CO.,Printing and Photocopying,Facilities & Management Services Printing ,15.01.2020,16.02.2020,GPC01200000037,28.05
Stockport MBC,Services to People,Childrens & Educational Services,ACP  MUSICROOM.COM,Library Equipment,Education Library Books ,08.01.2020,16.02.2020,GPC01200000038,61.20
Stockport MBC,Services to People,Childrens & Educational Services,PAYPAL  4A4QUARTET,Library Equipment,Education Library Books ,06.01.2020,16.02.2020,GPC01200000039,5.94
Stockport MBC,Services to People,Childrens & Educational Services,WWW.SAXTETPUBLICATIONS,Library Equipment,Education Library Books ,06.01.2020,16.02.2020,GPC01200000040,19.00
Stockport MBC,Services to People,Childrens & Educational Services,IKEA LTD 186 MANCHESTE,Furniture and Equipment,Furniture & Soft Furnishings  ,03.01.2020,16.02.2020,GPC01200000041,87.50
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,30.01.2020,16.02.2020,GPC01200000042,173.40
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,27.01.2020,16.02.2020,GPC01200000043,90.50
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,27.01.2020,16.02.2020,GPC01200000044,73.50
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADS8179771860,Office Expenses,Facilities & Management Services  ,27.01.2020,16.02.2020,GPC01200000045,500.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,20.01.2020,16.02.2020,GPC01200000046,109.40
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,20.01.2020,16.02.2020,GPC01200000047,361.50
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE AMAZON.CO,Publicity and Promotion,Arts & Leisure Services  ,17.01.2020,16.02.2020,GPC01200000048,89.37
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADS8179771860,Office Expenses,Facilities & Management Services  ,17.01.2020,16.02.2020,GPC01200000049,500.00
Stockport MBC,Services to People,Childrens & Educational Services,MY.MORRISONS.COM,Publicity and Promotion,Arts & Leisure Services  ,15.01.2020,16.02.2020,GPC01200000050,20.00
Stockport MBC,Services to People,Childrens & Educational Services,METRO TAXIS LIMITED,Publicity and Promotion,Arts & Leisure Services  ,14.01.2020,16.02.2020,GPC01200000051,20.00
Stockport MBC,Services to People,Childrens & Educational Services,METRO TAXIS LIMITED,Publicity and Promotion,Arts & Leisure Services  ,14.01.2020,16.02.2020,GPC01200000052,20.00
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44537680,Travelling Expenses,Human Resources Travel & Subsistence ,10.01.2020,16.02.2020,GPC01200000053,322.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,10.01.2020,16.02.2020,GPC01200000054,133.40
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADS8179771860,Office Expenses,Facilities & Management Services  ,09.01.2020,16.02.2020,GPC01200000055,500.00
Stockport MBC,Services to People,Childrens & Educational Services,OODLES SOFT PLAY,Publicity and Promotion,Arts & Leisure Services  ,09.01.2020,16.02.2020,GPC01200000056,85.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,06.01.2020,16.02.2020,GPC01200000057,286.50
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,02.01.2020,16.02.2020,GPC01200000058,207.50
Stockport MBC,Services to People,Childrens & Educational Services,NCP LIMITED,Travelling Expenses,Human Resources Travel & Subsistence ,29.01.2020,16.02.2020,GPC01200000059,14.20
Stockport MBC,Services to People,Childrens & Educational Services,MANCHESTER OXFORD ROAD,Travelling Expenses,Human Resources Travel & Subsistence ,10.01.2020,16.02.2020,GPC01200000060,3.70
Stockport MBC,Services to Place,Central Support Costs,STOCKPORT T/O,Travelling Expenses,Human Resources Travel & Subsistence ,30.01.2020,16.02.2020,GPC01200000061,6.50
Stockport MBC,Services to Place,Central Support Costs,MANCHESTER PICC TVM,Travelling Expenses,Human Resources Travel & Subsistence ,30.01.2020,16.02.2020,GPC01200000062,4.30
Stockport MBC,Services to Place,Central Support Costs,CAFELITO,Office Expenses,Catering  ,28.01.2020,16.02.2020,GPC01200000063,1.98
Stockport MBC,Services to Place,Central Support Costs,CAFELITO,Office Expenses,Catering  ,28.01.2020,16.02.2020,GPC01200000064,11.02
Stockport MBC,Services to Place,Central Support Costs,STOCKPORT TVM,Travelling Expenses,Human Resources Travel & Subsistence ,24.01.2020,16.02.2020,GPC01200000065,6.50
Stockport MBC,Services to Place,Central Support Costs,Q PARK PICCADILLY PLAC,Travelling Expenses,Human Resources Travel & Subsistence ,21.01.2020,16.02.2020,GPC01200000066,5.00
Stockport MBC,Services to Place,Central Support Costs,STOCKPORT T/O,Travelling Expenses,Human Resources Travel & Subsistence ,13.01.2020,16.02.2020,GPC01200000067,6.50
Stockport MBC,Services to Place,Central Support Costs,STOCKPORT TVM,Travelling Expenses,Human Resources Travel & Subsistence ,10.01.2020,16.02.2020,GPC01200000068,6.50
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Office Expenses,Stationery    ,28.01.2020,16.02.2020,GPC01200000069,4.08
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON PRIME 0L0RB4D35,Furniture and Equipment,Furniture & Soft Furnishings  ,13.01.2020,16.02.2020,GPC01200000070,7.99
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,30.01.2020,16.02.2020,GPC01200000071,8.80
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,30.01.2020,16.02.2020,GPC01200000072,12.00
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,29.01.2020,16.02.2020,GPC01200000073,2.60
Stockport MBC,Services to People,Childrens & Educational Services,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,29.01.2020,16.02.2020,GPC01200000074,52.17
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,27.01.2020,16.02.2020,GPC01200000075,6.56
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,22.01.2020,16.02.2020,GPC01200000076,22.58
Stockport MBC,Services to People,Childrens & Educational Services,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,22.01.2020,16.02.2020,GPC01200000077,67.16
Stockport MBC,Services to People,Childrens & Educational Services,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,22.01.2020,16.02.2020,GPC01200000078,0.04
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,20.01.2020,16.02.2020,GPC01200000079,11.02
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,16.01.2020,16.02.2020,GPC01200000080,13.41
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,15.01.2020,16.02.2020,GPC01200000081,27.98
Stockport MBC,Services to People,Childrens & Educational Services,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,14.01.2020,16.02.2020,GPC01200000082,53.68
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 2317,Catering Supplies,Catering Food & Beverages ,14.01.2020,16.02.2020,GPC01200000083,2.52
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,13.01.2020,16.02.2020,GPC01200000084,18.51
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,10.01.2020,16.02.2020,GPC01200000085,4.25
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,08.01.2020,16.02.2020,GPC01200000086,9.90
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,08.01.2020,16.02.2020,GPC01200000087,2.50
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,07.01.2020,16.02.2020,GPC01200000088,10.83
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,07.01.2020,16.02.2020,GPC01200000089,12.60
Stockport MBC,Services to People,Childrens & Educational Services,ASDA GROCERIES ONLINE,Catering Supplies,Catering Food & Beverages ,06.01.2020,16.02.2020,GPC01200000090,51.01
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,AMAZON.CO.UK 067666FJ5,Furniture and Equipment,Environmental Services Technical Equipment ,22.01.2020,16.02.2020,GPC01200000091,26.25
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,OPEN FORUM EVENTS,Staff Training,Human Resources  ,20.01.2020,16.02.2020,GPC01200000092,294.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,BEST WESTERN PLUS NOTT,Staff Training,Human Resources  ,14.01.2020,16.02.2020,GPC01200000093,106.21
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WESTMINSTER INSIGHT,Staff Training,Human Resources  ,13.01.2020,16.02.2020,GPC01200000094,351.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WWW.LOCAL.GOV.UK,Staff Training,Human Resources  ,13.01.2020,16.02.2020,GPC01200000095,60.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,Environmental Services Technical Equipment ,08.01.2020,16.02.2020,GPC01200000096,23.99
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.GOV.UK,Legal Fees,Legal Services  ,27.01.2020,16.02.2020,GPC01200000097,1.50
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,TRAVELODGE GB0000,Expenses and Allowances,Catering  ,24.01.2020,16.02.2020,GPC01200000098,-128.24
Stockport MBC,Services to Place,Planning Services,EB  UNIQUE LADIES WOME,Publicity and Promotion,Arts & Leisure Services  ,23.01.2020,16.02.2020,GPC01200000099,21.43
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,23.01.2020,16.02.2020,GPC01200000100,41.90
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,23.01.2020,16.02.2020,GPC01200000101,22.95
Stockport MBC,Services to Place,Highways & Transport Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,23.01.2020,16.02.2020,GPC01200000102,236.50
Stockport MBC,Services to Place,Cultural & Related Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,23.01.2020,16.02.2020,GPC01200000103,47.10
