Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,30.07.2020,16.08.2020,GPC07200000001,31.18
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,27.07.2020,16.08.2020,GPC07200000002,12.59
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,27.07.2020,16.08.2020,GPC07200000003,15.59
Stockport MBC,Corporate and Support Services,Central Support Costs,MIRO.COM,Information and Communications Technology,Information Communication Technology  ,24.07.2020,16.08.2020,GPC07200000004,113.32
Stockport MBC,Corporate and Support Services,Central Support Costs,CURRYS ONLINE,Information and Communications Technology,Information Communication Technology  ,23.07.2020,16.08.2020,GPC07200000005,45.99
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,21.07.2020,16.08.2020,GPC07200000006,25.18
Stockport MBC,Corporate and Support Services,Central Support Costs,GITHUB,Information and Communications Technology,Information Communication Technology  ,14.07.2020,16.08.2020,GPC07200000007,82.49
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.CONTENTFUL.COM,Information and Communications Technology,Information Communication Technology  ,09.07.2020,16.08.2020,GPC07200000008,792.81
Stockport MBC,Corporate and Support Services,Central Support Costs,LOOKBACK STARTER,Information and Communications Technology,Information Communication Technology  ,07.07.2020,16.08.2020,GPC07200000009,971.36
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,05.07.2020,16.08.2020,GPC07200000010,165.53
Stockport MBC,Corporate and Support Services,Central Support Costs,AWS EMEA,Information and Communications Technology,Information Communication Technology  ,03.07.2020,16.08.2020,GPC07200000011,"1,085.48"
Stockport MBC,Corporate and Support Services,Central Services to the public,TESCO ONLINE,COVID 19,Catering Food & Beverages ,12.07.2020,16.08.2020,GPC07200000012,-48.00
Stockport MBC,Corporate and Support Services,Central Support Costs,ADOBE CREATIVE CLOUD,Information and Communications Technology,Information Communication Technology  ,26.07.2020,16.08.2020,GPC07200000013,708.00
Stockport MBC,Corporate and Support Services,Central Support Costs,APPLE.COM/BILL,Information and Communications Technology,Information Communication Technology  ,26.07.2020,16.08.2020,GPC07200000014,5.83
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,11.07.2020,16.08.2020,GPC07200000015,10.00
Stockport MBC,Services to People,Childrens & Educational Services,PAYPAL  4A4QUARTET,Library Equipment,Education Library Books ,02.07.2020,16.08.2020,GPC07200000016,37.62
Stockport MBC,Services to People,Childrens & Educational Services,THE KEYBOARD COMPANY U,Furniture and Equipment,Environmental Services Technical Equipment ,02.07.2020,16.08.2020,GPC07200000017,138.00
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADS8179771860,Office Expenses,Facilities & Management Services  ,23.07.2020,16.08.2020,GPC07200000018,500.00
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADS8179771860,Office Expenses,Facilities & Management Services  ,14.07.2020,16.08.2020,GPC07200000019,500.00
