Organisation Name,Department where exp. Incurred,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Net Amount (£)
Stockport MBC,Corporate and Support Services,"INVISIONAPP, INC",Information and Communications Technology,DIGITAL GOODS SOFTWARE APPLICATIONS,29/06/2020,16.07.2020,221.82
Stockport MBC,Corporate and Support Services,MIRO.COM,Information and Communications Technology,"COMP PROGRAMING,DATA PRCSNG,INTGRTD SYS DSGN SRVS",24/06/2020,16.07.2020,116.08
Stockport MBC,Corporate and Support Services,ATLASSIAN,Information and Communications Technology,COMPUTER SOFTWARE STORES,19/06/2020,16.07.2020,"2,400.78"
Stockport MBC,Corporate and Support Services,GITHUB,Information and Communications Technology,"COMP PROGRAMING,DATA PRCSNG,INTGRTD SYS DSGN SRVS",14/06/2020,16.07.2020,82.23
Stockport MBC,Corporate and Support Services,FASTHOSTS INTERNET,Information and Communications Technology,COMPUTER NETWORK/INFORMATION SERVICES,12/06/2020,16.07.2020,25.18
Stockport MBC,Corporate and Support Services,FASTHOSTS INTERNET,Information and Communications Technology,COMPUTER NETWORK/INFORMATION SERVICES,10/06/2020,16.07.2020,39.47
Stockport MBC,Corporate and Support Services,WWW.CONTENTFUL.COM,Information and Communications Technology,COMPUTER SOFTWARE STORES,09/06/2020,16.07.2020,792.83
Stockport MBC,Corporate and Support Services,AUTH0.COM,Information and Communications Technology,COMPUTER SOFTWARE STORES,05/06/2020,16.07.2020,163.62
Stockport MBC,Corporate and Support Services,CURRYS ONLINE,Information and Communications Technology,ELECTRONIC SALES,03/06/2020,16.07.2020,119.00
Stockport MBC,Corporate and Support Services,AWS EMEA,Information and Communications Technology,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,02/06/2020,16.07.2020,"1,127.45"
Stockport MBC,Services to People,FACEBK  GZ3C3UNLG2,Publicity and Promotion,ADVERTISING SERVICES,30/06/2020,16.07.2020,50.00
Stockport MBC,Services to People,TYPEFORM S.L,Publicity and Promotion,COMPUTER SOFTWARE STORES,28/06/2020,16.07.2020,458.33
Stockport MBC,Services to People,APPLE.COM/BILL,Publicity and Promotion,RECORD SHOPS,26/06/2020,16.07.2020,6.99
Stockport MBC,Services to People,FASTHOSTS INTERNET,Publicity and Promotion,COMPUTER NETWORK/INFORMATION SERVICES,09/06/2020,16.07.2020,6.00
Stockport MBC,Services to People,WWW.GEAR4MUSIC.COM,Equipment,"MUSIC STORES-INSTRUMENTS, PIANOS, SHEET MUSIC",02/06/2020,16.07.2020,17.87
Stockport MBC,Services to People,ADOBE CREATIVE CLOUD,Advertising/Publicity,COMPUTER SOFTWARE STORES,01/07/2020,16.07.2020,70.80
Stockport MBC,Services to People,VIKING UK,Advertising/Publicity,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.,30/06/2020,16.07.2020,23.27
Stockport MBC,Services to People,GOOGLE  ADS8179771860,Advertising/Publicity,DIGITAL GOODS MULTI CATEGORY,28/06/2020,16.07.2020,500.00
