Organisation Name,Department where exp. Incurred,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Net Amount (£)
Stockport MBC,Corporate and Support Services,PMC ELECTRICS LIMI,Information and Communications Technology,COMPUTER SOFTWARE STORES,18/03/2020,16.04.2020,610.80
Stockport MBC,Corporate and Support Services,BEST4SYSTEMS,Information and Communications Technology,COMPUTER SOFTWARE STORES,18/03/2020,16.04.2020,159.60
Stockport MBC,Corporate and Support Services,HOTEL ON BOOKING.COM,Travelling Expenses,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",25/03/2020,16.04.2020,-159.20
Stockport MBC,Corporate and Support Services,CURRYS ONLINE,Equipment,ELECTRONIC SALES,16/03/2020,16.04.2020,189.99
Stockport MBC,Corporate and Support Services,WWW.JOHNLEWIS.COM,COVID 19,DEPARTMENT STORES,16/03/2020,16.04.2020,627.00
Stockport MBC,Corporate and Support Services,FACEBK  9K5GESJLG2,Publicity and Promotion,ADVERTISING SERVICES,31/03/2020,16.04.2020,551.18
Stockport MBC,Corporate and Support Services,APPLE.COM/BILL,Publicity and Promotion,RECORD SHOPS,26/03/2020,16.04.2020,6.99
Stockport MBC,Corporate and Support Services,GOOGLE  ADS3507315292,Publicity and Promotion,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,24/03/2020,16.04.2020,274.84
Stockport MBC,Corporate and Support Services,FASTHOSTS INTERNET,Publicity and Promotion,COMPUTER NETWORK/INFORMATION SERVICES,09/03/2020,16.04.2020,6.00
Stockport MBC,Services to People,ASDA STORES 4840,Catering Supplies,"GROCERY STORES, SUPERMARKETS",09/03/2020,16.04.2020,24.33
Stockport MBC,Services to People,ASDA STORES 4840,Catering Supplies,"GROCERY STORES, SUPERMARKETS",05/03/2020,16.04.2020,9.30
Stockport MBC,Services to People,ASDA STORES 4840,Catering Supplies,"GROCERY STORES, SUPERMARKETS",04/03/2020,16.04.2020,17.00
Stockport MBC,Services to People,ASDA STORES 4840,Catering Supplies,"GROCERY STORES, SUPERMARKETS",03/03/2020,16.04.2020,1.50
Stockport MBC,Services to People,ASDA STORES 4840,Catering Supplies,"GROCERY STORES, SUPERMARKETS",02/03/2020,16.04.2020,28.79
Stockport MBC,Services to People,ZIFERBLAT,Activities and Events,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,16/03/2020,16.04.2020,115.20
Stockport MBC,Services to People,TRAINLINE,Travelling Expenses,PASSENGER RAILWAYS,16/03/2020,16.04.2020,17.95
Stockport MBC,Services to People,TRAINLINE,Travelling Expenses,PASSENGER RAILWAYS,16/03/2020,16.04.2020,17.95
Stockport MBC,Services to People,SJASUPLIES,Electoral Services,DEPARTMENT STORES,06/03/2020,16.04.2020,2220.00
Stockport MBC,Services to People,MPM WRISTBANDS,Electoral Services,DEPARTMENT STORES,04/03/2020,16.04.2020,77.40
Stockport MBC,Services to People,CURRYS ONLINE,Computer equipment and software,ELECTRONIC SALES,26/03/2020,16.04.2020,141.67
Stockport MBC,Services to People,CMP  MUSICROOM.COM,Books/Publications,MISCELLANEOUS PUBLISHING AND PRINTING,17/03/2020,16.04.2020,17.99
Stockport MBC,Services to People,CMP  MUSICROOM.COM,Books/Publications,MISCELLANEOUS PUBLISHING AND PRINTING,13/03/2020,16.04.2020,158.38
Stockport MBC,Services to People,SCREWFIX DIR. LTD,Equipment,"BUILDING MATERIALS, LUMBER STORES",09/03/2020,16.04.2020,20.83
Stockport MBC,Services to People,RIVER PRO AUDIO,Equipment,"MUSIC STORES-INSTRUMENTS, PIANOS, SHEET MUSIC",04/03/2020,16.04.2020,143.95
Stockport MBC,Services to People,WWW.GEAR4MUSIC.COM,Equipment,"MUSIC STORES-INSTRUMENTS, PIANOS, SHEET MUSIC",13/01/2020,16.04.2020,129.05
Stockport MBC,Services to People,SAINSBURYS SUPERMARKET,Catering Supplies,"GROCERY STORES, SUPERMARKETS",06/03/2020,16.04.2020,6.90
Stockport MBC,Services to People,ADOBE CREATIVE CLOUD,Advertising/Publicity,COMPUTER SOFTWARE STORES,01/04/2020,16.04.2020,70.80
Stockport MBC,Services to People,FACEBK  PNCEBSSRK2,Advertising/Publicity,ADVERTISING SERVICES,31/03/2020,16.04.2020,94.93
Stockport MBC,Services to People,FACEBK  2ELZLSNSK2,Advertising/Publicity,ADVERTISING SERVICES,29/03/2020,16.04.2020,600.00
Stockport MBC,Services to People,BREDBURY HALL HOTEL &,Activities and Events,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",16/03/2020,16.04.2020,41.65
Stockport MBC,Services to People,GOOGLE  ADS8179771860,Advertising/Publicity,ADVERTISING SERVICES,10/03/2020,16.04.2020,500.00
Stockport MBC,Services to People,PREMIER INN44018220,Travelling Expenses,PREMIER INN,05/03/2020,16.04.2020,336.00
Stockport MBC,Services to People,TRAINLINE,Travelling Expenses,PASSENGER RAILWAYS,04/03/2020,16.04.2020,239.50
Stockport MBC,Services to People,BORN 2 BOUNCE,Activities and Events,"EQUIPMENT RENTAL&LEASING SVS, FURNTURE/TOOL RENTAL",03/03/2020,16.04.2020,105.00
Stockport MBC,Services to People,STOCKPORT TVM,Travelling Expenses,PASSENGER RAILWAYS,09/03/2020,16.04.2020,6.50
Stockport MBC,Services to People,NCP LIMITED,Travelling Expenses,AUTOMOBILE PARKING LOTS AND GARAGES,05/03/2020,16.04.2020,11.70
