Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,31.05.2020,16.06.2020,GPC05200000001,92.40
Stockport MBC,Corporate and Support Services,Central Support Costs,MIRO.COM,Information and Communications Technology,Information Communication Technology  ,24.05.2020,16.06.2020,GPC05200000002,118.50
Stockport MBC,Corporate and Support Services,Central Support Costs,AWS EMEA,Information and Communications Technology,Information Communication Technology  ,15.05.2020,16.06.2020,GPC05200000003,10.95
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,17.05.2020,16.06.2020,GPC05200000004,22.79
Stockport MBC,Corporate and Support Services,Central Support Costs,GITHUB,Information and Communications Technology,Information Communication Technology  ,14.05.2020,16.06.2020,GPC05200000005,84.62
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,11.05.2020,16.06.2020,GPC05200000006,30.00
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.CONTENTFUL.COM,Information and Communications Technology,Information Communication Technology  ,09.05.2020,16.06.2020,GPC05200000007,836.32
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,05.05.2020,16.06.2020,GPC05200000008,165.78
Stockport MBC,Corporate and Support Services,Central Support Costs,EASILY LTD,Information and Communications Technology,Information Communication Technology  ,05.05.2020,16.06.2020,GPC05200000009,7.50
Stockport MBC,Corporate and Support Services,Central Support Costs,AWS EMEA,Information and Communications Technology,Information Communication Technology  ,02.05.2020,16.06.2020,GPC05200000010,"1,121.00"
Stockport MBC,Corporate and Support Services,Central Services to the public,WWW.JOHNLEWIS.COM,COVID 19,Information Communication Technology  ,29.05.2020,16.06.2020,GPC05200000011,557.00
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  DLNXXTAMG2,Office Expenses,Facilities & Management Services  ,31.05.2020,16.06.2020,GPC05200000012,288.10
Stockport MBC,Corporate and Support Services,Central Support Costs,APPLE.COM/BILL,Information and Communications Technology,Information Communication Technology  ,26.05.2020,16.06.2020,GPC05200000013,5.83
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Furniture and Equipment,Environmental Services Technical Equipment ,09.05.2020,16.06.2020,GPC05200000014,5.00
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,23.05.2020,16.06.2020,GPC05200000015,15.18
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,08.05.2020,16.06.2020,GPC05200000016,9.99
Stockport MBC,Services to People,Childrens & Educational Services,FACEBK  N69SUTWRK2,Office Expenses,Facilities & Management Services  ,31.05.2020,16.06.2020,GPC05200000017,499.61
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADS8179771860,Office Expenses,Facilities & Management Services  ,26.05.2020,16.06.2020,GPC05200000018,500.00
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADS8179771860,Office Expenses,Facilities & Management Services  ,18.05.2020,16.06.2020,GPC05200000019,500.00
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADS8179771860,Office Expenses,Facilities & Management Services  ,09.05.2020,16.06.2020,GPC05200000020,500.00
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADS8179771860,Office Expenses,Facilities & Management Services  ,01.05.2020,16.06.2020,GPC05200000021,500.00
Stockport MBC,Services to People,Childrens & Educational Services,ADOBE CREATIVE CLOUD,Office Expenses,Facilities & Management Services  ,01.05.2020,16.06.2020,GPC05200000022,70.80
Stockport MBC,Services to People,Childrens & Educational Services,ADOBE CREATIVE CLOUD,Office Expenses,Facilities & Management Services  ,01.06.2020,16.06.2020,GPC05200000023,70.80
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON PRIME QY7NL7O45,Furniture and Equipment,Furniture & Soft Furnishings  ,13.05.2020,16.06.2020,GPC05200000024,7.99
Stockport MBC,Services to People,Childrens & Educational Services,B & M RETAIL,Furniture and Equipment,Environmental Services Technical Equipment ,21.05.2020,16.06.2020,GPC05200000025,4.49
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,21.05.2020,16.06.2020,GPC05200000026,21.30
Stockport MBC,Services to People,Childrens & Educational Services,CURRYS ONLINE,Furniture and Equipment,Environmental Services Technical Equipment ,13.05.2020,16.06.2020,GPC05200000027,22.99
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,12.05.2020,16.06.2020,GPC05200000028,3.90
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 2 773,Catering Supplies,Catering Food & Beverages ,12.05.2020,16.06.2020,GPC05200000029,9.87
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,11.05.2020,16.06.2020,GPC05200000030,9.49
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,AMZNMKTPLACE,COVID 19,Information Communication Technology  ,28.05.2020,16.06.2020,GPC05200000031,224.98
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,AMAZON PRIME RE5YH6NW5,COVID 19,Information Communication Technology  ,21.05.2020,16.06.2020,GPC05200000032,7.99
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WESTMINSTER FORUM PROJ,Staff Training,Human Resources  ,19.05.2020,16.06.2020,GPC05200000033,228.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,AMAZON.CO.UK MB5LU4AI5,COVID 19,Information Communication Technology  ,07.05.2020,16.06.2020,GPC05200000034,16.98
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON PRIME OU1QX8R05,Fees and Charges,"Works - Construction, Repair & Maintenance  ",18.05.2020,16.06.2020,GPC05200000035,7.99
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Office Expenses,Mail Services   ,12.05.2020,16.06.2020,GPC05200000036,114.72
