Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,"Description of Goods 
(Purpose of expenditure look up)","Service/Department 
(SAP Hierarchy Position)","Expense Area 
(cost centre desc)","Net Order Value Over £5000.00 
(line item value shown here)",GL Code,Cost Centre/WBS,,,,,,,,,,,
08/01/2018,ZAV283800,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,"13,664.00",402001,11417,,,,,,,,,,,
08/01/2018,ZAV283800,2,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,256.00,402001,11417,,,,,,,,,,,
08/01/2018,ZAV283800,3,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,9.00,402001,11417,,,,,,,,,,,
15/01/2018,ZAV284125,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,"6,405.00",402001,11417,,,,,,,,,,,
15/01/2018,ZAV284125,2,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,120.00,402001,11417,,,,,,,,,,,
15/01/2018,ZAV284125,3,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,9.00,402001,11417,,,,,,,,,,,
18/01/2018,ZAV284335,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,"8,113.00",402001,11417,,,,,,,,,,,
18/01/2018,ZAV284335,2,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,152.00,402001,11417,,,,,,,,,,,
18/01/2018,ZAV284335,3,12402,VeryPC Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C AVA Services,9.00,402001,11417,,,,,,,,,,,
07/02/2018,ZAV285348,1,5535,Elementary Technology Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,"10,200.00",400110,11417,,,,,,,,,,,
07/02/2018,ZAV285348,2,5535,Elementary Technology Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,900.00,400110,11417,,,,,,,,,,,
07/02/2018,ZAV285348,3,5535,Elementary Technology Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,436.00,400110,11417,,,,,,,,,,,
07/02/2018,ZAV285348,4,5535,Elementary Technology Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,72.00,400110,11417,,,,,,,,,,,
07/02/2018,ZAV285348,5,5535,Elementary Technology Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,300.00,400110,11417,,,,,,,,,,,
07/02/2018,ZAV285348,6,5535,Elementary Technology Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,120.00,400110,11417,,,,,,,,,,,
13/02/2018,ZAV285668,1,12402,VeryPC Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,I&C AVA Services,"5,184.00",400110,11417,,,,,,,,,,,
