Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,"Description of Goods 
(Purpose of expenditure look up)","Service/Department 
(SAP Hierarchy Position)","Expense Area 
(cost centre desc)","Net Order Value Over £5000.00 
(line item value shown here)",GL Code,Cost Centre/WBS
15/11/2017,ZAV281617,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,,Corporate and Support Services,I&C AVA Services,"7,000.00",402001,11417
15/11/2017,ZAV281617,2,12402,VeryPC Ltd,270000,Information Communication Technology  ,,Corporate and Support Services,I&C AVA Services,9.00,402001,11417
14/12/2017,ZAV283130,1,12402,VeryPC Ltd,270000,Information Communication Technology  ,,Corporate and Support Services,I&C AVA Services,"9,394.00",402001,11417
14/12/2017,ZAV283130,2,12402,VeryPC Ltd,270000,Information Communication Technology  ,,Corporate and Support Services,I&C AVA Services,176.00,402001,11417
14/12/2017,ZAV283130,3,12402,VeryPC Ltd,270000,Information Communication Technology  ,,Corporate and Support Services,I&C AVA Services,9.00,402001,11417
23/10/2017,ZES280384,1,2927,XMA Ltd,270000,Information Communication Technology  ,,Services to People,HTV GM ESF,"9,613.76",402001,12917
23/10/2017,ZES280384,2,2927,XMA Ltd,270000,Information Communication Technology  ,,Services to People,HTV GM ESF,56.00,402001,12917
23/10/2017,ZES280384,3,2927,XMA Ltd,270000,Information Communication Technology  ,,Services to People,HTV GM ESF,56.00,402001,12917
26/10/2017,ZES280548,1,2927,XMA Ltd,270000,Information Communication Technology  ,,Corporate and Support Services,I&C Schools Email & Internet,"3,734.45",402002,11418
26/10/2017,ZES280548,2,2927,XMA Ltd,270000,Information Communication Technology  ,,Corporate and Support Services,I&C Schools Email & Internet,"1,855.35",402002,11418
26/10/2017,ZES280548,3,2927,XMA Ltd,270000,Information Communication Technology  ,,Corporate and Support Services,I&C Schools Email & Internet,889.20,402002,11418
26/10/2017,ZES280548,4,2927,XMA Ltd,270000,Information Communication Technology  ,,Corporate and Support Services,I&C Schools Email & Internet,889.20,402002,11418
07/11/2017,ZES281145,1,9353,Capita IT Services t/a NTS (UK,270000,Information Communication Technology  ,,Corporate and Support Services,Digital by Design Technical,"12,309.33",402002,11078
15/11/2017,ZES281628,1,8861,Adam Continuity,270000,Information Communication Technology  ,,Corporate and Support Services,IT Infrastructure,"6,548.00",402002,11324
