Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,"Description of Goods 
(Purpose of expenditure look up)","Service/Department 
(SAP Hierarchy Position)","Expense Area 
(cost centre desc)","Net Order Value Over £5000.00 
(line item value shown here)",GL Code,Cost Centre/WBS,,,,
20/07/2018,ZFC294150,1,2374,Mac Roofing & Contracting L,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Capital Expenditure,Libraries - refurbishment,"66,132.00",200311,C.11502.071,,,,
24/07/2018,ZZS294306,1,13035,Miss Virginia Hayton,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Legal Professional fees,"8,160.00",401020,12271,,,,
17/08/2018,ZZS295469,1,12816,Eversheds Sutherland (Internat,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Stockport Exchange Phase 2 - Office,"5,070.56",401020,12863,,,,
06/09/2018,ZZS296261,1,1177,Copyright Licensing Agency,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Legal Professional fees,"11,860.90",401020,12271,,,,
27/09/2018,ZZS297514,1,13125,18 St John Street Chambers,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Legal Professional fees,"7,700.00",401020,12271,,,,
14/09/2018,ZPC296790,1,11021,The Laurus Trust (Cheadle Hulm,150000,Consultancy   ,Professional Fees,Services to People,Perip-Pendlebury Pupil Referral Unit,"7,788.00",401020,10318,,,,
10/09/2018,ZSB296392,1,2228,GMCVO,170000,Education  ,Fees and Charges,Services to People,Highfields Inclusion Partnership,"4,335.00",401033,10329,,,,
10/09/2018,ZSB296392,2,2228,GMCVO,170000,Education  ,Fees and Charges,Services to People,Highfields Inclusion Partnership,"3,570.00",401033,10329,,,,
17/07/2018,ZAV293933,1,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,"12,555.00",402001,13001,,,,
17/07/2018,ZAV293933,2,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,IT AVA Non - SLA,"1,085.00",402001,13001,,,,
27/07/2018,ZAV294473,1,12402,VeryPC Ltd,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Corporate and Support Services,IT AVA Non - SLA,"12,003.24",400105,13001,,,,
