Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Support Costs,ADVERTISING SERVICES,Publicity and Promotion,Facilities & Management Services  ,30.04.2019,16.05.2019,GPC04190000001,272.41
Stockport MBC,Corporate and Support Services,Central Support Costs,ADVERTISING SERVICES,Publicity and Promotion,Facilities & Management Services  ,30.04.2019,16.05.2019,GPC04190000002,249.51
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,01.05.2019,16.05.2019,GPC04190000003,26.19
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,30.04.2019,16.05.2019,GPC04190000004,12.81
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,29.04.2019,16.05.2019,GPC04190000005,19.82
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,26.04.2019,16.05.2019,GPC04190000006,12.62
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,25.04.2019,16.05.2019,GPC04190000007,10.10
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,24.04.2019,16.05.2019,GPC04190000008,24.71
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,23.04.2019,16.05.2019,GPC04190000009,26.27
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,05.04.2019,16.05.2019,GPC04190000010,7.20
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,04.04.2019,16.05.2019,GPC04190000011,10.17
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,03.04.2019,16.05.2019,GPC04190000012,16.17
Stockport MBC,Services to People,Childrens & Educational Services,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Library Equipment,Education Library Books ,28.04.2019,16.05.2019,GPC04190000013,24.73
Stockport MBC,Services to People,Childrens & Educational Services,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Library Equipment,Education Library Books ,26.04.2019,16.05.2019,GPC04190000014,272.03
Stockport MBC,Services to People,Childrens & Educational Services,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Library Equipment,Education Library Books ,18.04.2019,16.05.2019,GPC04190000015,197.84
Stockport MBC,Services to People,Childrens & Educational Services,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,Expenses and Allowances,Human Resources Training & Conferences ,29.04.2019,16.05.2019,GPC04190000016,360.00
Stockport MBC,Services to People,Childrens & Educational Services,"SCHOOLS, BUSINESS AND SECRETARIAL",Staff Training,Human Resources  ,23.04.2019,16.05.2019,GPC04190000017,306.00
Stockport MBC,Corporate and Support Services,Central Support Costs,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,08.04.2019,16.05.2019,GPC04190000018,83.45
Stockport MBC,Corporate and Support Services,Central Support Costs,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,08.04.2019,16.05.2019,GPC04190000019,83.45
Stockport MBC,Corporate and Support Services,Central Services to the public,"LODGING-HOTELS,MOTELS,RESORTS-NOT CLASSIFIED",Expenses and Allowances,Human Resources Travel & Subsistence ,29.04.2019,16.05.2019,GPC04190000020,200.00
Stockport MBC,Corporate and Support Services,Central Services to the public,MISCELLANEOUS PUBLISHING AND PRINTING,Furniture and Equipment,Environmental Services Technical Equipment ,29.04.2019,16.05.2019,GPC04190000021,135.48
Stockport MBC,Services to People,Childrens & Educational Services,"OFFICE, SCHOOL SUPPLY, AND STATIONERY STORES",Printing and Photocopying,Facilities & Management Services Printing ,01.05.2019,16.05.2019,GPC04190000022,32.91
Stockport MBC,Services to People,Childrens & Educational Services,MISCELLANEOUS PUBLISHING AND PRINTING,Clothing Uniforns and Laundry,Clothing  ,01.05.2019,16.05.2019,GPC04190000023,376.40
Stockport MBC,Services to People,Childrens & Educational Services,"ORGANIZATIONS, CHARITABLE AND SOCIAL SERVICES",Furniture and Equipment,Furniture & Soft Furnishings  ,29.04.2019,16.05.2019,GPC04190000024,76.67
Stockport MBC,Services to People,Childrens & Educational Services,AUTOMOBILE PARKING LOTS AND GARAGES,Travelling Expenses,Human Resources Travel & Subsistence ,28.04.2019,16.05.2019,GPC04190000025,9.50
Stockport MBC,Services to People,Childrens & Educational Services,MISCELLANEOUS AND SPECIALTY RETAIL STORES,Information and Communications Technology,Information Communication Technology  ,15.04.2019,16.05.2019,GPC04190000026,14.99
Stockport MBC,Services to People,Childrens & Educational Services,SERVICE STATIONS WITH OR WITHOUT ANCILLARY SERVICE,Fuel,Vehicle Management Fuel ,04.04.2019,16.05.2019,GPC04190000027,4.17
Stockport MBC,Services to People,Childrens & Educational Services,ELECTRONIC SALES,Information and Communications Technology,Information Communication Technology  ,03.04.2019,16.05.2019,GPC04190000028,2.50
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,01.05.2019,16.05.2019,GPC04190000029,285.50
Stockport MBC,Services to People,Childrens & Educational Services,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,Office Expenses,Facilities & Management Services  ,01.05.2019,16.05.2019,GPC04190000030,500.00
Stockport MBC,Services to People,Childrens & Educational Services,COMPUTER SOFTWARE STORES,Office Expenses,Facilities & Management Services  ,01.05.2019,16.05.2019,GPC04190000031,70.80
Stockport MBC,Services to People,Childrens & Educational Services,ADVERTISING SERVICES,Office Expenses,Facilities & Management Services  ,30.04.2019,16.05.2019,GPC04190000032,166.19
Stockport MBC,Services to People,Childrens & Educational Services,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,Office Expenses,Facilities & Management Services  ,20.04.2019,16.05.2019,GPC04190000033,500.00
Stockport MBC,Services to People,Childrens & Educational Services,BOOK STORES,Publicity and Promotion,Arts & Leisure Services  ,15.04.2019,16.05.2019,GPC04190000034,-59.94
Stockport MBC,Services to People,Childrens & Educational Services,DEPARTMENT STORES,Publicity and Promotion,Arts & Leisure Services  ,10.04.2019,16.05.2019,GPC04190000035,506.50
Stockport MBC,Services to People,Childrens & Educational Services,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,Office Expenses,Facilities & Management Services  ,10.04.2019,16.05.2019,GPC04190000036,500.00
Stockport MBC,Services to People,Childrens & Educational Services,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Publicity and Promotion,Arts & Leisure Services  ,08.04.2019,16.05.2019,GPC04190000037,12.46
Stockport MBC,Services to People,Childrens & Educational Services,"EQUIPMENT RENTAL&LEASING SVS, FURNTURE/TOOL RENTAL",Publicity and Promotion,Arts & Leisure Services  ,04.04.2019,16.05.2019,GPC04190000038,80.00
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,02.04.2019,16.05.2019,GPC04190000039,194.05
Stockport MBC,Services to People,Childrens & Educational Services,AUTOMOBILE PARKING LOTS AND GARAGES,Travelling Expenses,Human Resources Travel & Subsistence ,30.04.2019,16.05.2019,GPC04190000040,25.00
Stockport MBC,Services to People,Childrens & Educational Services,AUTOMOBILE PARKING LOTS AND GARAGES,Travelling Expenses,Human Resources Travel & Subsistence ,29.04.2019,16.05.2019,GPC04190000041,11.50
Stockport MBC,Services to People,Childrens & Educational Services,AUTOMOBILE PARKING LOTS AND GARAGES,Travelling Expenses,Human Resources Travel & Subsistence ,12.04.2019,16.05.2019,GPC04190000042,14.00
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,11.04.2019,16.05.2019,GPC04190000043,6.30
Stockport MBC,Services to People,Childrens & Educational Services,LIMOUSINES AND TAXICABS,Travelling Expenses,Human Resources Travel & Subsistence ,10.04.2019,16.05.2019,GPC04190000044,16.06
Stockport MBC,Services to People,Childrens & Educational Services,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,09.04.2019,16.05.2019,GPC04190000045,89.10
Stockport MBC,Services to People,Childrens & Educational Services,FAST FOOD RESTAURANTS,Travelling Expenses,Human Resources Travel & Subsistence ,09.04.2019,16.05.2019,GPC04190000046,3.30
Stockport MBC,Services to People,Childrens & Educational Services,LIMOUSINES AND TAXICABS,Travelling Expenses,Human Resources Travel & Subsistence ,09.04.2019,16.05.2019,GPC04190000047,18.06
Stockport MBC,Services to Place,Central Support Costs,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,01.05.2019,16.05.2019,GPC04190000048,6.30
Stockport MBC,Services to Place,Central Support Costs,AUTOMOBILE PARKING LOTS AND GARAGES,Travelling Expenses,Human Resources Travel & Subsistence ,25.04.2019,16.05.2019,GPC04190000049,3.40
Stockport MBC,Services to Place,Central Support Costs,AUTOMOBILE PARKING LOTS AND GARAGES,Travelling Expenses,Human Resources Travel & Subsistence ,24.04.2019,16.05.2019,GPC04190000050,14.50
Stockport MBC,Services to Place,Central Support Costs,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,05.04.2019,16.05.2019,GPC04190000051,6.30
Stockport MBC,Services to Place,Central Support Costs,AUTOMOBILE PARKING LOTS AND GARAGES,Travelling Expenses,Human Resources Travel & Subsistence ,02.04.2019,16.05.2019,GPC04190000052,1.50
Stockport MBC,Services to People,Childrens & Educational Services,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,Office Expenses,Facilities & Management Services  ,01.05.2019,16.05.2019,GPC04190000053,31.25
Stockport MBC,Services to People,Childrens & Educational Services,MISCELLANEOUS AND SPECIALTY RETAIL STORES,Office Expenses,Stationery    ,25.04.2019,16.05.2019,GPC04190000054,1.56
Stockport MBC,Services to People,Childrens & Educational Services,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,Fees and Charges,"Works - Construction, Repair & Maintenance  ",13.04.2019,16.05.2019,GPC04190000055,7.99
Stockport MBC,Services to People,Childrens & Educational Services,"COLLEGES, UNIV, PRO SCHOOLS, JUNIOR COLLEGES",Staff Training,Human Resources  ,05.04.2019,16.05.2019,GPC04190000056,75.00
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,01.05.2019,16.05.2019,GPC04190000057,33.59
