Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Adult Social Care,GUIDE BRIDGE SST,Travelling Expenses,Human Resources Travel & Subsistence ,08.03.2017,16.09.2017,GPC08170000001,7.80
Stockport MBC,Services to People,Adult Social Care,FLYBE.COM GLE81C       0,Travelling Expenses,Human Resources Travel & Subsistence ,18.08.2017,16.09.2017,GPC08170000002,161.20
Stockport MBC,Services to People,Adult Social Care,FlybeGLFV GLFV7B,Travelling Expenses,Human Resources Travel & Subsistence ,18.08.2017,16.09.2017,GPC08170000003,185.61
Stockport MBC,Services to People,Adult Social Care,DOURO APARTMENTS,Expenses and Allowances,Human Resources Travel & Subsistence ,29.08.2017,16.09.2017,GPC08170000004,170.51
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,29.08.2017,16.09.2017,GPC08170000005,12.50
Stockport MBC,Services to People,Adult Social Care,TIP,Travelling Expenses,Human Resources Travel & Subsistence ,29.08.2017,16.09.2017,GPC08170000006,7.05
Stockport MBC,Services to People,Adult Social Care,PAYPAL  RESILIENCEC,Fees and Charges,"Works - Construction, Repair & Maintenance  ",30.08.2017,16.09.2017,GPC08170000007,120.08
Stockport MBC,Services to People,Adult Social Care,RESTAURANTE A GRADE,Travelling Expenses,Human Resources Travel & Subsistence ,29.08.2017,16.09.2017,GPC08170000008,32.44
Stockport MBC,Services to People,Adult Social Care,WWW.ARROWPRIVATEHIRE.C,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,30.08.2017,16.09.2017,GPC08170000009,43.33
Stockport MBC,Services to People,Adult Social Care,AEROPORTO,Expenses and Allowances,Human Resources Travel & Subsistence ,31.08.2017,16.09.2017,GPC08170000010,1.86
Stockport MBC,Services to People,Adult Social Care,RYANAIR22 22400000QS2WXM,Travelling Expenses,Human Resources Travel & Subsistence ,30.08.2017,16.09.2017,GPC08170000011,39.15
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK H7LF5DNUU2,Publicity and Promotion,Facilities & Management Services  ,08.05.2017,16.09.2017,GPC08170000012,260.61
Stockport MBC,Corporate and Support Services,Central Support Costs,Twitter Online Ads,Publicity and Promotion,Facilities & Management Services  ,18.08.2017,16.09.2017,GPC08170000013,14.28
Stockport MBC,Corporate and Support Services,Central Support Costs,Twitter Online Ads,Publicity and Promotion,Facilities & Management Services  ,22.08.2017,16.09.2017,GPC08170000014,57.12
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.JOHNLEWIS.COM,Publicity and Promotion,Facilities & Management Services  ,22.08.2017,16.09.2017,GPC08170000015,89.99
Stockport MBC,Corporate and Support Services,Central Support Costs,LINKEDIN-268 5707646,Publicity and Promotion,Facilities & Management Services  ,23.08.2017,16.09.2017,GPC08170000016,739.95
Stockport MBC,Corporate and Support Services,Central Support Costs,Twitter Online Ads,Publicity and Promotion,Facilities & Management Services  ,29.08.2017,16.09.2017,GPC08170000017,28.60
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 7MFWCDJUU2,Publicity and Promotion,Facilities & Management Services  ,31.08.2017,16.09.2017,GPC08170000018,151.50
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 8MFWCDJUU2,Publicity and Promotion,Facilities & Management Services  ,31.08.2017,16.09.2017,GPC08170000019,83.50
Stockport MBC,Services to People,Childrens & Educational Services,NCP LIMITED,Travelling Expenses,Human Resources Travel & Subsistence ,08.11.2017,16.09.2017,GPC08170000020,10.00
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44010600,Care Payments,Social Community Care Supplies & Services  ,08.03.2017,16.09.2017,GPC08170000021,500.00
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44010600,Care Payments,Social Community Care Supplies & Services  ,08.03.2017,16.09.2017,GPC08170000022,123.93
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44010600,Care Payments,Social Community Care Supplies & Services  ,08.03.2017,16.09.2017,GPC08170000023,93.99
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,23.08.2017,16.09.2017,GPC08170000024,91.60
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT M B C,Care Payments,Social Community Care Supplies & Services  ,25.08.2017,16.09.2017,GPC08170000025,30.00
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Care Payments,Social Community Care Supplies & Services  ,25.08.2017,16.09.2017,GPC08170000026,76.09
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44010600,Care Payments,Social Community Care Supplies & Services  ,28.08.2017,16.09.2017,GPC08170000027,66.99
Stockport MBC,Corporate and Support Services,Central Support Costs,GIFTVOUCHERSHOP.CO.UK,Publicity and Promotion,Arts & Leisure Services  ,31.08.2017,16.09.2017,GPC08170000028,300.99
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,EB  SEMINAR ENGAGING W,Staff Training,Human Resources  ,08.07.2017,16.09.2017,GPC08170000029,599.88
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,MARKS&SPENCER PLC,Expenses and Allowances,Human Resources Travel & Subsistence ,08.07.2017,16.09.2017,GPC08170000030,7.65
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,Virgin Trains,Staff Training,Human Resources  ,08.08.2017,16.09.2017,GPC08170000031,100.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,ST GILES HOTEL,Staff Training,Human Resources  ,08.09.2017,16.09.2017,GPC08170000032,73.10
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,ST GILES HOTEL,Staff Training,Human Resources  ,08.09.2017,16.09.2017,GPC08170000033,73.10
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,CO-OP GROUP 108442,Expenses and Allowances,Human Resources Travel & Subsistence ,08.10.2017,16.09.2017,GPC08170000034,7.58
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,E/TUNNEL INTERNET,Expenses and Allowances,Catering  ,14.08.2017,16.09.2017,GPC08170000035,130.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,ASDA SUPERSTORE,Expenses and Allowances,Human Resources Travel & Subsistence ,15.08.2017,16.09.2017,GPC08170000036,7.89
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,MY DONATE,Furniture and Equipment,Furniture & Soft Furnishings  ,17.08.2017,16.09.2017,GPC08170000037,100.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,JLR STOCKPORT,Furniture and Equipment,Furniture & Soft Furnishings  ,17.08.2017,16.09.2017,GPC08170000038,208.73
Stockport MBC,Services to People,Childrens & Educational Services,FSPRG.COM,Information and Communications Technology,Information Communication Technology  ,22.08.2017,16.09.2017,GPC08170000039,118.03
Stockport MBC,Services to People,Childrens & Educational Services,HEATON CHAPEL SST,Travelling Expenses,Human Resources Travel & Subsistence ,08.02.2017,16.09.2017,GPC08170000040,4.60
Stockport MBC,Services to People,Childrens & Educational Services,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,08.08.2017,16.09.2017,GPC08170000041,5.90
Stockport MBC,Services to People,Childrens & Educational Services,NCP LIMITED,Travelling Expenses,Human Resources Travel & Subsistence ,08.11.2017,16.09.2017,GPC08170000042,10.00
Stockport MBC,Services to Place,Central Support Costs,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,08.03.2017,16.09.2017,GPC08170000043,5.90
Stockport MBC,Services to Place,Central Support Costs,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,21.08.2017,16.09.2017,GPC08170000044,5.90
Stockport MBC,Corporate and Support Services,Central Support Costs,MANCHESTER LAW SOCIETY,Staff Training,Human Resources  ,29.08.2017,16.09.2017,GPC08170000045,111.24
Stockport MBC,Corporate and Support Services,Central Support Costs,MANCHESTER LAW SOCIETY,Staff Training,Human Resources  ,29.08.2017,16.09.2017,GPC08170000046,111.24
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.TOGGLER-UK.COM,Furniture and Equipment,Environmental Services Technical Equipment ,08.11.2017,16.09.2017,GPC08170000047,271.85
Stockport MBC,Services to Place,Environmental & Regulatory Services,BRITANNIA,Care Payments,Social Community Care Supplies & Services  ,08.04.2017,16.09.2017,GPC08170000048,50.00
Stockport MBC,Services to Place,Environmental & Regulatory Services,BRITANNIA,Care Payments,Social Community Care Supplies & Services  ,08.04.2017,16.09.2017,GPC08170000049,50.00
Stockport MBC,Services to Place,Environmental & Regulatory Services,BRITANNIA,Care Payments,Social Community Care Supplies & Services  ,08.07.2017,16.09.2017,GPC08170000050,60.00
Stockport MBC,Services to People,Public Health,EB  THE DEAL CONFERENC,Expenses and Allowances,Human Resources Training & Conferences ,08.10.2017,16.09.2017,GPC08170000051,118.80
Stockport MBC,Services to People,Public Health,BHF,Publicity and Promotion,Facilities & Management Services  ,08.11.2017,16.09.2017,GPC08170000052,10.00
Stockport MBC,Services to People,Public Health,BHF SHOPS LTD,Publicity and Promotion,Facilities & Management Services  ,08.11.2017,16.09.2017,GPC08170000053,12.44
Stockport MBC,Corporate and Support Services,Central Support Costs,Virgin Trains,Travelling Expenses,Human Resources Travel & Subsistence ,29.08.2017,16.09.2017,GPC08170000054,75.80
Stockport MBC,Corporate and Support Services,Central Support Costs,Virgin Trains,Travelling Expenses,Human Resources Travel & Subsistence ,29.08.2017,16.09.2017,GPC08170000055,128.40
Stockport MBC,Services to Place,Environmental & Regulatory Services,BRITANNIA,Rents,Financial Services Rents ,08.07.2017,16.09.2017,GPC08170000056,60.00
Stockport MBC,Services to Place,Environmental & Regulatory Services,BRITANNIA,Rents,Financial Services Rents ,08.07.2017,16.09.2017,GPC08170000057,60.00
Stockport MBC,Services to Place,Environmental & Regulatory Services,BRITANNIA,Rents,Financial Services Rents ,08.07.2017,16.09.2017,GPC08170000058,28.00
Stockport MBC,Corporate and Support Services,Central Support Costs,BHF,Care Payments,Social Community Care Supplies & Services  ,21.08.2017,16.09.2017,GPC08170000059,10.00
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44536900,Care Payments,Social Community Care Supplies & Services  ,08.11.2017,16.09.2017,GPC08170000060,676.41
Stockport MBC,Services to People,Childrens & Educational Services,HM PASSPORT OFFICE,Care Payments,Social Community Care Supplies & Services  ,14.08.2017,16.09.2017,GPC08170000061,61.32
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44536900,Care Payments,Social Community Care Supplies & Services  ,14.08.2017,16.09.2017,GPC08170000062,701.41
Stockport MBC,Services to People,Childrens & Educational Services,TRAVELODGE GB0000,Care Payments,Social Community Care Supplies & Services  ,15.08.2017,16.09.2017,GPC08170000063,83.25
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44536900,Care Payments,Social Community Care Supplies & Services  ,15.08.2017,16.09.2017,GPC08170000064,-701.41
Stockport MBC,Services to People,Childrens & Educational Services,TRAVELODGE GB0000,Care Payments,Social Community Care Supplies & Services  ,16.08.2017,16.09.2017,GPC08170000065,121.50
