Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Services to the public,AMAZON.CO.UK M02N416D4,Furniture and Equipment,Environmental Services Technical Equipment ,06.12.2018,16.01.2019,GPC12180000001,103.97
Stockport MBC,Corporate and Support Services,Central Services to the public,AMAZON.CO.UK M06EJ66N4,Furniture and Equipment,Environmental Services Technical Equipment ,06.12.2018,16.01.2019,GPC12180000002,58.49
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  PT43SJNLG2,Publicity and Promotion,Facilities & Management Services  ,31.12.2018,16.01.2019,GPC12180000003,317.39
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK SJMSSJEUU2,Publicity and Promotion,Facilities & Management Services  ,31.12.2018,16.01.2019,GPC12180000004,256.65
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  K2D3DK2MG2,Publicity and Promotion,Facilities & Management Services  ,23.12.2018,16.01.2019,GPC12180000005,600.00
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  RRBY8K2MG2,Publicity and Promotion,Facilities & Management Services  ,13.12.2018,16.01.2019,GPC12180000006,600.00
Stockport MBC,Corporate and Support Services,Central Support Costs,INVISIONAPP INC,Publicity and Promotion,Facilities & Management Services  ,12.12.2018,16.01.2019,GPC12180000007,-202.01
Stockport MBC,Corporate and Support Services,Central Support Costs,INVISIONAPP INC,Publicity and Promotion,Facilities & Management Services  ,12.12.2018,16.01.2019,GPC12180000008,-217.52
Stockport MBC,Corporate and Support Services,Central Support Costs,INVISIONAPP INC,Publicity and Promotion,Facilities & Management Services  ,12.12.2018,16.01.2019,GPC12180000009,-217.52
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  KHMRVHSUU2,Publicity and Promotion,Facilities & Management Services  ,30.11.2018,16.01.2019,GPC12180000010,528.26
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  6AQA5JJMG2,Publicity and Promotion,Facilities & Management Services  ,30.11.2018,16.01.2019,GPC12180000011,481.03
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,18.12.2018,16.01.2019,GPC12180000012,4.28
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,14.12.2018,16.01.2019,GPC12180000013,4.55
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,13.12.2018,16.01.2019,GPC12180000014,14.80
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,11.12.2018,16.01.2019,GPC12180000015,13.75
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,12.12.2018,16.01.2019,GPC12180000016,24.84
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,10.12.2018,16.01.2019,GPC12180000017,21.35
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,07.12.2018,16.01.2019,GPC12180000018,5.92
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,06.12.2018,16.01.2019,GPC12180000019,4.15
