Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Adult Social Care,BEDFORD HOTEL BRUSSEL,Expenses and Allowances,Human Resources Travel & Subsistence ,02.02.2017,16.03.2017,GPC02170000001,132.41
Stockport MBC,Services to People,Adult Social Care,HOSTAL PALERMO,Expenses and Allowances,Human Resources Travel & Subsistence ,10.02.2017,16.03.2017,GPC02170000002,336.50
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,16.02.2017,16.03.2017,GPC02170000003,7.80
Stockport MBC,Services to People,Adult Social Care,BEDFORD HOTEL BRUSSEL,Expenses and Allowances,Human Resources Travel & Subsistence ,18.02.2017,16.03.2017,GPC02170000004,170.61
Stockport MBC,Services to People,Adult Social Care,EUROSTAR INTERNET,Travelling Expenses,Human Resources Travel & Subsistence ,17.02.2017,16.03.2017,GPC02170000005,113.00
Stockport MBC,Services to People,Adult Social Care,RENTALCARS.COM,Leasing /Transport Hire,Vehicle Management Leasing ,17.02.2017,16.03.2017,GPC02170000006,146.64
Stockport MBC,Services to People,Adult Social Care,Virgin Trains,Travelling Expenses,Human Resources Travel & Subsistence ,17.02.2017,16.03.2017,GPC02170000007,71.00
Stockport MBC,Services to People,Adult Social Care,HOTEL MERCURE KORONA,Expenses and Allowances,Human Resources Travel & Subsistence ,20.02.2017,16.03.2017,GPC02170000008,250.01
Stockport MBC,Services to People,Adult Social Care,GUIDE BRIDGE SST,Travelling Expenses,Human Resources Travel & Subsistence ,26.02.2017,16.03.2017,GPC02170000009,5.30
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,26.02.2017,16.03.2017,GPC02170000010,17.20
Stockport MBC,Services to People,Adult Social Care,SNCB-NMBS INTERNET NA,Expenses and Allowances,Human Resources Travel & Subsistence ,26.02.2017,16.03.2017,GPC02170000011,15.36
Stockport MBC,Services to People,Adult Social Care,WWW.ARROWPRIVATEHIRE.C,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,25.02.2017,16.03.2017,GPC02170000012,43.73
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,27.02.2017,16.03.2017,GPC02170000013,21.35
Stockport MBC,Services to People,Adult Social Care,BEDFORD HOTEL BRUSSEL,Expenses and Allowances,Human Resources Travel & Subsistence ,28.02.2017,16.03.2017,GPC02170000014,7.46
Stockport MBC,Services to People,Adult Social Care,FIRA BCN GASTROFIRA CO,Expenses and Allowances,Human Resources Travel & Subsistence ,28.02.2017,16.03.2017,GPC02170000015,1.85
Stockport MBC,Services to People,Adult Social Care,BAR NOLLA,Expenses and Allowances,Human Resources Travel & Subsistence ,01.03.2017,16.03.2017,GPC02170000016,31.24
Stockport MBC,Services to People,Adult Social Care,FORN DE PA PAST.LA RAM,Expenses and Allowances,Human Resources Travel & Subsistence ,01.03.2017,16.03.2017,GPC02170000017,3.93
Stockport MBC,Services to People,Adult Social Care,GLOP RAMBLAS,Expenses and Allowances,Human Resources Travel & Subsistence ,28.02.2017,16.03.2017,GPC02170000018,33.09
Stockport MBC,Services to People,Adult Social Care,GRANIER,Expenses and Allowances,Human Resources Travel & Subsistence ,01.03.2017,16.03.2017,GPC02170000019,6.40
Stockport MBC,Corporate and Support Services,Central Support Costs,B FOR BALLOONS,Publicity and Promotion,Facilities & Management Services  ,16.02.2017,16.03.2017,GPC02170000020,19.00
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 6ZATJBAUU2,Publicity and Promotion,Facilities & Management Services  ,28.02.2017,16.03.2017,GPC02170000021,80.94
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK DZATJBAUU2,Publicity and Promotion,Facilities & Management Services  ,28.02.2017,16.03.2017,GPC02170000022,13.39
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,02.02.2017,16.03.2017,GPC02170000023,4.60
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,03.02.2017,16.03.2017,GPC02170000024,19.59
