Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Adult Social Care,BEDFORD HOTEL BRUSSEL,Expenses and Allowances,Human Resources Travel & Subsistence ,03.01.2017,16.02.2017,GPC01170000001,100.01
Stockport MBC,Services to People,Adult Social Care,BEDFORD HOTEL BRUSSEL,Expenses and Allowances,Human Resources Travel & Subsistence ,03.01.2017,16.02.2017,GPC01170000002,116.69
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,09.01.2017,16.02.2017,GPC01170000003,8.60
Stockport MBC,Services to People,Adult Social Care,DIWANA RESTAURANT LTD,Expenses and Allowances,Human Resources Travel & Subsistence ,11.01.2017,16.02.2017,GPC01170000004,7.95
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,11.01.2017,16.02.2017,GPC01170000005,33.56
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,12.01.2017,16.02.2017,GPC01170000006,22.69
Stockport MBC,Services to People,Adult Social Care,SODEXO HQ COMITES DES,Expenses and Allowances,Human Resources Travel & Subsistence ,12.01.2017,16.02.2017,GPC01170000007,7.56
Stockport MBC,Services to People,Adult Social Care,BEDFORD HOTEL BRUSSEL,Expenses and Allowances,Human Resources Travel & Subsistence ,13.01.2017,16.02.2017,GPC01170000008,8.11
Stockport MBC,Services to People,Adult Social Care,METRO STIB ANNEESSENS,Travelling Expenses,Human Resources Travel & Subsistence ,13.01.2017,16.02.2017,GPC01170000009,12.61
Stockport MBC,Services to People,Adult Social Care,MOMENTUM SERVICES LIMI,Expenses and Allowances,Human Resources Travel & Subsistence ,13.01.2017,16.02.2017,GPC01170000010,3.34
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,16.01.2017,16.02.2017,GPC01170000011,6.90
Stockport MBC,Services to People,Adult Social Care,SAINSBURYS SACAT (4221,Expenses and Allowances,Human Resources Travel & Subsistence ,19.01.2017,16.02.2017,GPC01170000012,3.90
