Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,06.05.2017,16.07.2017,GPC06170000001,12.50
Stockport MBC,Services to People,Adult Social Care,TAXI FERMIN ANON,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,06.05.2017,16.07.2017,GPC06170000002,28.41
Stockport MBC,Services to People,Adult Social Care,RINCON DE ROBERTO,Expenses and Allowances,Human Resources Travel & Subsistence ,06.05.2017,16.07.2017,GPC06170000003,40.96
Stockport MBC,Services to People,Adult Social Care,LA MAR,Expenses and Allowances,Human Resources Travel & Subsistence ,06.07.2017,16.07.2017,GPC06170000004,40.31
Stockport MBC,Services to People,Adult Social Care,RACO DEL SENYORET 2,Expenses and Allowances,Human Resources Travel & Subsistence ,06.06.2017,16.07.2017,GPC06170000005,32.12
Stockport MBC,Services to People,Adult Social Care,LICENCIA 2921,Expenses and Allowances,Human Resources Travel & Subsistence ,06.08.2017,16.07.2017,GPC06170000006,6.27
Stockport MBC,Services to People,Adult Social Care,GABBEACH,Expenses and Allowances,Human Resources Travel & Subsistence ,06.08.2017,16.07.2017,GPC06170000007,22.76
Stockport MBC,Services to People,Adult Social Care,JOSE VICENTE BOLUDA GU,Expenses and Allowances,Human Resources Travel & Subsistence ,06.09.2017,16.07.2017,GPC06170000008,21.30
Stockport MBC,Services to People,Adult Social Care,TATES MANCHESTER AIRPO,Expenses and Allowances,Human Resources Travel & Subsistence ,06.09.2017,16.07.2017,GPC06170000009,0.65
Stockport MBC,Services to People,Adult Social Care,TAXI-ANTONIO OLIVER,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,06.08.2017,16.07.2017,GPC06170000010,5.92
Stockport MBC,Services to People,Adult Social Care,VALENCIA AEROPUERTO,Expenses and Allowances,Human Resources Travel & Subsistence ,06.09.2017,16.07.2017,GPC06170000011,10.10
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,16.06.2017,16.07.2017,GPC06170000012,6.40
Stockport MBC,Services to People,Adult Social Care,PARK PLAZA VONDELPARK,Expenses and Allowances,Human Resources Travel & Subsistence ,21.06.2017,16.07.2017,GPC06170000013,586.18
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,27.06.2017,16.07.2017,GPC06170000014,12.50
Stockport MBC,Services to People,Adult Social Care,LE GREC,Expenses and Allowances,Human Resources Travel & Subsistence ,27.06.2017,16.07.2017,GPC06170000015,71.43
Stockport MBC,Services to People,Adult Social Care,A la Soupe,Expenses and Allowances,Human Resources Travel & Subsistence ,28.06.2017,16.07.2017,GPC06170000016,9.04
Stockport MBC,Services to People,Adult Social Care,A la Soupe,Expenses and Allowances,Human Resources Travel & Subsistence ,28.06.2017,16.07.2017,GPC06170000017,9.04
Stockport MBC,Services to People,Adult Social Care,Cnsc d'Coque,Expenses and Allowances,Human Resources Travel & Subsistence ,28.06.2017,16.07.2017,GPC06170000018,209.96
Stockport MBC,Services to People,Adult Social Care,Cnsc d'Coque,Expenses and Allowances,Human Resources Travel & Subsistence ,28.06.2017,16.07.2017,GPC06170000019,209.96
Stockport MBC,Services to People,Adult Social Care,GOLDEN BEAN,Expenses and Allowances,Human Resources Travel & Subsistence ,28.06.2017,16.07.2017,GPC06170000020,5.84
Stockport MBC,Services to People,Adult Social Care,THE JFK BAR AND KITCHE,Expenses and Allowances,Human Resources Travel & Subsistence ,28.06.2017,16.07.2017,GPC06170000021,80.79
Stockport MBC,Services to People,Adult Social Care,RESTAURANT BATUCADA,Expenses and Allowances,Human Resources Travel & Subsistence ,29.06.2017,16.07.2017,GPC06170000022,113.33
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,06.05.2017,16.07.2017,GPC06170000023,45.50
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,06.06.2017,16.07.2017,GPC06170000024,12.99
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,06.07.2017,16.07.2017,GPC06170000025,12.80
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,06.08.2017,16.07.2017,GPC06170000026,28.39
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,06.09.2017,16.07.2017,GPC06170000027,2.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,06.12.2017,16.07.2017,GPC06170000028,47.54
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,13.06.2017,16.07.2017,GPC06170000029,8.69
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,14.06.2017,16.07.2017,GPC06170000030,26.16
