Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Adult Social Care,LA RAMBLA 31,Expenses and Allowances,Human Resources Travel & Subsistence ,02.03.2017,16.04.2017,GPC03170000001,3.76
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,07.03.2017,16.04.2017,GPC03170000002,27.51
Stockport MBC,Services to People,Adult Social Care,SUBWAY,Expenses and Allowances,Human Resources Travel & Subsistence ,07.03.2017,16.04.2017,GPC03170000003,3.60
Stockport MBC,Services to People,Adult Social Care,GO METRO  DE BROUCKER,Travelling Expenses,Human Resources Travel & Subsistence ,08.03.2017,16.04.2017,GPC03170000004,12.52
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,08.03.2017,16.04.2017,GPC03170000005,18.07
Stockport MBC,Services to People,Adult Social Care,BOOTS 0810,Expenses and Allowances,Human Resources Travel & Subsistence ,09.03.2017,16.04.2017,GPC03170000006,1.25
Stockport MBC,Services to People,Adult Social Care,STARBUCKS METRO MIDI,Expenses and Allowances,Human Resources Travel & Subsistence ,09.03.2017,16.04.2017,GPC03170000007,2.65
Stockport MBC,Services to People,Adult Social Care,BEDFORD HOTEL BRUSSEL,Expenses and Allowances,Human Resources Travel & Subsistence ,09.03.2017,16.04.2017,GPC03170000008,7.65
Stockport MBC,Services to People,Adult Social Care,SNBA GBP  082854503L6Y,Travelling Expenses,Human Resources Travel & Subsistence ,13.03.2017,16.04.2017,GPC03170000009,105.74
Stockport MBC,Services to People,Adult Social Care,TRENITALIA - LEFRECCE,Travelling Expenses,Human Resources Travel & Subsistence ,13.03.2017,16.04.2017,GPC03170000010,31.53
Stockport MBC,Services to People,Adult Social Care,RYANAIR22 22400000HRUR5D,Travelling Expenses,Human Resources Travel & Subsistence ,13.03.2017,16.04.2017,GPC03170000011,81.47
Stockport MBC,Services to People,Adult Social Care,RYANAIR22 22400000M1GDXH,Travelling Expenses,Human Resources Travel & Subsistence ,13.03.2017,16.04.2017,GPC03170000012,61.19
Stockport MBC,Services to People,Adult Social Care,RYANAIR22 22400000ZUVT5N,Travelling Expenses,Human Resources Travel & Subsistence ,13.03.2017,16.04.2017,GPC03170000013,25.49
Stockport MBC,Services to People,Adult Social Care,JET2.COM  7980028315509,Travelling Expenses,Human Resources Travel & Subsistence ,16.03.2017,16.04.2017,GPC03170000014,50.00
Stockport MBC,Services to People,Adult Social Care,Hotel Barry,Expenses and Allowances,Human Resources Travel & Subsistence ,19.03.2017,16.04.2017,GPC03170000015,146.49
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,20.03.2017,16.04.2017,GPC03170000016,11.60
