Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Services to the public,LIMOUSINES AND TAXICABS,Leasing /Transport Hire,Vehicle Management Leasing ,01.04.2019,16.04.2019,GPC03190000001,25.40
Stockport MBC,Corporate and Support Services,Central Services to the public,LIMOUSINES AND TAXICABS,Leasing /Transport Hire,Vehicle Management Leasing ,01.04.2019,16.04.2019,GPC03190000002,25.00
Stockport MBC,Corporate and Support Services,Central Services to the public,AUTOMOBILE PARKING LOTS AND GARAGES,Travelling Expenses,Human Resources Travel & Subsistence ,15.03.2019,16.04.2019,GPC03190000003,12.00
Stockport MBC,Corporate and Support Services,Central Services to the public,"BRIDGE AND ROAD FEES, TOLLS",Travelling Expenses,Human Resources Travel & Subsistence ,13.03.2019,16.04.2019,GPC03190000004,2.00
Stockport MBC,Corporate and Support Services,Central Services to the public,PASSENGER RAILWAYS,Travelling Expenses,Human Resources Travel & Subsistence ,06.03.2019,16.04.2019,GPC03190000005,172.00
Stockport MBC,Corporate and Support Services,Central Support Costs,ADVERTISING SERVICES,Publicity and Promotion,Facilities & Management Services  ,31.03.2019,16.04.2019,GPC03190000006,355.67
Stockport MBC,Corporate and Support Services,Central Support Costs,ADVERTISING SERVICES,Publicity and Promotion,Facilities & Management Services  ,01.04.2019,16.04.2019,GPC03190000007,87.95
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,01.04.2019,16.04.2019,GPC03190000008,20.87
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,29.03.2019,16.04.2019,GPC03190000009,14.48
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,28.03.2019,16.04.2019,GPC03190000010,9.93
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,27.03.2019,16.04.2019,GPC03190000011,15.86
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,26.03.2019,16.04.2019,GPC03190000012,4.21
Stockport MBC,Services to People,Childrens & Educational Services,"EATING PLACES, RESTAURANTS",Catering Supplies,Catering Food & Beverages ,26.03.2019,16.04.2019,GPC03190000013,8.40
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,25.03.2019,16.04.2019,GPC03190000014,14.76
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,19.03.2019,16.04.2019,GPC03190000015,13.25
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,18.03.2019,16.04.2019,GPC03190000016,15.61
Stockport MBC,Services to People,Childrens & Educational Services,"GROCERY STORES, SUPERMARKETS",Catering Supplies,Catering Food & Beverages ,15.03.2019,16.04.2019,GPC03190000017,2.55
