Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Adult Social Care,SNCB-NMBS INTERNET NA,Travelling Expenses,Human Resources Travel & Subsistence ,16.05.2017,16.06.2017,GPC05170000001,15.56
Stockport MBC,Services to People,Adult Social Care,DON JAIME,Expenses and Allowances,Human Resources Travel & Subsistence ,17.05.2017,16.06.2017,GPC05170000002,280.78
Stockport MBC,Services to People,Adult Social Care,FlybeDFB6 DFB684,Travelling Expenses,Human Resources Travel & Subsistence ,17.05.2017,16.06.2017,GPC05170000003,154.01
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,17.05.2017,16.06.2017,GPC05170000004,12.50
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,17.05.2017,16.06.2017,GPC05170000005,25.71
Stockport MBC,Services to People,Adult Social Care,LUFTHANSA 22023824688830,Travelling Expenses,Human Resources Travel & Subsistence ,16.05.2017,16.06.2017,GPC05170000006,188.39
Stockport MBC,Services to People,Adult Social Care,FLYBE.COM D7N2S2       0,Travelling Expenses,Human Resources Travel & Subsistence ,18.05.2017,16.06.2017,GPC05170000007,57.14
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,18.05.2017,16.06.2017,GPC05170000008,20.42
Stockport MBC,Services to People,Adult Social Care,NEW CORICA,Expenses and Allowances,Human Resources Travel & Subsistence ,18.05.2017,16.06.2017,GPC05170000009,2.66
Stockport MBC,Services to People,Adult Social Care,BEDFORD HOTEL BRUSSEL,Expenses and Allowances,Human Resources Travel & Subsistence ,19.05.2017,16.06.2017,GPC05170000010,7.51
Stockport MBC,Services to People,Adult Social Care,Ibis Styles,Expenses and Allowances,Human Resources Travel & Subsistence ,19.05.2017,16.06.2017,GPC05170000011,204.04
Stockport MBC,Services to People,Adult Social Care,RYANAIR22 22400000AW3CFS,Travelling Expenses,Human Resources Travel & Subsistence ,18.05.2017,16.06.2017,GPC05170000012,13.25
Stockport MBC,Services to People,Adult Social Care,SNCB-NMBS INTERNET NA,Travelling Expenses,Human Resources Travel & Subsistence ,23.05.2017,16.06.2017,GPC05170000013,15.71
Stockport MBC,Services to People,Adult Social Care,FLYBE.COM ELZ4D3       0,Travelling Expenses,Human Resources Travel & Subsistence ,25.05.2017,16.06.2017,GPC05170000014,112.97
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,30.05.2017,16.06.2017,GPC05170000015,12.50
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,30.05.2017,16.06.2017,GPC05170000016,28.67
Stockport MBC,Services to People,Adult Social Care,CARMA COFFEE,Expenses and Allowances,Human Resources Travel & Subsistence ,31.05.2017,16.06.2017,GPC05170000017,5.13
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,31.05.2017,16.06.2017,GPC05170000018,28.81
Stockport MBC,Services to People,Adult Social Care,METRO STIB ANNEESSENS,Travelling Expenses,Human Resources Travel & Subsistence ,31.05.2017,16.06.2017,GPC05170000019,12.61
Stockport MBC,Services to People,Adult Social Care,BEDFORD HOTEL BRUSSEL,Expenses and Allowances,Human Resources Travel & Subsistence ,06.01.2017,16.06.2017,GPC05170000020,186.31
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Publicity and Promotion,Facilities & Management Services  ,14.05.2017,16.06.2017,GPC05170000021,12.00
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK JVHJ6BNDV2,Publicity and Promotion,Facilities & Management Services  ,16.05.2017,16.06.2017,GPC05170000022,-8.41
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Publicity and Promotion,Facilities & Management Services  ,17.05.2017,16.06.2017,GPC05170000023,16.00
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Publicity and Promotion,Facilities & Management Services  ,21.05.2017,16.06.2017,GPC05170000024,11.00
Stockport MBC,Corporate and Support Services,Central Support Costs,BOOTSSTOCKPORT,Publicity and Promotion,Facilities & Management Services  ,23.05.2017,16.06.2017,GPC05170000025,20.00
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Publicity and Promotion,Facilities & Management Services  ,23.05.2017,16.06.2017,GPC05170000026,10.00
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK HSWYFCSUU2,Publicity and Promotion,Facilities & Management Services  ,31.05.2017,16.06.2017,GPC05170000027,2.20
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK W68HFC2UU2,Publicity and Promotion,Facilities & Management Services  ,31.05.2017,16.06.2017,GPC05170000028,200.77
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,05.02.2017,16.06.2017,GPC05170000029,47.12
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,05.03.2017,16.06.2017,GPC05170000030,1.50
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,05.04.2017,16.06.2017,GPC05170000031,30.48
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,05.05.2017,16.06.2017,GPC05170000032,21.79
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,05.08.2017,16.06.2017,GPC05170000033,36.72
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,05.09.2017,16.06.2017,GPC05170000034,21.73
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,05.11.2017,16.06.2017,GPC05170000035,7.99
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,05.12.2017,16.06.2017,GPC05170000036,7.25
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,15.05.2017,16.06.2017,GPC05170000037,22.04
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,16.05.2017,16.06.2017,GPC05170000038,22.54
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,17.05.2017,16.06.2017,GPC05170000039,1.19
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,18.05.2017,16.06.2017,GPC05170000040,20.83
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,19.05.2017,16.06.2017,GPC05170000041,15.30
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,22.05.2017,16.06.2017,GPC05170000042,25.14
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,22.05.2017,16.06.2017,GPC05170000043,26.74
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,24.05.2017,16.06.2017,GPC05170000044,11.08
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,26.05.2017,16.06.2017,GPC05170000045,3.00
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,05.10.2017,16.06.2017,GPC05170000046,2.95
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,17.05.2017,16.06.2017,GPC05170000047,3.90
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,05.05.2017,16.06.2017,GPC05170000048,432.94
Stockport MBC,Services to People,Childrens & Educational Services,Trainline,Travelling Expenses,Human Resources Travel & Subsistence ,24.05.2017,16.06.2017,GPC05170000049,111.64
Stockport MBC,Services to People,Childrens & Educational Services,LIVEBUZZ,Professional Fees,Consultancy   ,06.01.2017,16.06.2017,GPC05170000050,225.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,06.01.2017,16.06.2017,GPC05170000051,-94.50
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,06.01.2017,16.06.2017,GPC05170000052,-94.50
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,JLR STOCKPORT,Leasing /Transport Hire,Vehicle Management Leasing ,26.05.2017,16.06.2017,GPC05170000053,823.56
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,CURRYS STOCKPORT 2828,Furniture and Equipment,Furniture & Soft Furnishings  ,05.03.2017,16.06.2017,GPC05170000054,176.95
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,TESCO STORES 3378,Expenses and Allowances,Human Resources Travel & Subsistence ,05.03.2017,16.06.2017,GPC05170000055,23.46
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,GO OUTDOORS,Furniture and Equipment,Furniture & Soft Furnishings  ,05.04.2017,16.06.2017,GPC05170000056,40.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,SCREWFIX STOCKPORT,Furniture and Equipment,Furniture & Soft Furnishings  ,05.04.2017,16.06.2017,GPC05170000057,69.99
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,HOLIDAY INNS,Expenses and Allowances,Human Resources Travel & Subsistence ,05.10.2017,16.06.2017,GPC05170000058,154.56
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,SAINSBURYS LOC 6125,Expenses and Allowances,Human Resources Travel & Subsistence ,15.05.2017,16.06.2017,GPC05170000059,7.50
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,COSTA COFFEE,Expenses and Allowances,Human Resources Travel & Subsistence ,18.05.2017,16.06.2017,GPC05170000060,13.20
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,LUL TICKET MACHINE,Travelling Expenses,Human Resources Travel & Subsistence ,18.05.2017,16.06.2017,GPC05170000061,10.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,LUL TICKET MACHINE,Travelling Expenses,Human Resources Travel & Subsistence ,18.05.2017,16.06.2017,GPC05170000062,10.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WWW.UKWRISTBANDS.COM,Furniture and Equipment,Furniture & Soft Furnishings  ,22.05.2017,16.06.2017,GPC05170000063,102.97
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,GROSVENOR HOTEL,Expenses and Allowances,Human Resources Travel & Subsistence ,23.05.2017,16.06.2017,GPC05170000064,120.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,GROSVENOR HOTEL,Expenses and Allowances,Human Resources Travel & Subsistence ,23.05.2017,16.06.2017,GPC05170000065,120.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,SAINSBURYS LOC 6125,Expenses and Allowances,Human Resources Travel & Subsistence ,23.05.2017,16.06.2017,GPC05170000066,7.35
Stockport MBC,Services to People,Childrens & Educational Services,TOOLSTATION LTD,Cleaning,Cleaning & Janitorial  ,17.05.2017,16.06.2017,GPC05170000067,7.54
Stockport MBC,Services to People,Childrens & Educational Services,PRINTMYTICKETS.CO.,Publicity and Promotion,Arts & Leisure Services  ,22.05.2017,16.06.2017,GPC05170000068,27.65
Stockport MBC,Services to People,Childrens & Educational Services,HEATON CHAPEL SST,Travelling Expenses,Human Resources Travel & Subsistence ,05.03.2017,16.06.2017,GPC05170000069,4.60
Stockport MBC,Services to People,Childrens & Educational Services,HEATON CHAPEL STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,05.05.2017,16.06.2017,GPC05170000070,4.60
Stockport MBC,Services to People,Childrens & Educational Services,NATIONAL CAR PARKS,Travelling Expenses,Human Resources Travel & Subsistence ,19.05.2017,16.06.2017,GPC05170000071,8.00
Stockport MBC,Services to People,Childrens & Educational Services,NATIONAL CAR PARKS,Travelling Expenses,Human Resources Travel & Subsistence ,23.05.2017,16.06.2017,GPC05170000072,8.00
Stockport MBC,Services to People,Childrens & Educational Services,HEATON CHAPEL STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,31.05.2017,16.06.2017,GPC05170000073,4.60
