Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£),,
Stockport MBC,Services to People,Adult Social Care,WWW.ARROWPRIVATEHIRE.C,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,27.11.2017,16.12.2017,GPC11170000001,45.05,,
Stockport MBC,Services to People,Adult Social Care,BEDFORD HOTEL BRUSSEL,Expenses and Allowances,Human Resources Travel & Subsistence ,23.11.2017,16.12.2017,GPC11170000002,293.38,,
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,22.11.2017,16.12.2017,GPC11170000003,29.29,,
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,21.11.2017,16.12.2017,GPC11170000004,31.56,,
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Expenses and Allowances,Human Resources Travel & Subsistence ,20.11.2017,16.12.2017,GPC11170000005,6.30,,
Stockport MBC,Services to People,Adult Social Care,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,20.11.2017,16.12.2017,GPC11170000006,34.45,,
Stockport MBC,Services to People,Adult Social Care,HANSA FUNKTAXI,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,17.11.2017,16.12.2017,GPC11170000007,28.94,,
Stockport MBC,Services to People,Adult Social Care,BRUSSELS  082904415KUZ,Travelling Expenses,Human Resources Travel & Subsistence ,17.11.2017,16.12.2017,GPC11170000008,322.94,,
Stockport MBC,Services to People,Adult Social Care,SUMUP   TAXENBETRIEB M,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,16.11.2017,16.12.2017,GPC11170000009,11.27,,
Stockport MBC,Services to People,Adult Social Care,SCHOENES LEBEN,Expenses and Allowances,Human Resources Travel & Subsistence ,16.11.2017,16.12.2017,GPC11170000010,26.59,,
Stockport MBC,Services to People,Adult Social Care,HOTEL IBIS HAMBURGCITY,Expenses and Allowances,Human Resources Travel & Subsistence ,15.11.2017,16.12.2017,GPC11170000011,161.44,,
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,15.11.2017,16.12.2017,GPC11170000012,12.50,,
Stockport MBC,Services to People,Adult Social Care,SNCB-NMBS INTERNET NA,Travelling Expenses,Human Resources Travel & Subsistence ,14.11.2017,16.12.2017,GPC11170000013,16.26,,
Stockport MBC,Services to People,Adult Social Care,CHEF EXPRESS S.P.A.,Expenses and Allowances,Human Resources Travel & Subsistence ,13.11.2017,16.12.2017,GPC11170000014,6.89,,
Stockport MBC,Services to People,Adult Social Care,I 3 ARCHI,Expenses and Allowances,Human Resources Travel & Subsistence ,09.11.2017,16.12.2017,GPC11170000015,12.79,,
Stockport MBC,Services to People,Adult Social Care,HOTEL ALPI,Expenses and Allowances,Human Resources Travel & Subsistence ,10.11.2017,16.12.2017,GPC11170000016,16.45,,
Stockport MBC,Services to People,Adult Social Care,HOTEL ALPI,Expenses and Allowances,Human Resources Travel & Subsistence ,10.11.2017,16.12.2017,GPC11170000017,16.45,,
Stockport MBC,Services to People,Adult Social Care,BRUTO,Expenses and Allowances,Human Resources Travel & Subsistence ,09.11.2017,16.12.2017,GPC11170000018,54.82,,
Stockport MBC,Services to People,Adult Social Care,I 3 ARCHI,Expenses and Allowances,Human Resources Travel & Subsistence ,10.11.2017,16.12.2017,GPC11170000019,6.40,,
Stockport MBC,Services to People,Adult Social Care,I 3 ARCHI,Expenses and Allowances,Human Resources Travel & Subsistence ,08.11.2017,16.12.2017,GPC11170000020,12.78,,
Stockport MBC,Services to People,Adult Social Care,RISTORANTE PIZZERIA AN,Expenses and Allowances,Human Resources Travel & Subsistence ,08.11.2017,16.12.2017,GPC11170000021,50.63,,
Stockport MBC,Services to People,Adult Social Care,RYANAIR22 22400000LSB76J,Travelling Expenses,Human Resources Travel & Subsistence ,07.11.2017,16.12.2017,GPC11170000022,8.96,,
Stockport MBC,Services to People,Adult Social Care,RYANAIR,Travelling Expenses,Human Resources Travel & Subsistence ,07.11.2017,16.12.2017,GPC11170000023,6.39,,
Stockport MBC,Services to People,Adult Social Care,DA DINO            702,Expenses and Allowances,Human Resources Travel & Subsistence ,07.11.2017,16.12.2017,GPC11170000024,28.19,,
Stockport MBC,Services to People,Adult Social Care,MAN. AIRPORT CAR PARKS,Travelling Expenses,Human Resources Travel & Subsistence ,06.11.2017,16.12.2017,GPC11170000025,67.64,,
Stockport MBC,Services to People,Adult Social Care,TOTAL NN001541 SCHIPH,Fuel,Vehicle Management Fuel ,03.11.2017,16.12.2017,GPC11170000026,36.01,,
Stockport MBC,Services to People,Adult Social Care,HOTEL ARNEVILLE,Expenses and Allowances,Human Resources Travel & Subsistence ,03.11.2017,16.12.2017,GPC11170000027,673.30,,
Stockport MBC,Services to People,Adult Social Care,AVIS RENT-A-CAR,Leasing /Transport Hire,Vehicle Management Leasing ,03.11.2017,16.12.2017,GPC11170000028,101.76,,
Stockport MBC,Services to People,Adult Social Care,FLYBE,Expenses and Allowances,Human Resources Travel & Subsistence ,03.11.2017,16.12.2017,GPC11170000029,2.50,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK KM9T6EWLG2,Publicity and Promotion,Facilities & Management Services  ,30.11.2017,16.12.2017,GPC11170000030,235.80,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK LM9T6EWLG2,Publicity and Promotion,Facilities & Management Services  ,30.11.2017,16.12.2017,GPC11170000031,33.66,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK NWRLHEEUU2,Publicity and Promotion,Facilities & Management Services  ,30.11.2017,16.12.2017,GPC11170000032,311.06,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK PWRLHEEUU2,Publicity and Promotion,Facilities & Management Services  ,30.11.2017,16.12.2017,GPC11170000033,82.88,,
Stockport MBC,Corporate and Support Services,Central Support Costs,CANVA FOR WORK YEARLY,Publicity and Promotion,Facilities & Management Services  ,26.11.2017,16.12.2017,GPC11170000034,92.57,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TWITTER ONLINE ADS,Publicity and Promotion,Facilities & Management Services  ,23.11.2017,16.12.2017,GPC11170000035,23.36,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK K5NK7EELG2,Publicity and Promotion,Facilities & Management Services  ,22.11.2017,16.12.2017,GPC11170000036,344.40,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK P5NK7EELG2,Publicity and Promotion,Facilities & Management Services  ,22.11.2017,16.12.2017,GPC11170000037,55.60,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TWITTER ONLINE ADS,Publicity and Promotion,Facilities & Management Services  ,16.11.2017,16.12.2017,GPC11170000038,75.81,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK RW3UCEEMG2,Publicity and Promotion,Facilities & Management Services  ,15.11.2017,16.12.2017,GPC11170000039,39.16,,
Stockport MBC,Corporate and Support Services,Central Support Costs,TWITTER ONLINE ADS,Publicity and Promotion,Facilities & Management Services  ,15.11.2017,16.12.2017,GPC11170000040,75.81,,
Stockport MBC,Corporate and Support Services,Central Support Costs,INVISIONAPP INC,Publicity and Promotion,Facilities & Management Services  ,16.11.2017,16.12.2017,GPC11170000041,206.94,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK QW3UCEEMG2,Publicity and Promotion,Facilities & Management Services  ,15.11.2017,16.12.2017,GPC11170000042,160.84,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK TNXX9ENTU2,Publicity and Promotion,Facilities & Management Services  ,13.11.2017,16.12.2017,GPC11170000043,559.11,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK UNXX9ENTU2,Publicity and Promotion,Facilities & Management Services  ,13.11.2017,16.12.2017,GPC11170000044,40.89,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 5XT8XDWLG2,Publicity and Promotion,Facilities & Management Services  ,10.11.2017,16.12.2017,GPC11170000045,32.67,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 6XT8XDWLG2,Publicity and Promotion,Facilities & Management Services  ,10.11.2017,16.12.2017,GPC11170000046,7.33,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 78GK3E6MG2,Publicity and Promotion,Facilities & Management Services  ,09.11.2017,16.12.2017,GPC11170000047,15.51,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 88GK3E6MG2,Publicity and Promotion,Facilities & Management Services  ,09.11.2017,16.12.2017,GPC11170000048,4.49,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK XXABLE6UU2,Publicity and Promotion,Facilities & Management Services  ,05.11.2017,16.12.2017,GPC11170000049,518.33,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK YXABLE6UU2,Publicity and Promotion,Facilities & Management Services  ,05.11.2017,16.12.2017,GPC11170000050,81.67,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,30.11.2017,16.12.2017,GPC11170000051,11.39,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,29.11.2017,16.12.2017,GPC11170000052,12.25,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,28.11.2017,16.12.2017,GPC11170000053,3.19,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,27.11.2017,16.12.2017,GPC11170000054,41.79,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,20.11.2017,16.12.2017,GPC11170000055,29.41,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,17.11.2017,16.12.2017,GPC11170000056,6.49,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,16.11.2017,16.12.2017,GPC11170000057,23.03,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,14.11.2017,16.12.2017,GPC11170000058,8.40,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,13.11.2017,16.12.2017,GPC11170000059,36.81,,
