Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,01.11.2017,16.11.2017,GPC10170000001,6.30
Stockport MBC,Services to People,Adult Social Care,WWW.ARROWPRIVATEHIRE.C,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,30.10.2017,16.11.2017,GPC10170000002,45.47
Stockport MBC,Services to People,Adult Social Care,MERCHANT S HOUSE HOTEL,Expenses and Allowances,Human Resources Travel & Subsistence ,19.10.2017,16.11.2017,GPC10170000003,258.30
Stockport MBC,Services to People,Adult Social Care,TAKSO  MIX EXPRESS,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,19.10.2017,16.11.2017,GPC10170000004,7.82
Stockport MBC,Services to People,Adult Social Care,AVATAR RESTORAN,Expenses and Allowances,Human Resources Travel & Subsistence ,19.10.2017,16.11.2017,GPC10170000005,6.02
Stockport MBC,Services to People,Adult Social Care,PORGU,Expenses and Allowances,Human Resources Travel & Subsistence ,18.10.2017,16.11.2017,GPC10170000006,22.57
Stockport MBC,Services to People,Adult Social Care,PORGU,Expenses and Allowances,Human Resources Travel & Subsistence ,17.10.2017,16.11.2017,GPC10170000007,28.30
Stockport MBC,Services to People,Adult Social Care,TAKSO  TULIKA PREMIUM,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,16.10.2017,16.11.2017,GPC10170000008,9.22
Stockport MBC,Services to People,Adult Social Care,KULDNE NOTSU KORTS,Expenses and Allowances,Human Resources Travel & Subsistence ,16.10.2017,16.11.2017,GPC10170000009,28.43
Stockport MBC,Services to People,Adult Social Care,NORTHERN RAIL LTD-,Expenses and Allowances,Human Resources Travel & Subsistence ,16.10.2017,16.11.2017,GPC10170000010,6.30
Stockport MBC,Services to People,Adult Social Care,WWW.ARROWPRIVATEHIRE.C,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,13.10.2017,16.11.2017,GPC10170000011,45.05
Stockport MBC,Services to People,Adult Social Care,LUFTHANSA 22082144610020,Travelling Expenses,Human Resources Travel & Subsistence ,13.10.2017,16.11.2017,GPC10170000012,24.00
Stockport MBC,Services to People,Adult Social Care,RYANAIR22 22400000GZMHTN,Travelling Expenses,Human Resources Travel & Subsistence ,04.10.2017,16.11.2017,GPC10170000013,62.46
Stockport MBC,Services to People,Adult Social Care,RYANAIR22 22400000QQQ4JC,Travelling Expenses,Human Resources Travel & Subsistence ,04.10.2017,16.11.2017,GPC10170000014,9.18
Stockport MBC,Services to People,Adult Social Care,B.COM ALPI HOTEL,Expenses and Allowances,Human Resources Travel & Subsistence ,04.10.2017,16.11.2017,GPC10170000015,610.80
Stockport MBC,Services to People,Adult Social Care,KLM 07424 07424100860011,Travelling Expenses,Human Resources Travel & Subsistence ,04.10.2017,16.11.2017,GPC10170000016,185.52
Stockport MBC,Services to People,Adult Social Care,WWW.ARROWPRIVATEHIRE.C,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,04.10.2017,16.11.2017,GPC10170000017,45.47
Stockport MBC,Services to People,Adult Social Care,NS DEN HAAG CENTRAAL,Travelling Expenses,Human Resources Travel & Subsistence ,04.10.2017,16.11.2017,GPC10170000018,8.96
Stockport MBC,Services to People,Adult Social Care,DUNGELMANN,Expenses and Allowances,Human Resources Travel & Subsistence ,03.10.2017,16.11.2017,GPC10170000019,3.71
Stockport MBC,Services to People,Adult Social Care,SUMUP   NH BUSINESS SE,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,02.10.2017,16.11.2017,GPC10170000020,9.37
Stockport MBC,Services to People,Adult Social Care,RYANAIR22 22400000QS2WXM,Travelling Expenses,Human Resources Travel & Subsistence ,02.10.2017,16.11.2017,GPC10170000021,-39.15
Stockport MBC,Services to People,Adult Social Care,EASYJETES ESXJSXZ,Travelling Expenses,Human Resources Travel & Subsistence ,02.10.2017,16.11.2017,GPC10170000022,87.46
Stockport MBC,Services to People,Adult Social Care,NS SCHIPHOL,Travelling Expenses,Human Resources Travel & Subsistence ,02.10.2017,16.11.2017,GPC10170000023,8.95
Stockport MBC,Services to People,Adult Social Care,NORTHERN RAIL LTD-,Travelling Expenses,Human Resources Travel & Subsistence ,02.10.2017,16.11.2017,GPC10170000024,6.30
Stockport MBC,Services to People,Adult Social Care,MYPOS   HTS 0706666666,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,02.10.2017,16.11.2017,GPC10170000025,9.11
Stockport MBC,Corporate and Support Services,Central Services to the public,AMAZON EU,Library Equipment,Education Library Books ,13.10.2017,16.11.2017,GPC10170000026,583.55
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 66TDTDAUU2,Publicity and Promotion,Facilities & Management Services  ,31.10.2017,16.11.2017,GPC10170000027,5.96
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK W5TDTDAUU2,Publicity and Promotion,Facilities & Management Services  ,31.10.2017,16.11.2017,GPC10170000028,149.98
Stockport MBC,Corporate and Support Services,Central Support Costs,INVISIONAPP INC,Publicity and Promotion,Facilities & Management Services  ,29.10.2017,16.11.2017,GPC10170000029,207.91
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK GX23KE6UU2,Publicity and Promotion,Facilities & Management Services  ,29.10.2017,16.11.2017,GPC10170000030,506.67
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK UX23KE6UU2,Publicity and Promotion,Facilities & Management Services  ,29.10.2017,16.11.2017,GPC10170000031,93.33
Stockport MBC,Corporate and Support Services,Central Support Costs,SP  INSTAFRAMEUK,Publicity and Promotion,Facilities & Management Services  ,17.10.2017,16.11.2017,GPC10170000032,35.82
Stockport MBC,Corporate and Support Services,Central Support Costs,POUNDLAND LTD 1235,Publicity and Promotion,Facilities & Management Services  ,16.10.2017,16.11.2017,GPC10170000033,33.67
Stockport MBC,Corporate and Support Services,Central Support Costs,ADOBE SYSTEMS SOFTWARE,Publicity and Promotion,Facilities & Management Services  ,12.10.2017,16.11.2017,GPC10170000034,24.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,01.11.2017,16.11.2017,GPC10170000035,19.04
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,30.10.2017,16.11.2017,GPC10170000036,50.92
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,19.10.2017,16.11.2017,GPC10170000037,10.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,18.10.2017,16.11.2017,GPC10170000038,12.24
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,18.10.2017,16.11.2017,GPC10170000039,2.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,17.10.2017,16.11.2017,GPC10170000040,17.24
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,13.10.2017,16.11.2017,GPC10170000041,7.70
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,12.10.2017,16.11.2017,GPC10170000042,23.06
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,11.10.2017,16.11.2017,GPC10170000043,7.67
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,09.10.2017,16.11.2017,GPC10170000044,31.70
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,06.10.2017,16.11.2017,GPC10170000045,1.89
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,05.10.2017,16.11.2017,GPC10170000046,26.93
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,04.10.2017,16.11.2017,GPC10170000047,15.98
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,03.10.2017,16.11.2017,GPC10170000048,10.94
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,02.10.2017,16.11.2017,GPC10170000049,29.54
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,13.10.2017,16.11.2017,GPC10170000050,3.90
Stockport MBC,Services to People,Childrens & Educational Services,TICKETOFFICESALE,Travelling Expenses,Human Resources Travel & Subsistence ,12.10.2017,16.11.2017,GPC10170000051,8.90
Stockport MBC,Services to People,Childrens & Educational Services,SELFSERVE TICKET,Travelling Expenses,Human Resources Travel & Subsistence ,11.10.2017,16.11.2017,GPC10170000052,15.85
Stockport MBC,Services to People,Childrens & Educational Services,PAYPAL  ACTIONFORCH,Professional Fees,Consultancy   ,01.11.2017,16.11.2017,GPC10170000053,180.00
Stockport MBC,Services to People,Childrens & Educational Services,PAYPAL  ACTIONFORCH,Professional Fees,Consultancy   ,01.11.2017,16.11.2017,GPC10170000054,180.00
Stockport MBC,Services to People,Childrens & Educational Services,PAYPAL  ACTIONFORCH,Professional Fees,Consultancy   ,01.11.2017,16.11.2017,GPC10170000055,180.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,18.10.2017,16.11.2017,GPC10170000056,66.25
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,05.10.2017,16.11.2017,GPC10170000057,87.11
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,02.10.2017,16.11.2017,GPC10170000058,85.32
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,19.10.2017,16.11.2017,GPC10170000059,68.44
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44010600,Care Payments,Social Community Care Supplies & Services  ,16.10.2017,16.11.2017,GPC10170000060,188.96
