Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Services to the public,MERCURE WALTON WARWICK,Staff Training,Human Resources  ,03.10.2019,16.11.2019,GPC10190000001,149.00
Stockport MBC,Corporate and Support Services,Central Services to the public,MERCURE WALTON WARWICK,Staff Training,Human Resources  ,03.10.2019,16.11.2019,GPC10190000002,141.00
Stockport MBC,Corporate and Support Services,Central Services to the public,HUB BY PREMIER INN 496,Travelling Expenses,Human Resources Travel & Subsistence ,01.10.2019,16.11.2019,GPC10190000003,162.00
Stockport MBC,Corporate and Support Services,Central Services to the public,HUB BY PREMIER INN 496,Travelling Expenses,Human Resources Travel & Subsistence ,01.10.2019,16.11.2019,GPC10190000004,131.50
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  MHDV9PNLG2,Office Expenses,Facilities & Management Services  ,31.10.2019,16.11.2019,GPC10190000005,94.44
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  H2L4PPAMG2,Office Expenses,Facilities & Management Services  ,28.10.2019,16.11.2019,GPC10190000006,700.00
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  5ZWWQNJMG2,Office Expenses,Facilities & Management Services  ,18.10.2019,16.11.2019,GPC10190000007,700.00
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  GY9KUNNLG2,Office Expenses,Facilities & Management Services  ,08.10.2019,16.11.2019,GPC10190000008,700.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,31.10.2019,16.11.2019,GPC10190000009,14.30
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,30.10.2019,16.11.2019,GPC10190000010,12.15
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,29.10.2019,16.11.2019,GPC10190000011,12.85
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,28.10.2019,16.11.2019,GPC10190000012,31.55
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,18.10.2019,16.11.2019,GPC10190000013,6.17
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,17.10.2019,16.11.2019,GPC10190000014,7.41
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,16.10.2019,16.11.2019,GPC10190000015,12.19
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,15.10.2019,16.11.2019,GPC10190000016,10.70
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,14.10.2019,16.11.2019,GPC10190000017,22.44
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,11.10.2019,16.11.2019,GPC10190000018,8.42
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,10.10.2019,16.11.2019,GPC10190000019,17.69
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,09.10.2019,16.11.2019,GPC10190000020,16.46
