Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Services to People,Adult Social Care,AUTO TAXIS COELHAL,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,09.01.2017,16.10.2017,GPC09170000001,9.73
Stockport MBC,Services to People,Adult Social Care,BAIXA & CHIADO HOTEL S,Expenses and Allowances,Human Resources Travel & Subsistence ,31.08.2017,16.10.2017,GPC09170000002,1.90
Stockport MBC,Services to People,Adult Social Care,RENDEIRO TRANSPORTES,Expenses and Allowances,Human Resources Travel & Subsistence ,09.01.2017,16.10.2017,GPC09170000003,8.50
Stockport MBC,Services to People,Adult Social Care,REST SOLAR DUQUE,Expenses and Allowances,Human Resources Travel & Subsistence ,09.01.2017,16.10.2017,GPC09170000004,26.11
Stockport MBC,Services to People,Adult Social Care,REST SOLAR DUQUE,Expenses and Allowances,Human Resources Travel & Subsistence ,31.08.2017,16.10.2017,GPC09170000005,28.95
Stockport MBC,Services to People,Adult Social Care,REST SOLAR DUQUE,Expenses and Allowances,Human Resources Travel & Subsistence ,31.08.2017,16.10.2017,GPC09170000006,28.95
Stockport MBC,Services to People,Adult Social Care,SUMUP   AUTO TAXIS IDE,Expenses and Allowances,Human Resources Travel & Subsistence ,09.02.2017,16.10.2017,GPC09170000007,18.04
Stockport MBC,Services to People,Adult Social Care,NS SCHIPHOL,Expenses and Allowances,Human Resources Travel & Subsistence ,09.11.2017,16.10.2017,GPC09170000008,10.24
Stockport MBC,Services to People,Adult Social Care,RESTAURANT BLAUW AMST,Expenses and Allowances,Human Resources Travel & Subsistence ,09.11.2017,16.10.2017,GPC09170000009,45.01
Stockport MBC,Services to People,Adult Social Care,VIDA Amsterdam BV,Expenses and Allowances,Human Resources Travel & Subsistence ,09.12.2017,16.10.2017,GPC09170000010,62.10
Stockport MBC,Services to People,Adult Social Care,BERTRAM & BROOD,Expenses and Allowances,Human Resources Travel & Subsistence ,13.09.2017,16.10.2017,GPC09170000011,10.14
Stockport MBC,Services to People,Adult Social Care,NS AMSTERDAM CENTRAAL,Expenses and Allowances,Human Resources Travel & Subsistence ,14.09.2017,16.10.2017,GPC09170000012,10.12
Stockport MBC,Services to People,Adult Social Care,BRUSSELS  082611364RSS,Travelling Expenses,Human Resources Travel & Subsistence ,15.09.2017,16.10.2017,GPC09170000013,150.24
Stockport MBC,Services to People,Adult Social Care,HMSHOST AMSTERDAM SCHI,Travelling Expenses,Human Resources Travel & Subsistence ,14.09.2017,16.10.2017,GPC09170000014,11.70
Stockport MBC,Services to People,Adult Social Care,PARK PLAZA VONDELPARK,Expenses and Allowances,Human Resources Travel & Subsistence ,14.09.2017,16.10.2017,GPC09170000015,6.23
Stockport MBC,Services to People,Adult Social Care,Virgin Trains,Travelling Expenses,Human Resources Travel & Subsistence ,30.09.2017,16.10.2017,GPC09170000016,183.95
Stockport MBC,Corporate and Support Services,Central Services to the public,TESCO STORES 2992,Office Expenses,Stationery    ,21.09.2017,16.10.2017,GPC09170000017,14.20
Stockport MBC,Corporate and Support Services,Central Services to the public,Amazon EU,Library Equipment,Education Library Books ,10.01.2017,16.10.2017,GPC09170000018,267.99
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK UTETVDEUU2,Publicity and Promotion,Facilities & Management Services  ,15.09.2017,16.10.2017,GPC09170000019,512.54
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK WTETVDEUU2,Publicity and Promotion,Facilities & Management Services  ,15.09.2017,16.10.2017,GPC09170000020,87.78
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK AEW9LDJUU2,Publicity and Promotion,Facilities & Management Services  ,30.09.2017,16.10.2017,GPC09170000021,439.94
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK BEW9LDJUU2,Publicity and Promotion,Facilities & Management Services  ,30.09.2017,16.10.2017,GPC09170000022,62.26
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,09.08.2017,16.10.2017,GPC09170000023,15.35
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,09.11.2017,16.10.2017,GPC09170000024,32.43
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,13.09.2017,16.10.2017,GPC09170000025,8.40
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,14.09.2017,16.10.2017,GPC09170000026,21.18
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,15.09.2017,16.10.2017,GPC09170000027,8.19
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,18.09.2017,16.10.2017,GPC09170000028,18.19
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,19.09.2017,16.10.2017,GPC09170000029,7.51
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,20.09.2017,16.10.2017,GPC09170000030,5.37
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,21.09.2017,16.10.2017,GPC09170000031,18.88
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,22.09.2017,16.10.2017,GPC09170000032,11.60
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,25.09.2017,16.10.2017,GPC09170000033,24.52
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,26.09.2017,16.10.2017,GPC09170000034,4.52
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,27.09.2017,16.10.2017,GPC09170000035,13.53
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,28.09.2017,16.10.2017,GPC09170000036,29.03
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,29.09.2017,16.10.2017,GPC09170000037,10.54
Stockport MBC,Services to People,Childrens & Educational Services,FLYBE.COM FT0HEV       0,Care Payments,Social Community Care Supplies & Services  ,21.09.2017,16.10.2017,GPC09170000038,345.70
Stockport MBC,Services to People,Childrens & Educational Services,AVIS RENT-A-CAR,Expenses and Allowances,Human Resources Training & Conferences ,21.09.2017,16.10.2017,GPC09170000039,23.05
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44523630,Care Payments,Social Community Care Supplies & Services  ,21.09.2017,16.10.2017,GPC09170000040,185.47
Stockport MBC,Corporate and Support Services,Planning Services,ADJUDICATOR OFFICE,Fees and Charges,UNCLASSIFIED  ,09.05.2017,16.10.2017,GPC09170000041,680.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WWW.ICO.GOV.UK,Fees and Charges,UNCLASSIFIED  ,09.08.2017,16.10.2017,GPC09170000042,500.00
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,Virgin Trains,Expenses and Allowances,Human Resources Travel & Subsistence ,09.07.2017,16.10.2017,GPC09170000043,39.60
