Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Services to the public,PREMIER INN44017905,Travelling Expenses,Human Resources Travel & Subsistence ,26.09.2018,16.10.2018,GPC09180000001,79.50
Stockport MBC,Corporate and Support Services,Central Services to the public,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,10.09.2018,16.10.2018,GPC09180000002,123.70
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK GXZ8GHNTU2,Publicity and Promotion,Facilities & Management Services  ,30.09.2018,16.10.2018,GPC09180000003,428.45
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK TVZTNHEMG2,Publicity and Promotion,Facilities & Management Services  ,30.09.2018,16.10.2018,GPC09180000004,353.44
Stockport MBC,Corporate and Support Services,Central Support Costs,LINKEDIN-425 6580143,Publicity and Promotion,Facilities & Management Services  ,21.09.2018,16.10.2018,GPC09180000005,739.95
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK YVSRCHEUU2,Publicity and Promotion,Facilities & Management Services  ,31.08.2018,16.10.2018,GPC09180000006,467.87
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK HWAWBHNLG2,Publicity and Promotion,Facilities & Management Services  ,31.08.2018,16.10.2018,GPC09180000007,228.76
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,01.10.2018,16.10.2018,GPC09180000008,15.02
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,28.09.2018,16.10.2018,GPC09180000009,12.05
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,27.09.2018,16.10.2018,GPC09180000010,9.93
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,26.09.2018,16.10.2018,GPC09180000011,2.80
