Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  7GQETMWLG2,Publicity and Promotion,Facilities & Management Services  ,31.08.2019,16.09.2019,GPC08190000001,327.87
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  VMC86NJLG2,Publicity and Promotion,Facilities & Management Services  ,23.08.2019,16.09.2019,GPC08190000002,600.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,22.08.2019,16.09.2019,GPC08190000003,203.60
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,21.08.2019,16.09.2019,GPC08190000004,-79.60
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,20.08.2019,16.09.2019,GPC08190000005,106.35
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,16.08.2019,16.09.2019,GPC08190000006,93.60
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,15.08.2019,16.09.2019,GPC08190000007,77.55
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,09.08.2019,16.09.2019,GPC08190000008,451.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,07.08.2019,16.09.2019,GPC08190000009,24.65
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,07.08.2019,16.09.2019,GPC08190000010,24.65
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,06.08.2019,16.09.2019,GPC08190000011,87.90
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE.COM,Travelling Expenses,Human Resources Travel & Subsistence ,05.08.2019,16.09.2019,GPC08190000012,182.00
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON PRIME MH0YP0294,Publicity and Promotion,Arts & Leisure Services  ,10.08.2019,16.09.2019,GPC08190000013,7.99
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK MH9X73DJ4,Furniture and Equipment,Furniture & Soft Furnishings  ,09.08.2019,16.09.2019,GPC08190000014,34.76
Stockport MBC,Services to People,Childrens & Educational Services,MFG,Fuel,Vehicle Management Fuel ,07.08.2019,16.09.2019,GPC08190000015,21.95
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,Environmental Services Technical Equipment ,01.08.2019,16.09.2019,GPC08190000016,16.09
Stockport MBC,Corporate and Support Services,Cultural & Related Services,CITY LOCK AND SAFE,Furniture and Equipment,Environmental Services Technical Equipment ,29.08.2019,16.09.2019,GPC08190000017,58.99
