Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Services to the public,AVANTI WEST COAST,Travelling Expenses,Human Resources Travel & Subsistence ,30.12.2019,16.01.2020,GPC12190000001,111.00
Stockport MBC,Corporate and Support Services,Central Services to the public,AVANTI WEST COAST,Travelling Expenses,Human Resources Travel & Subsistence ,30.12.2019,16.01.2020,GPC12190000002,171.00
Stockport MBC,Corporate and Support Services,Central Services to the public,HOTEL ON BOOKING.COM,Travelling Expenses,Human Resources Travel & Subsistence ,30.12.2019,16.01.2020,GPC12190000003,159.20
Stockport MBC,Corporate and Support Services,Central Services to the public,SAINSBURYS SUPERMARKET,Office Expenses,Catering  ,20.12.2019,16.01.2020,GPC12190000004,10.80
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  JQPYGQ6MG2,Office Expenses,Facilities & Management Services  ,31.12.2019,16.01.2020,GPC12190000005,128.39
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  XG63TQSLG2,Office Expenses,Facilities & Management Services  ,27.12.2019,16.01.2020,GPC12190000006,700.00
Stockport MBC,Corporate and Support Services,Central Support Costs,APPLE.COM/BILL,Information and Communications Technology,Information Communication Technology  ,26.12.2019,16.01.2020,GPC12190000007,6.99
Stockport MBC,Services to People,Childrens & Educational Services,SKATE MANCHESTER,Catering Supplies,Catering Food & Beverages ,17.12.2019,16.01.2020,GPC12190000008,40.50
Stockport MBC,Services to People,Childrens & Educational Services,HEATON CHAPEL STN TO,Catering Supplies,Catering Food & Beverages ,17.12.2019,16.01.2020,GPC12190000009,46.80
Stockport MBC,Services to People,Childrens & Educational Services,ANNIES RESTAURANT,Catering Supplies,Catering Food & Beverages ,17.12.2019,16.01.2020,GPC12190000010,24.35
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,16.12.2019,16.01.2020,GPC12190000011,1.10
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,16.12.2019,16.01.2020,GPC12190000012,16.69
Stockport MBC,Services to People,Childrens & Educational Services,ANNIES RESTAURANT,Catering Supplies,Catering Food & Beverages ,13.12.2019,16.01.2020,GPC12190000013,150.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,13.12.2019,16.01.2020,GPC12190000014,10.94
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,13.12.2019,16.01.2020,GPC12190000015,6.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,12.12.2019,16.01.2020,GPC12190000016,0.95
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,11.12.2019,16.01.2020,GPC12190000017,22.48
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,10.12.2019,16.01.2020,GPC12190000018,15.40
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,09.12.2019,16.01.2020,GPC12190000019,23.70
