Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Services to the public,METRO TAXIS LIMITED,Expenses and Allowances,UNCLASSIFIED  ,02.07.2019,16.08.2019,GPC07190000001,21.00
Stockport MBC,Corporate and Support Services,Central Services to the public,METRO TAXIS LIMITED,Expenses and Allowances,UNCLASSIFIED  ,02.07.2019,16.08.2019,GPC07190000002,21.00
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 8RMCDM2UU2,Publicity and Promotion,Facilities & Management Services  ,31.07.2019,16.08.2019,GPC07190000003,70.38
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  U5PRCMWLG2,Publicity and Promotion,Facilities & Management Services  ,31.07.2019,16.08.2019,GPC07190000004,407.13
Stockport MBC,Corporate and Support Services,Central Support Costs,ADOBE  CREATIVE CLOUD,Publicity and Promotion,Facilities & Management Services  ,26.07.2019,16.08.2019,GPC07190000005,708.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,18.07.2019,16.08.2019,GPC07190000006,9.25
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,17.07.2019,16.08.2019,GPC07190000007,15.86
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,11.07.2019,16.08.2019,GPC07190000008,12.29
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,10.07.2019,16.08.2019,GPC07190000009,22.85
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,08.07.2019,16.08.2019,GPC07190000010,22.94
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,04.07.2019,16.08.2019,GPC07190000011,13.27
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,03.07.2019,16.08.2019,GPC07190000012,14.00
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,02.07.2019,16.08.2019,GPC07190000013,5.30
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK MH6I61MY4,Furniture and Equipment,Environmental Services Technical Equipment ,02.08.2019,16.08.2019,GPC07190000014,24.99
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON PRIME M62O83RN4,Publicity and Promotion,Arts & Leisure Services  ,10.07.2019,16.08.2019,GPC07190000015,7.99
Stockport MBC,Services to People,Childrens & Educational Services,ACP  MUSIC-ROOM_GBP,Library Equipment,Education Library Books ,01.08.2019,16.08.2019,GPC07190000016,191.21
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,Furniture & Soft Furnishings  ,25.07.2019,16.08.2019,GPC07190000017,14.16
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE AMAZON.CO,Furniture and Equipment,Furniture & Soft Furnishings  ,25.07.2019,16.08.2019,GPC07190000018,14.16
Stockport MBC,Services to People,Childrens & Educational Services,GOPRO.COM VIA MLNK,Furniture and Equipment,Furniture & Soft Furnishings  ,24.07.2019,16.08.2019,GPC07190000019,337.49
Stockport MBC,Services to People,Childrens & Educational Services,WWW.YAZZOO.CO.UK,Clothing Uniforns and Laundry,Clothing  ,23.07.2019,16.08.2019,GPC07190000020,133.25
Stockport MBC,Services to People,Childrens & Educational Services,HALFORDS 0792,Vehicle Repairs and Maintenance,Vehicle Management  ,18.07.2019,16.08.2019,GPC07190000021,25.00
Stockport MBC,Services to People,Childrens & Educational Services,MFG,Fuel,Vehicle Management Fuel ,16.07.2019,16.08.2019,GPC07190000022,12.80
Stockport MBC,Services to People,Childrens & Educational Services,PROFESSIONAL MUSIC,Furniture and Equipment,Environmental Services Technical Equipment ,13.07.2019,16.08.2019,GPC07190000023,137.49
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Office Expenses,Stationery    ,11.07.2019,16.08.2019,GPC07190000024,48.73
Stockport MBC,Services to People,Childrens & Educational Services,RIVER PRO AUDIO,Office Expenses,Stationery    ,10.07.2019,16.08.2019,GPC07190000025,137.96
Stockport MBC,Services to People,Childrens & Educational Services,AFFINITY STORE (SERIF),Information and Communications Technology,Information Communication Technology  ,02.07.2019,16.08.2019,GPC07190000026,32.50
Stockport MBC,Services to People,Childrens & Educational Services,ACP  MUSIC-ROOM_GBP,Library Equipment,Education Library Books ,02.07.2019,16.08.2019,GPC07190000027,95.94
Stockport MBC,Corporate and Support Services,Cultural & Related Services,HG STEPHENSON LTD,Furniture and Equipment,Environmental Services Technical Equipment ,26.07.2019,16.08.2019,GPC07190000028,67.52
Stockport MBC,Services to People,Childrens & Educational Services,ADOBE  CREATIVE CLOUD,Office Expenses,Facilities & Management Services  ,01.08.2019,16.08.2019,GPC07190000029,70.80
Stockport MBC,Services to People,Childrens & Educational Services,FACEBK  FSSKSMSRK2,Office Expenses,Facilities & Management Services  ,31.07.2019,16.08.2019,GPC07190000030,314.05
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADS8179771860,Office Expenses,Facilities & Management Services  ,29.07.2019,16.08.2019,GPC07190000031,500.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,15.07.2019,16.08.2019,GPC07190000032,22.75
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,12.07.2019,16.08.2019,GPC07190000033,22.75
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADS8179771860,Office Expenses,Facilities & Management Services  ,14.07.2019,16.08.2019,GPC07190000034,500.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,05.07.2019,16.08.2019,GPC07190000035,274.50
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON PRIME,Publicity and Promotion,Arts & Leisure Services  ,05.07.2019,16.08.2019,GPC07190000036,-7.99
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADS8179771860,Office Expenses,Facilities & Management Services  ,03.07.2019,16.08.2019,GPC07190000037,500.00
Stockport MBC,Services to People,Childrens & Educational Services,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,01.08.2019,16.08.2019,GPC07190000038,4.10
Stockport MBC,Services to People,Childrens & Educational Services,HEATON CHAPEL SST,Travelling Expenses,Human Resources Travel & Subsistence ,17.07.2019,16.08.2019,GPC07190000039,5.10
Stockport MBC,Services to People,Childrens & Educational Services,CMT UK LTD TAXI FARE,Travelling Expenses,Human Resources Travel & Subsistence ,10.07.2019,16.08.2019,GPC07190000040,20.75
Stockport MBC,Services to People,Childrens & Educational Services,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,09.07.2019,16.08.2019,GPC07190000041,330.00
Stockport MBC,Services to People,Childrens & Educational Services,CMT UK LTD TAXI FARE,Travelling Expenses,Human Resources Travel & Subsistence ,09.07.2019,16.08.2019,GPC07190000042,16.35
Stockport MBC,Services to Place,Central Support Costs,MCDONALDS,Catering Supplies,Catering Food & Beverages ,01.08.2019,16.08.2019,GPC07190000043,49.90
Stockport MBC,Services to Place,Central Support Costs,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,18.07.2019,16.08.2019,GPC07190000044,6.30
Stockport MBC,Services to Place,Central Support Costs,THE NORTH MUSIC TRUST,Expenses and Allowances,Human Resources Training & Conferences ,16.07.2019,16.08.2019,GPC07190000045,4.80
Stockport MBC,Services to Place,Central Support Costs,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,10.07.2019,16.08.2019,GPC07190000046,6.30
Stockport MBC,Services to People,Childrens & Educational Services,AMZNMKTPLACE,Office Expenses,Stationery    ,18.07.2019,16.08.2019,GPC07190000047,13.32
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK MH1GS9FL4,Office Expenses,Facilities & Management Services  ,15.07.2019,16.08.2019,GPC07190000048,71.99
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON PRIME M608P6YV4,Furniture and Equipment,Furniture & Soft Furnishings  ,13.07.2019,16.08.2019,GPC07190000049,7.99
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON.CO.UK M69809RK4,Furniture and Equipment,Furniture & Soft Furnishings  ,10.07.2019,16.08.2019,GPC07190000050,10.33
Stockport MBC,Services to People,Childrens & Educational Services,STUDIOS 2 LET,Staff Training,Human Resources  ,04.07.2019,16.08.2019,GPC07190000051,244.80
