Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Services to the public,AMZNMKTPLACE,Office Expenses,Stationery    ,29.11.2019,16.12.2019,GPC11190000001,67.41
Stockport MBC,Corporate and Support Services,Central Services to the public,RYANAIR22 22400000EDC5WB,Expenses and Allowances,UNCLASSIFIED  ,20.11.2019,16.12.2019,GPC11190000002,139.13
Stockport MBC,Corporate and Support Services,Central Services to the public,HOLIDAY INNS,Expenses and Allowances,UNCLASSIFIED  ,21.11.2019,16.12.2019,GPC11190000003,90
Stockport MBC,Corporate and Support Services,Central Services to the public,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,20.11.2019,16.12.2019,GPC11190000004,12.65
Stockport MBC,Corporate and Support Services,Central Services to the public,HUB BY PREMIER INN 496,Travelling Expenses,Human Resources Travel & Subsistence ,11.11.2019,16.12.2019,GPC11190000005,186.5
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  WKHFXPJLG2,Office Expenses,Facilities & Management Services  ,30.11.2019,16.12.2019,GPC11190000006,423.94
Stockport MBC,Corporate and Support Services,Central Support Costs,APPLE.COM/BILL,Information and Communications Technology,Information Communication Technology  ,28.11.2019,16.12.2019,GPC11190000007,-6.99
Stockport MBC,Corporate and Support Services,Central Support Costs,CANVA  02521-1808840,Office Expenses,Facilities & Management Services  ,26.11.2019,16.12.2019,GPC11190000008,95.76
Stockport MBC,Corporate and Support Services,Central Support Costs,APPLE.COM/BILL,Information and Communications Technology,Information Communication Technology  ,26.11.2019,16.12.2019,GPC11190000009,6.99
Stockport MBC,Corporate and Support Services,Central Support Costs,APPLE.COM/BILL,Information and Communications Technology,Information Communication Technology  ,26.11.2019,16.12.2019,GPC11190000010,6.99
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  BAHK9PWLG2,Office Expenses,Facilities & Management Services  ,22.11.2019,16.12.2019,GPC11190000011,699.99
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS STORE,Catering Supplies,Catering Food & Beverages ,28.11.2019,16.12.2019,GPC11190000012,18
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,27.11.2019,16.12.2019,GPC11190000013,15.21
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,25.11.2019,16.12.2019,GPC11190000014,32.72
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,22.11.2019,16.12.2019,GPC11190000015,6.68
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,21.11.2019,16.12.2019,GPC11190000016,12.7
Stockport MBC,Services to People,Childrens & Educational Services,MY.MORRISONS.COM,Catering Supplies,Catering Food & Beverages ,21.11.2019,16.12.2019,GPC11190000017,18
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,20.11.2019,16.12.2019,GPC11190000018,13.85
