"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"
            MT161790",Contract,"Thanet District Council",Awarded,2015-08-28T16:45:45Z,"Security Services at various sites within Thanet","Contract in Lots.  Lot 1 (90%): category dealing with specific Security Services at the Ferry Port of Ramsgate & Royal Harbour &  and unlock/lock up of Leopold Street Multi Storey Car Park, Ramsgate. Lot 2 (10%) Reception/Security at Thanet District Council, Main Council Offices, Margate and unlock/lock up of Mill Lane Multi Storey Car Park.  Lot 3. A small proportion of ad hoc Security may be required from time to time for special events.  Lots 1 & 2 both have dedicated elements with specific requirements which would deem them to be more than general security. Specific to Lot 1 applicants would be expected to be fully conversant with Port security operations to be able to achieve a successful outcome in a PQQ process.",,,"South East","75240000 75112000 ","Procurement & Contracts",karen.paton@thanet.gov.uk,"PO Box 9","Cecil Street",Margate,"CT9 1XZ","
              England
            ","+44 1843577000",www.thanet.gov.uk,,"http://www.mytenders.org/search/show/search_view.aspx?ID=AUG113932 ",,01/08/2015,31/07/2019,13/04/2015,NO,,Yes,No,No,Services,2282331.24,,01/08/2015,353876.58,"[Profile Security Services Limited|374 Wandsworth Road,, London|||No|No][Securitas Security Services (UK) Ltd|Securitas House,271 High Street, Uxbridge|||No|No][Profile Security Services Limited|374 Wandsworth Road,, London|||No|No]",,01/08/2015,31/07/2019,"Restricted ",
FM20132,Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2020-10-25T15:29:33Z,"UKRI - FM20132 - ATC Security Manned Guarding","The final date and time for the submission of bids is Tuesday 4th August 2020 at 11:00 

DO NOT apply directly to the buyer.

All tender information MUST be submitted through the Delta eSourcing Portal.

Brief Description of Requirement

The UK Astronomy Technology Centre, Blackford Hill, Edinburgh, EH9 3HJ has a requirement for the provision of security services. 

The service provider's employee/s will be expected to perform a range of security duties with the aim of protecting the Science and Technology Facilities Council staff, assets and visitors by providing guarding services.  These services are to be provided 365 days per year. 

Please ensure you review all attached information to ensure a full understanding of this requirement. All attachments can be found with the Document Uploads tab within the Delta eSourcing Portal. 

This contract will be awarded based on the evaluation criteria set out in the ITQ document. 

How to Apply

UK Shared Business Services Ltd (UK SBS) will be using the Delta eSourcing Portal for this procurement. 

To register on the Delta eSourcing portal please use the link https://uksbs.delta-esourcing.com and follow the instructions to register.

If you are already registered on the Delta eSourcing Portal and wish to participate in this procurement, please use the link: https://uksbs.delta-esourcing.com and the follow the instructions to 'Login' 

Once you are logged into the system you will be able to link yourself into this procurement using the Access Code: 46XM5JF2YS

Please disregard any content in this notice that requests your organisation ""to apply directly to the buyer"" as this unfortunately a system generated error, that is outside of the Contracting Authorities control.",,"EH9 3HJ",,"79710000 ",,FMProcurement@uksbs.co.uk,"Polaris House",,SWINDON,"SN2 1FF",England,"01793 867005",www.uksbs.co.uk,"FM20132 ATC Security Manned Guarding - Invitation to Quote (ITQ).pdf FM20132 ATC Security Manned Guarding - Invitation to Quote questions (ITQQ).pdf AW4.1 UKRI Precedent Supplies Services Contract (Low Value) FM20132.pdf iSupplier Fact Sheet.pdf FM20132 AW5.2 Price Schedule.xlsx Appendix A.jpg ","https://uksbs.delta-esourcing.com ","DO NOT APPLY DIRECTLY TO BUYER

All submissions will be assessed in accordance with the Public Contracts Regulations 2015, for procurement values that exceed Regulation 5 (Threshold amounts)

Responses must be received by the date in the tender documentation; responses received outside of the deadline or not sent via the Delta eSourcing portal will not be accepted or considered further for this opportunity.

As a user of the Delta eSourcing Portal you will have access to the Delta messaging service which facilitates all messages sent to you and from you in relation to any specific tender event. Please note it is your responsibility to access these messages on a regular basis to ensure you have sight of all relevant information applicable to this opportunity.

The contracting authority expressly reserves the right:

i.	not to award any contract as a result of the procurement process commenced by publication of this notice;and

ii.	to make whatever changes it may see fit to the content and structure of the procurement; and in no circumstances will the contracting authority be liable for any costs incurred by any supplier. If the contracting authority decides to enter into a contract with the successful supplier, this does not mean that there is any guarantee of subsequent contracts being awarded. Any expenditure, work or effort undertaken prior to contract award is accordingly a matter solely for the commercial judgement of bidders.


About UK Shared Business Services 

UK Shared Business Services Ltd (UK SBS) brings a commercial attitude to the public sector; helping our contracting authorities to improve efficiency, generate savings and modernise.

Where UK SBS is not named as the Contracting Authority within the documentation, UK SBS will be acting as an agent on behalf of the Contracting Authority.

Our broad range of expert services is shared by our customers. This allows our customers the freedom to focus resources on core activities; innovating and transforming their own organisations.

For full details of our partner base please review the following link:
http://www.uksbs.co.uk/services/procure/contracts/Pages/default.aspx",27/08/2020,26/08/2024,04/08/2020,NO,,Yes,No,No,Services,80000,,16/09/2020,69367.82,"[PROFILE SECURITY SERVICES LIMITED|Stable Yard
Barrow-Upon-Humber
South Humberside
DN19 7DZ
GB|COMPANIES_HOUSE|02371997|No|No]","Alex Crighton",23/09/2020,22/09/2024,"OpenNonOJEU ",,11:00
MRTN001-DN419508-16421132,Contract,"London Borough of Merton",Awarded,2019-12-16T16:03:55Z,"Merton Security and Buildings Support Services","Provision of Security and Support Services through static and mobile security, building key holding response services to all of Merton's libraries plus a number of corporate buildings including Merton Civic Centre.

The provision of 24/7 Urgent response for securing vacant properties using suitable fixed metal shutters, which may also include guarding services.

The aim of the service to maintain a secure and safe and supportive environment for all building users.",,,London,"79710000 ",,commercial.services@merton.gov.uk,"Civic Centre","London Rd",Morden,"SM4 5DX","United Kingdom",,http://www.merton.gov.uk/,,,,03/03/2020,01/03/2023,30/07/2019,NO,,Yes,Yes,No,Services,0,,16/12/2019,1492769,"[Profile Security Services Limited|DN19 7DZ|NONE||Yes|Yes]","Mr Nick Jones",01/04/2020,31/03/2023,"Open ",
"FM18069 / 01",Contract,"UK SHARED BUSINESS SERVICES LIMITED",Awarded,2018-08-21T11:32:50Z,"UKRI FM18069 Security Services","The final date and time for the submission of bids is Monday 18th of June 2018 at 11:00

DO NOT apply directly to the buyer.

All tender information MUST be submitted through the CCS eSourcing Portal.

Brief Description of Requirement:

The UK Astronomy Technology Centre, Blackford Hill, Edinburgh, EH9 3HJ has a requirement for the provision of security services. 

The service provider should note the scope of the Services below.  In general, the Service Provider's employee/s will be expected to perform a range of security duties with the aim of protecting the Science and Technology Facilities Council assets and visitors by providing guarding services.  Full duties of the Service Provider's employee/s is included in the attached tender documentation.

Please ensure you review all attached information to ensure a full understanding of this requirement. All attachments can be found with the RFx attachments tab within the Emptoris System. 

This contract will be awarded based on the evaluation criteria set out in the ITQ. 

How to Apply:

As part of the strategic alliance between UK Shared Business Services Ltd (UK SBS) and Crown Commercial Service (CCS), UK SBS will be using the CCS eSourcing Suite for this procurement.

To register on the CCS eSourcing portal please follow the details contained within the Additional Information section of this notice.

If you are already registered on the CCS eSourcing portal and wish to register your interest in this opportunity please email; expressionofinterest@crowncommercial.gov.uk 

Your email must clearly state: 
•	the name and reference for the procurement you wish to register for; 
•	the name of the registered Bidder; 
•	the name and contact details for the registered individual sending the email.

Please disregard any content in this notice that requests your organisation ""to apply directly to the buyer"" as this unfortunately a system generated error, that is outside of the Contracting Authorities control.",,"EH9 3HJ",,"50600000 75241000 79710000 ","Katie Stokes",FMProcurement@ukbs.co.uk,"Polaris House",,SWINDON,SN21FF,England,"01793 867866",,"Appendix A.png FM18066 Bidder - Logging into Emptoris for the first time.pdf FM18066 Bidder Training.pdf UKRI FM18069 Security Services Invitation to Quote.pdf UKRI FM18069 Security Services Invitation to Quote questions.pdf FM18069 TSSC.pdf ",,"DO NOT APPLY DIRECTLY TO BUYER

All submissions will be assessed in accordance with the Public Contracts Regulations 2015, for procurement values that exceed Regulation 5 (Threshold amounts)

Responses must be received by the date in the tender documentation; responses received outside of the deadline or not sent via the eSourcing portal will not be accepted or considered further for this opportunity.

How to Register on the CCS eSourcing Suite

If you have not yet registered on the eSourcing Suite, this can be done online at https://gpsesourcing.cabinetoffice.gov.uk by following the link 'Register for CCS eSourcing'. 

Please note that, to register, you must have a valid DUNS number (as provided by Dun and Bradstreet) for the organisation which you are registering, who will be entering into a contract if invited to do so. 

Once you have registered on the eSourcing Suite, a registered user can express an interest for a specific procurement. This is done by emailing expressionofinterest@crowncommercial.gov.uk. 

Your email must clearly state: 
•	name and reference for the procurement you wish to register for; 
•	name of the registered Bidder; 
•	name and contact details for the registered individual sending the email. 

Crown Commercial Service will process the email and then enable the Bidder to access the procurement online via the e-Sourcing Suite. The registered user will receive a notification email to alert them once this has been done. The Sourcing documents can then be accessed on the eSourcing Suite at: https://gpsesourcing.cabinetoffice.gov.uk using the instructions detailed in the Specification documents within Contracts Finder. 

As a user of the e-Sourcing Suite you will have access to Emptoris email messaging service which facilitates all messages sent to you and from you in relation to any specific RFX event. 

Please note it is your responsibility to access these emails on a regular basis to ensure you have sight of all relevant information. 

For technical assistance on use of the e-Sourcing Suite please contact Crown Commercial Service Helpdesk: Telephone: 0345 010 3503 

Training documents to support Bidders to utilise Emptoris CCS eSourcing are available in the Contracts Finder Tender documents section.

About UK Shared Business Services 

UK Shared Business Services Ltd (UK SBS) brings a commercial attitude to the public sector; helping our contracting authorities to improve efficiency, generate savings and modernise.

Where UK SBS is not named as the Contracting Authority within the documentation, UK SBS will be acting as an agent on behalf of the Contracting Authority.

Our broad range of expert services is shared by our customers. This allows our customers the freedom to focus resources on core activities; innovating and transforming their own organisations.

For full details of our partne",09/07/2018,08/07/2020,11/06/2018,YES,FM18069,Yes,No,No,Services,0,90000,06/07/2018,34512.26,"[PROFILE SECURITY SERVICES LIMITED|Stable Yard
Barrow-Upon-Humber
South Humberside
DN19 7DZ
GB|COMPANIES_HOUSE|02371997|No|No]",,09/07/2018,08/07/2020,"OpenNonOJEU ",
CBCMGS2019,Contract,"CORBY BOROUGH COUNCIL",Awarded,2019-08-05T08:34:51Z,"Manned Guarding Security - Further Competition ESPO 347","Further competition is invited under the terms and conditions of ESPO framework agreement ref 347 for the provision of Security Services to / for Corby Borough Council. Please note that further competition is invited, and a subsequent award will be made, in accordance with the terms and conditions of ESPO's overarching framework agreement ref 347 - except as may be varied herein.

To provide a Manned Guarding service and an out of hours key holder response service at the Corby Cube Parklands Gateway George Street Corby NN17 1QD as detailed below/attached. The main aims of the contract are but not restricted to :-
Manned guarding in accordance with job description and person specification; Out of hours key holder response; To provide a safe and secure working environment for the employees, visitors and tenants of the Corby Cube; Prevent antisocial behaviour and crime at the Corby Cube; Act as a visual deterrent; Provide a high level of customer service; and Meet and greet and assist members of the public as appropriate.",,,"East Midlands","79710000 ",,procurement@corby.gov.uk,"George Street",,CORBY,NN171QG,England,,,,,"This procurement was managed and awarded through the Further Competition option of the Eastern Shires Purchasing Organisation (ESPO) Framework Agreement for Security Services (Ref No. 347).",16/09/2019,15/09/2022,26/06/2019,NO,,Yes,Yes,No,Services,371863.02,,05/08/2019,371863.02,"[PROFILE SECURITY SERVICES LIMITED|Stable Yard
Barrow-Upon-Humber
South Humberside
DN19 7DZ
GB|COMPANIES_HOUSE|02371997|No|No]","Alex Crighton",16/09/2019,15/09/2022,"CallOffFromFrameworkAgreement ",
LEICSCITY02-DN79906-53597651,Contract,"Leicester City Council",Awarded,2016-07-29T11:01:42Z,"PAN1132B - Security Services for Park & Ride Sites","Leicester City Council (the Authority) in conjunction Leicestershire County Council as a partner invited Tenders for the provision of security and customer services at a group of ‘Park and Ride’ car parks.

The proposed Contract will be for three years with an option to extend for up to a  further 24 months, making a potential five year engagement and it is anticipated to award to a single Supplier.

The Authority is looking for one supplier to provide a range of security and customer services at a group of ‘Park and Ride’ car parks, specifically located at:
•	Meynell’s Gorse Park & Ride, Ratby Lane, Leicester LE3 3LF
•	Enderby Park & Ride, Leicester Lane, Enderby LE19 2AB
•	Birstall Park & Ride, Loughborough Road, Birstall LE4 4NP

As part of this requirement, the Supplier will:
•	Monitor and operate CCTV systems.
•	Communicate and liaise with the public, bus service provider, Police, emergency services, contractors and other organisations.
•	Deal with all customer queries and forward to City or County Council (as appropriate) any queries or complaints for their attention. 
•	Carry out patrols of the premises during the hours of operation including unlocking and locking the premises.
•	Provide advice and assistance to the public with operational matters and deal with general enquiries.
•	Control all entry to site, including recording and managing all contractor access and work on site, and taking deliveries. 
•	Possess basic first aid and firefighting skills.
•	Carry out miscellaneous duties such as gritting during adverse weather.
•	Monitor a computer controlled ticket/ barrier system.
•	Monitor standard of cleanliness of the site.
•	Record & report on any faults/ damage to equipment & facilities on the site in need of repair.

A full specification can be found on the attached ITT.",,,"Any region","79700000 ","Hussain Dakri",hussain.dakri@leicester.gov.uk,"City Hall (4th Floor)","115 Charles Street",Leicester,"LE1 1FZ",UK,"+44 1164546557",http://www.leicester.gov.uk,,"https://procontract.due-north.com/Advert?advertId=3c0d97b0-3a06-e611-8112-000c29c9ba21 ",,01/08/2016,31/07/2021,19/05/2016,NO,,Yes,Yes,No,Services,900000,900000,26/06/2016,900000,"[Profile Security Services Limited|DN19 7DZ|||Yes|Yes]",,01/08/2016,31/08/2021,"Open ",
HCA001-DN487787-34261869,Contract,"Homes England (the name adopted by the Homes and Communities Agency)",Awarded,2020-09-30T08:10:44Z,"Homes England - Security Services Framework 2016 - 2020 - East - Panshanger Airfield Manned Guarding","Manned guarding security provision at the Panshanger Airfield site.",,,"South East","79710000 ",,enquiries@homesengland.gov.uk,"One Friargate",,Coventry,"CV1 2GN","United Kingdom",03001234500,https://www.gov.uk/government/organisations/homes-england,,"https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=2c937af5-71c7-ea11-8104-005056b64545&returnPage=ContractsRegisterSettings ",,01/10/2020,25/12/2020,29/07/2020,NO,,Yes,No,No,Services,221803,,30/09/2020,221803.81,"[Profile Security Services Limited|SW8 4TD|NONE||No|No]",,01/10/2020,25/12/2020,"NotApplicable ",,14:00
HCA001-DN435275-15422638,Contract,"Homes England (the name adopted by the Homes and Communities Agency)",Awarded,2020-07-14T15:42:53Z,"Homes England - Security Services Framework 2016 - 2020 - East - Ida Darwin Hospital Mobile Patrol","Security Services - Mobile Patrols for Homes England site Ida Darwin Hospital, Cambridge.",,,"East of England","79710000 ",,enquiries@homesengland.gov.uk,"One Friargate",,Coventry,"CV1 2GN","United Kingdom",03001234500,https://www.gov.uk/government/organisations/homes-england,,"https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=d6969499-38d5-e911-80fa-005056b64545&returnPage=ContractsRegisterSettings ",,02/10/2019,25/12/2020,23/09/2019,NO,,Yes,No,No,Services,45625.13,,01/10/2019,45625.13,"[Profile Security Services Limited|SW8 4TD|NONE||No|No]",,02/10/2019,25/12/2020,"NotApplicable ",
DN413216,Contract,"Basingstoke & Deane Borough Council",Awarded,2019-10-24T09:46:32Z,"MINI-COMPETITION for the PROVISION OF SECURITY SERVICES AT THE BASINGSTOKE LEISURE PARK (under the Y.P.O Building in use Support Services Dynamic Purchasing System, Lot 3.)","Suppliers were invited to tender for the provision of a 24 hour, 7 days per week security service at Basingstoke Leisure Park as per the specification.  This procurement was conducted through the YPO D.P.S as stated in the title. Project reference No. FC10122",,,"South East","79710000 ","Procurement Team",procurement@basingstoke.gov.uk,"Civic Offices",,BASINGSTOKE,RG214AH,England,"01256 844844",,,,,21/10/2019,21/10/2024,02/07/2019,NO,,No,No,No,Services,0,,15/08/2019,579473,"[PROFILE SECURITY SERVICES LIMITED|Stable Yard
Barrow-Upon-Humber
South Humberside
DN19 7DZ
GB|COMPANIES_HOUSE|02371997|No|No]",,21/10/2019,21/10/2024,"CallOffFromDynamicPurchasingSystem ",
HCA001-DN429551-04888599,Contract,"Homes England (the name adopted by the Homes and Communities Agency)",Awarded,2019-09-02T12:44:41Z,"Security Services Framework 2016 - 2020 - North - York Central CCTV Services","CCTV Security Services for York Central, York",,,"Yorkshire and the Humber","79710000 ",,enquiries@homesengland.gov.uk,"Arpley House","110 Birchwood Boulevard, Birchwood",Warrington,"WA3 7QH","United Kingdom",03001234500,https://www.gov.uk/government/organisations/homes-england,,"http://https://procontract.due-north.com/ContractsRegister/ViewContractDetails?contractId=a830230f-96be-e911-80f8-005056b64545&returnPage=ContractsRegisterSettings ",,30/08/2019,31/03/2020,23/08/2019,NO,,Yes,No,No,Services,15510,,29/08/2019,15510.04,"[Profile Security Services Limited|SW8 4TD|NONE||No|No]","Mr Paul Ripley",30/08/2019,31/03/2020,"NotApplicable ",
