"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
Modern.Gov,Contract,"UNIVERSITY OF WOLVERHAMPTON ENTERPRISE LIMITED",Awarded,2018-06-21T12:07:33Z,Modern.Gov,"A solution for managing meetings and coordinating all meeting documentation with a compliant workflow which meets the required governance standards. The solution needs to allow meeting management with an easy to use method of preparing and disseminating committee papers, with the ability for paperless meetings, and with a suitable workflow.",,,"West Midlands","48219300 72268000 79980000 ",,Melissa.Sands@wlv.ac.uk,"MX Building","Camp Street",WOLVERHAMPTON,"WV1 1AD",England,,,,,,01/07/2018,30/06/2019,12/06/2018,NO,,No,No,No,Products,0,,12/06/2018,0,"[Modern Mindset Ltd|The Election Centre,
33 Claredon Road,
London,
N8 0NW|NONE||No|No]",,01/07/2018,30/06/2019,"Other UoW Thresholds",
ADC/JS/DD/2015/0194,Contract,"Bassetlaw District Council",Awarded,2015-05-06T09:05:37Z,"Provision of a Democratic Services Committee Management System and Associated Operational Support","Quotations are invited for the provision of a Democratic Services Committee Management System and Associated Operational Support for Ashfield District Council.  The system would replace the existing content management system.  It needs to be capable of producing and retaining electronically agendas, reports, minutes and other documents required for the democratic process.",,"NG17 8DA","East Midlands","30000000 48000000 ","Jane Stevens",Jane.Stevens@bassetlaw.gov.uk,"Bassetlaw District Council, Queen's Buildings","Potter Street",Worksop,"S80 2AH",England,"01909 533209",,,,,12/06/2015,11/06/2020,15/05/2015,NO,,Yes,Yes,No,NotApplicable,41000,,04/08/2015,41955,"[Modern Mindset Ltd (modern.gov)|Old Halls Barn
The Brows
Farnham Road
Liss
Hampshire
GU33 6JG|||No|No]",,05/08/2015,04/08/2020,"Open ",
DAR001-DN390272-13065042,Contract,"Darlington Borough Council",Awarded,2019-01-30T11:04:41Z,"P2018/1597/NE Implementation of Committee Management System","Implementation of committee management system",,,"North East","72500000 ","Jackie Elliott",jackie.elliott@darlington.gov.uk,"Town Hall",Feethams,Darlington,"DL1 5QT","United Kingdom","+44 1325405496",http://www.darlington.gov.uk,,,,01/06/2018,31/05/2021,23/05/2018,NO,,No,No,No,Services,50000,50000,24/05/2018,50000,"[Modern Mindset Ltd|GU33 6JG|NONE||Yes|No]","Mr Steven Garratt",01/06/2018,31/05/2021,"Open ",
"C-010830 006318",Contract,"Newcastle City Council",Awarded,2018-12-14T12:43:41Z,"Supply, support and maintenance of Committee Management System","Requirement for supply, support and maintenance of committee management software. Contract is for 3 years with 1 option to extend for 2 years and an additional option to extend for 1 year. Software must be available to commence 1st May 2019.  To tender for this opportunity please register on the NEPO portal.",,,"North East","48000000 ","Janine Lancaster",janine.lancaster@newcastle.gov.uk,"Civic Centre",,"NEWCASTLE UPON TYNE",NE18QH,England,,,,"https://procontract.due-north.com/Register ",,01/05/2019,30/04/2022,20/11/2018,YES,"C-010830 006318",Yes,Yes,No,Services,25000,,14/12/2018,65400,"[MODERN MINDSET LTD|Farnham Road
LISS
Hampshire
GU33 6JG
GB|COMPANIES_HOUSE|02208130|No|No]","Dan Sillence",01/05/2019,30/04/2022,"SingleTenderActionNonOJEU ",
RICHDC001-DN363676-64900213,Contract,"Richmondshire District Council",Awarded,2018-11-27T11:03:45Z,"Committee Document Management System for Richmondshire District Council","Committee Document Management System for Richmondshire District Council",,,"Yorkshire and the Humber","48000000 72000000 ","Charlotte Stolarski",charlotte.stolarski@richmondshire.gov.uk,"Mercury House","Station Road",Richmond,"DL10 4JX",England,"+44 1748901093",https://www.richmondshire.gov.uk/,,"https://procontract.due-north.com/Advert?advertId=159dee18-70b2-e811-80ed-005056b64545 ",,26/11/2018,25/11/2023,26/10/2018,NO,,Yes,No,No,Services,50000,50000,16/11/2018,50000,"[Modern Mindset Ltd|GU33 6JG|NONE||Yes|No]","Mr Sales Team",26/11/2018,25/11/2023,"Open ",
NTHDVN001-DN371066-14420018,Contract,"North Devon District Council",Awarded,2018-10-15T10:58:58Z,"Committee Management System","Contract for the provision of a committee management system.
Called off via a direct award from Crown Commercial framework G-Cloud 10 reference RM1557.10",,,"South West","48810000 ",,supplyingndc@northdevon.gov.uk,"Lynton House",,"Commercial Road","EX31 1DG",England,,http://www.northdevon.gov.uk/,,,,07/01/2019,06/01/2023,30/09/2018,NO,,Yes,No,No,Products,44530,44530,09/10/2018,44530,"[Modern Mindset Ltd|GU33 6JG|NONE||Yes|No]","Mr Sales Team",07/01/2019,06/01/2023,"Open ",
MANC001-DN316651-12736073,Contract,"Manchester City Council",Awarded,2018-05-23T15:18:43Z,"TC948 - Meeting Management Solution","The contract is for the provision of a Software as a Service (SaaS) solution to be used as a meeting management system for the day to day management of public and high level internal meetings. 

Its introduction will address the existing technology gap to cover the following areas, providing support for the full end-to-end process:

•	Document collaboration
•	Version control
•	Tracking of clearances
•	Meeting attendance
•	Documents formatting
•	Documents distribution",,,"North West","48000000 ","Michael Shields",m.shields@manchester.gov.uk,"Level 3","Town Hall Extension",Manchester,"M60 2LA",England,"+44 1612341009",http://www.manchester.gov.uk,,,,01/06/2018,31/05/2021,26/01/2018,NO,,Yes,Yes,No,Services,36520,,22/05/2018,36520,"[Modern Mindset Ltd|The Election Centre, 33 Clarendon Road, London. N8 0NW|NONE||Yes|No]",,01/06/2018,31/05/2021,"Other ",
DSM001,Contract,"CHARNWOOD BOROUGH COUNCIL",Awarded,2018-04-09T11:21:31Z,"Committee Management & Democratic Services Solution","Charnwood Council is looking for a supplier to provide a fully integrated Committee Management & Democratic Services system which will assist the Democratic Services team to efficiently manage the democratic decision making process. The overall solution should make the democratic process more efficient for the team and enhance the experience of both Councillors and members of the public. The last date for requesting tender documents is 19th February 2018, with documents to be returned by 12 noon on the 26th February 2018.",,,"East Midlands","48219300 ","Karen Widdowson",democracy@charnwood.gov.uk,"Southfield Road",,LOUGHBOROUGH,"LE11 2TN",England,"01509 634785",,,,,15/03/2018,15/03/2023,26/02/2018,YES,DSM001,Yes,Yes,No,Services,60000,65000,29/03/2018,43040,"[Modern Mindset Ltd|Old Halls Barn, The Brows, Farnham Road, Liss, Hampshire, GU33 6JG|NONE||No|No]",,13/04/2018,13/04/2023,"OpenNonOJEU ",
DSQ124-17,Contract,"DEVON & SOMERSET FIRE & RESCUE SERVICE",Awarded,2017-12-11T15:52:22Z,"Committee Meeting Management","The Authority has awarded a contract for Committee Meeting Management software.",,,"South West","48920000 ",,procurement@dsfire.gov.uk,"Service Headquarters","The Knowle, Clyst St George",Exeter,"EX3 0NW",England,"01392 872200",www.dsfire.gov.uk,,,,02/12/2017,01/12/2019,01/11/2017,NO,,Yes,No,No,Services,40000,,10/11/2017,40000,"[MODERN MINDSET LTD|Farnham Road
LISS
Hampshire
GU33 6JG
GB|COMPANIES_HOUSE|02208130|No|No]","Dan Sillence",02/12/2017,01/12/2019,"CallOffFromFrameworkAgreement ",
"Committee Management System",Contract,"West Dorset District Council",Awarded,2015-12-15T13:10:18Z,"Committee Management System","West Dorset District Council procured on behalf of itself, Weymouth and Portland Borough Council and North Dorset District Council a Committee Management System that can be used by the three Sovereign Authorities.  The contract was awarded for 4 years.",,,"South West","48610000 ","Ruth Hunter",rhunter@dorset.gov.uk,"South Walks House","South Walks Road",Dorchester,"DT1 1UZ",England,,,,,,04/01/2016,03/01/2020,15/12/2015,NO,,No,No,No,Services,67060,,15/12/2015,67060,"[Modern Mindset Ltd|Old Halls Barn,
The Brows,
Farnham Road,
Liss,
Hampshire,
GU33 6JG|||No|No]",,04/01/2016,03/01/2020,"NotApplicable ",
