"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
CP1044-15,Contract,"Devon County Council",Awarded,2016-12-22T11:35:57Z,"CP1044-15 Contracts for the provision of Devon County Council's, Somerset County Council's and Plymouth City Council's Highways Maintenance Services.","Devon County Council (DCC), Somerset County Council (SCC) and Plymouth City Council (PCC) undertook a joint procurement exercise for the provision of each Authority's new Highway Term Maintenance Contract (TMC). The procurement includes three specific lots: Lot 1 will cover the administrative area of DCC, lot 2 will cover the administrative area of SCC, lot 3 will cover the administrative area of PCC. Specifications across these lots have been standardised where possible, however lots contain requirements which are Authority specific.
 The Authorities will work collaboratively with the provider(s) and each other to realise additional benefits and facilitate the successful delivery of the contracts.
 The contract term for each authority will be seven years from 1.4.2017, with opportunities to extend for further periods of up to 3 further years. Additionally there will be a contractual mobilisation period for the contracts, to begin from October 2016, leading up to service delivery commencement for each Lot, at 1.4.2017.
 Type of procedure: Competitive procedure with negotiation.
 The contracting authority reserved the right to award the contract on the basis of the initial tenders without conducting negotiations.
Devon County Council have awarded to Skanska Construction UK Ltd.
Plymouth City Council have awarded to South West Highways Ltd.",,,"South West","45230000 ","Alan Palmer",alan.palmer@devon.gov.uk,"County Hall, Lucombe House, Topsham Road",,Exeter,"EX2 4QD",England,"+44 1392383000",http://www.devon.gov.uk/,,,,01/04/2017,31/03/2027,12/08/2016,NO,,No,No,No,Works,825000000,,14/09/2016,825000000,"[Skanska Construction UK Ltd|Maple Cross House, Denham Way, Maple Cross, Rickmansworth, WD3 9SW|||No|No][South West Highways Ltd|C/O Colas Limited, Wallage Lane, Rowfant, Crawley, RH10 4NF|||No|No]",,01/04/2017,31/03/2027,"Negotiated ",
CP1044-15b,Contract,"Devon County Council",Awarded,2017-03-22T10:20:01Z,"CP1044-15 Contracts for the provision of Devon County Council's, Somerset County Council's and Plymouth City Council's Highways Maintenance Services - Award of Somerset County Council Contract.","Devon County Council (DCC), Somerset County Council (SCC) and Plymouth City Council (PCC) undertook a joint procurement exercise for the provision of each Authority's new Highway Term Maintenance Contract (TMC).  Lot 1 will cover the administrative area of DCC, lot 2 will cover the administrative area of SCC, lot 3 will cover the administrative area of PCC. 
 The Authorities will work collaboratively with the provider(s) and each other to realise additional benefits and facilitate the successful delivery of the contracts.
 The contract term for each authority will be seven years from 1.4.2017, with opportunities to extend for further periods of up to 3 further years. 
 Type of procedure: Competitive procedure with negotiation.
 The contracting authority reserved the right to award the contract on the basis of the initial tenders without conducting negotiations.
Somerset County Council have awarded to Skanska Construction UK Ltd.",,,"South West","45230000 ","Alan Palmer",alan.palmer@devon.gov.uk,"County Hall, Lucombe House, Topsham Road",,Exeter,"EX2 4QD",England,,,,,,01/04/2017,31/03/2027,12/08/2016,NO,,No,No,No,Works,394000000,,18/01/2017,394000000,"[Skanska Construction UK Ltd|Maple Cross House, Denham Way, Maple Cross, Rickmansworth, WD3 9SW|||No|No]",,01/04/2017,31/03/2027,"Negotiated ",
DVNCC001-DN292756-66978939,Contract,"Devon County Council",Awarded,2018-09-06T10:18:41Z,"CP1493-17 Devon County Council - ZEBCat Project Great Moor House","Devon County Council is looking to invest into the improvement of energy efficiency of one of its key office building - Great Moor House (Exeter). The targeted energy efficiency will involve a 60% reduction of the primary energy consumption of Great Moor House. Please note the ITT provides additional information in relation to the technical requirements.
In brief, the solution must have a modelled performance (based on manufacturer information) which can over a year reduce the buildings grid supplied gas and electricity supply from a baseline of 1,578,047 kWh (averagebased on 2013-2016 annual consumption) to 631,219 kWh - a 60% reduction.
DCC have a capital budget of £380,000 to invest in the project. It is considered that it will be necessary to contribute additional investment to achieve the required 60% reduction of the primary energy consumption. DCC proposes that a Power Purchase Agreement (PPA) will be established from which the solution provider can secure an income to recover the costs of additional investment also securing an ongoing income stream.
The solution provider will be required to sign a performance guarantee to underpin the financial performance ofthe overall solution.
The estimated project value is made up of £380,000 capital investment from DCC (including EU funding) and an estimate of a total of £1,408,000 (based on 800 kWp of PV producing 640,000 kWh per year and a PPA rateof11p/kWh for 20yrs).",,,"South West","45000000 ","Daniela Pleiss",daniela.pleiss@devon.gov.uk,"County Hall","Topsham Road",Exeter,"EX2 4QD","United Kingdom","+44 1392383000",http://www.devon.gov.uk,,"https://procontract.due-north.com/Advert?advertId=073e21e8-0e7d-e711-80e3-005056b64545 ",,01/06/2018,30/06/2019,03/04/2018,NO,,No,No,No,Works,1800000,,31/08/2018,0,"[Non-award|Not applicable|NONE||No|No]",,01/09/2018,02/09/2018,"NotApplicable ",
DVNCC001-DN238421-86395265,Contract,"Devon County Council",Awarded,2017-03-17T13:32:51Z,"CP1423-17 Mock Inspection of Devon County Council's Children's Services","Devon County Council (DCC) is looking for a team of experienced consultants to conduct a mock inspection of our children's services. 

We are envisaging that the mock inspection would be conducted over a period of 7-9 days with 1-2 days set aside for preparation (pre-reading and agreeing methodology and timetable), up to 5 days on-site and 1-2 days to write up an outcome report.

We expect the mock inspection to take place in spring 2017.

We would expect the mock inspection to be conducted by a team of 2-3 highly experienced inspectors. Ideally some or all of the inspectors would have experience from having worked as an Ofsted Inspector.",,,"South West","85300000 ","Lee Webber",lee.webber@devon.gov.uk,"County Hall, The Annexe","Topsham Road",Exeter,"EX2 4QD","United Kingdom","+44 1392383000",http://www.devon.gov.uk,,,"
Date awarded: 09/03/2017   Awarded to: CURA Independent Management Consultancy Limited, 10 Dalby Road, Hindley Green, Wigan, WN2 4RJ - Contact email: gary.lamb@ymail.com Contact: Gary Lamb",21/03/2017,15/06/2017,06/03/2017,NO,,Yes,Yes,No,Services,19975,26000,10/03/2017,26000,"[CURA Independent Management Consultancy Limited|WN2 4RJ|||Yes|Yes]","Mr Gary Lamb",21/03/2017,15/06/2017,"Open ",
DVNCC001-DN332263-41133018,Contract,"Devon County Council",Awarded,2018-08-20T14:15:13Z,"CP1574-18 Devon County Council Fire Door Inspection and Repair Service Term Contract","This contract is to undertake the inspection and repair of fire door installations in approximately 57 corporate properties (information is correct as at 1st February 2018) within the Devon County Council (DCC) estate.  
Other premises that may be included are as follows:    

•	Schools who subscribe to the Devon Maintenance Partnership 
•	Schools who subscribe to the VA Promise Mk 6 Maintenance Agreement 
•	Academies who subscribe to the Devon Academies Maintenance Agreement operated by NPS SW Ltd
•	Libraries within Devon managed by Libraries Unlimited
•	Youth Centres within Devon managed by DY Space

Please note that these premises are not committed to use this contract but will be likely to make use of this arrangement if favourable terms are being offered.

The Council will appoint one contractor to deliver the STC throughout Devon.

The main works to be provided under this contract are as follows:

•	Inspection of fire door installations
•	Provision of a callout service for attending to doors requiring repair between inspections
•	Completion of repairs to fire door installations (when commissioned)

A key aim of this contract is to ensure that the contractor who is engaged has a sound technical competence and Health & Safety credentials. Thus when the contractor is engaged to perform works DCC can have confidence that properly trained operatives of the correct competence will be deployed.  As part of this arrangement all contractors must comply in all regards with the Construction (Design & Management) Regulations 2015.",,,"South West","44221220 ","Daniela Pleiss",daniela.pleiss@devon.gov.uk,"County Hall","Topsham Road",Exeter,"EX2 4QD",England,"+44 1392383000",http://www.devon.gov.uk,,,,12/06/2018,31/03/2024,10/05/2018,NO,,Yes,No,No,Services,400000,1500000,31/07/2018,323400,"[Novus Property Solutions Limited|ST1 5SH|NONE||No|No]","Miss Laura Fairbairn",01/08/2018,31/03/2024,"Open ",
DVNCC001-DN334086-31739402,Contract,"Devon County Council",Awarded,2018-11-20T12:40:04Z,"CP1485-17a Devon County Council - ZEBCat Devon Domestic Housing","Three social landlords are planning to invest in the demonstration of the Energiesprong approach to net zero energy retrofit their housing properties. The intention is to retrofit 15 of Exeter City Council (6 homes in Exeter) North Devon Homes (2 homes in North Devon) and Sanctuary Housing (7 homes in Torbay), requiring a single contractor to design, build and guarantee energy and maintenance performance.
This is part of the Zero Energy Buildings Catalyst project, led by Devon County Council, with the three social landlords, Regen and Energiesprong UK as partners and part funded by the European Regional Development Fund.
Energiesprong is the successful Dutch approach to self-financing net zero energy retrofit of homes. Key components of the approach include:
- average annual energy generation is equivalent to consumption per property, or as close as achievable,
- construction time on site is limited, requiring offsite solutions,
- the contractor is required to provide long term guarantee of energy, comfort and maintenance performance,
- residents pay a fixed regular service charge in return for guaranteed comfort - temperature, hot water, power and air quality,
- capital cost is financed by the landlord against guaranteed maintenance savings and service charge income,
- as the market grows to scale, increasing volume and industrialisation of offsite construction enable self-financing retrofit.
Thousands of home retrofits are now being delivered in the Netherlands, without public subsidy. It is the aim of the project partners to prove the concept with this demonstration and, if successful, to bring more properties to market subject to availability of funding.
The total fixed budget for the contract is 1 223 893 GBP including VAT where applicable.
Please note the tender document provides additional information in relation to the requirements",,,"South West","45000000 ","Daniela Pleiss",daniela.pleiss@devon.gov.uk,"County Hall","Topsham Road",Exeter,"EX2 4QD",England,"+44 1392383000",http://www.devon.gov.uk,,,,21/11/2018,24/12/2019,16/05/2018,NO,,Yes,No,No,Works,1233893,1233893,19/10/2018,1233893,"[Mi-space (UK) Limited|BS3 2LF|NONE||No|No]","Miss Saffron Tisserand",21/11/2018,10/12/2019,"Negotiated ",
DVNCC001-DN341959-04563788,Contract,"Devon County Council",Awarded,2018-12-12T10:10:41Z,"Contract for the haulage and disposal of leachate effluent from Devon County Council's closed landfill sites","The Service required under this contract entails the collection & disposal of leachate effluent from Devon County Council's closed landfillsites.The primary requirement of the Service is for the Service provider to safely collect leachate effluent from the closed landfill sites and transport the same to their authorised waste disposal points for disposal. The Service is offered for tendering under 6 separate Lots as detailed in section 3 of the Specification. Tenderers can price for any or all of the Service Lots offered for tendering.
Leachate effluent at the closed landfill sites may be contained within a leachate holding lagoon, in a storagetank.
The Service also entails the collection & disposal of effluent from settling lagoons at one site. This involvesthe removal of leachate from the lagoons, removal of debris and sediments and their subsequent disposal at authorised disposal facilities.                        The Service will be required for an initial service term starting from 1st February 2019 and ending on 31st March2022. Subject to mutual agreement, the provision of the Service can be extended by a period or periods totalling a maximum of further 24 months beyond the initial service term.",,,"South West","90500000 ","Saeed Mirehsan",saeed.mirehsan@devon.gov.uk,"County Hall, Matford Lane Offices","Topsham Road",Exeter,"EX2 4QD",England,"+44 1392383000",http://www.devon.gov.uk,,,"All tender documents relating to this contract can be accessed free of charge from Devon County Council's e-tendering portal at www.supplyingthesouthwest.org.uk
",01/02/2019,31/03/2022,21/09/2018,NO,,Yes,Yes,No,Services,200000,250000,12/12/2018,300000,"[Cleansing Service Group Limited|Chartwell House, 5 Barnes Wallis Road, Segensworth East, Fareham
Hampshire, PO15 5TT|NONE||No|Yes]","Mr Richard Brown",01/02/2019,31/03/2021,"Open ",
1396234604,Contract,"Devon County Council",Awarded,2015-07-20T14:22:06Z,"CP960-13A Devon County Councils Contribution into Homelessness Prevention for 16/17 year olds","DCC intend to commission an additional 182 support hours per week, as part of the 'Homelessness Prevention for 16/17 year olds' contract in the Eastern Community Hub Region.     The Homeless Prevention 16/17 service specification and Performance Framework are the same as previous and are attached with this Tender document for your information.",,"EX2 4QD","South West","85000000 98000000 ","Lee Webber",lee.webber@devon.gov.uk,"County Hall, The Annexe","Topsham Road",Exeter,"EX2 4QD",UK,"01392 383000",https://www.supplyingthesouthwest.org.uk/procontract/supplier.nsf,,"https://www.supplyingthesouthwest.org.uk/procontract/supplier.nsf/frm_opportunity?OpenForm&contract_id=CONTRACT-9WAL-55TBL8 ",,01/07/2015,31/03/2016,12/06/2015,NO,,No,No,No,Services,0,,03/07/2015,208373.25,"[Young Devon|County Hall, The Annexe, Topsham Road, Exeter, Devon, EX2 4QD|||No|No]",,01/07/2015,31/03/2016,"NotSpecified ",
DVNCC001-DN462924-97131339,Contract,"Devon County Council",Awarded,2020-07-15T00:00:00Z,"CP 1875-20 Contract for the operation of Devon County Council's waste transfer facility in Exeter","The Authority owns a waste transfer facility in Exeter (the Facility) which offers an approximate working floor area of 840 m2, surrounded on 3 sides by 5-metre-high, reinforced concrete push walls. The Authority will lease the Facility to the incoming service provider on a peppercorn rent basis, from which point the service provider will undertake the Authority's service requirements explained in the specification.

The primary service requirement of the Authority is for the waste transfer facility to receive waste diverted away from its energy recovery facility which is located adjacent to the waste transfer facility during its planned or unplanned downtimes which is anticipated to be around 40 days a year. However, the energy recovery facility's downtimes can be less or significantly longer than 40 days in the future. Tonnage data has been provided as part of the tender pack to give tenderers an indication of the facility's downtimes in the past 3 years.
However, there are a number of function in addition to the above requirement that the waste transfer facility's operator will be expected to undertake which are detailed in the specification.
The contract for this service provision will be for an initial period of 5 years with an estimated annual value of 140 000 GBP with provision to extend the contract for a further 4 years, subject to the parties' mutual agreement.
",,,England,"90530000 ","Saeed Mirehsan",saeed.mirehsan@devon.gov.uk,"County Hall, Matford Lane Offices","Topsham Road",Exeter,"EX2 4QD",England,"+44 1392383000",http://www.devon.gov.uk,,,,01/03/2021,31/03/2026,18/09/2020,NO,,Yes,Yes,No,Services,700000,700000,14/10/2020,237000,"[Viridor Waste Management|TA1 1AP|NONE||No|No]","Mr Bid Team",01/03/2021,31/03/2026,"Open ",,00:00
SCW/NHSSCWCSU/00000113/2015,Contract,"NHS SOUTH, CENTRAL AND WEST COMMISSIONING SUPPORT UNIT",Awarded,2015-12-10T12:06:05Z,"NEW Devon CCG and Devon County Council - Outcomes based commissioning advisory support","NEW Devon CCG and Devon County Council have been working with a range of partners in the region to explore the development of outcomes-based contracts financed using Social Impact Bonds (SIBs). 

Following a successful application to the Commissioning Better Outcomes fund for development funding, NEW Devon CCG and Devon County Council are inviting proposals from organisations with the relevant experience and expertise to provide commissioner advisory support during the SIB development process.

To receive more information about this tender, you must register your interest on the following site:  

https://in-tendhost.co.uk/scwcsu

The opportunity is listed as: 

NEW Devon CCG and Devon County Council - Outcomes based commissioning advisory support",,,"South West","79412000 66171000 ","Robert Amil",clinical.procurement@swcsu.nhs.uk,"County Hall","Topsham Road",Exeter,"EX2 4QL",England,,,,,,17/01/2016,31/05/2016,24/12/2015,NO,,Yes,Yes,No,Services,100000,,01/03/2016,50000,"[Office for public management|252B Gray’s Inn Road,
London,
WC1X 8XG.|||No|No]",,01/03/2016,31/07/2016,"Other ",
