"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
CHORL001-DN317840-31672902,Contract,"Chorley Council",Awarded,2018-03-23T08:55:02Z,"INVITATION TO TENDER FOR LANDSCAPING WORKS AT CORONATION RECREATION GROUND AND HARPERS LANE RECREATION GROUND CHORLEY","Chorley Borough Council is inviting tenders for Landscaping Works at Coronation Recreation Ground, Devonshire Road, Chorley, PR7 2SR and Harpers Lane Recreation Ground, Erskine Road, Chorley, PR6 0HS.

Work at Coronation Recreation Ground to include:

•	the creation of new smooth surfaced footpath to replace the crazy paving
•	refurbishment of boundary railings and gates
•	rebuilding of retaining walls to the bowling green and double tennis court. 
•	single tennis court refurbishment comprising new surfacing, fencing and drainage. 
Work at Harpers Lane Recreation Ground to include:

•	resurfacing of existing footpaths and creation of new footpaths to improve circulation around the site
•	refurbishment of the boundary railings and gates
•	installation of new railings and gate to the bowling green 
•	installation of soakaway and artificial grass to the ball court and painting the existing fencing and goal ends

All Works are detailed more fully in the Specification and ITT (Invitation to Tender) documentation.  It is anticipated that the works will commence in April 2018 and will be complete by June 2018.
Interested bidders should register their interest via the Chest www.the-chest.org.uk in order to access the full specification and invitation to tender documentation. The deadline for expressions of interest is 5pm on Friday 9th February 2018. Completed tender documents must be submitted and received via the Chest by no later than Noon on Friday 16th February 2018.",,,"North West","45112700 ",,procurement@chorley.gov.uk,"Town Hall","Market Street",Chorley,"PR7 1DP",England,"+44 1257515638",http://www.chorley.gov.uk/,,"https://procontract.due-north.com/Advert?advertId=e9eff2f0-03fa-e711-80ea-005056b64545 ",,03/04/2018,04/06/2018,16/02/2018,NO,,Yes,Yes,No,Works,0,,23/03/2018,162733.04,"[LANDSCAPE ENGINEERING LTD|BB12 8ED|NONE||Yes|No]","MR GARY BIRTWELL",03/04/2018,04/06/2018,"Other ",
SLAKE001-DN348186-07236619,Contract,"South Lakeland District Council",Awarded,2018-10-10T09:06:47Z,"Access Enhancements at Millerground, Windermere, Cumbria","South Lakeland District Council is inviting tenders for the installation of new footpaths, land drainage and landscape works at Millerground, Windermere. All expressions of interest, clarifications and submission must be made via the Chest (www.the-chest.org.uk). Submission deadline is 7pm on 15 August 2018",,,"North West","45000000 ","Pam Moffatt",p.moffatt@southlakeland.gov.uk,"South lakeland House","Lowther Street",Kendal,"LA9 4DQ",England,"+44 1539793146",http://www.southlakeland.gov.uk/,,,,01/10/2018,31/12/2018,15/08/2018,NO,,Yes,No,No,Works,70000,70000,30/09/2018,61188.13,"[LANDSCAPE ENGINEERING LTD|BB12 8ED|NONE||Yes|No]","MR GARY BIRTWELL",01/10/2018,31/12/2018,"Open ",
"006 JH/GN/AWARD",Contract,"LEEDS FEDERATED HOUSING ASSOCIATION LIMITED",Awarded,2017-10-30T09:16:08Z,"Curtilage & Environmental Improvement Works - LEEDS","The Association is looking for a suitably experienced Contractor to carry out external improvement works to their existing residential scheme of 24 semi-detached and terraced properties, including fencing, railings, soft landscaping, creation of offroad parking & bin stores, retaining walls and boundary walls.",,"LS6 2NF",,"44221300 45112700 45213312 45233222 45340000 45421148 45432112 ","Joanne Harrison",joanne.harrison@lfha.co.uk,"Arthington House","30 Westfield Road",Leeds,"LS3 1DE",England,,,"Ganton Close ITT issue.pdf 01 Location Plan.pdf 02 Existing Conditions 23may17.pdf 03 Site Clearance 01feb17.pdf 04 Landscape Proposals 17may17.pdf 05 Construction Details 09mar17.pdf 06 Fencing Details 09mar17.pdf 07 Elevation no 2 Ganton Close.pdf Appendix 1 Ganton Close Services Northern Powergrid.jpg Appendix 2 Ganton Close Services Northern Gas.pdf Appendix 3 Ganton Close Services BT.jpg Appendix 4 Ganton Close Services Water.pdf Appendix 5 - Parking Marker Block Paving Visual.jpg Designers Risk Assessment (Construction).pdf Designers Risk Assessment.pdf Ganton Close - Preliminaries.pdf Ganton Close - Specification.pdf Schedule of Works  25may17.xlsx Clarifications - Ganton Close.xlsx ",,,21/08/2017,13/11/2017,10/07/2017,YES,"006 JH/GN/ITT",Yes,Yes,No,Works,150000,,22/09/2017,0,"[Landscape Engineering Ltd|Park Road
Padiham
Burnley
Lancs
BB12 8ED|||No|No]",,04/10/2017,04/10/2018,"CompetitiveQuotationNonOJEU ",
SRIBL001-DN479673-15722979,Contract,"South Ribble Borough Council",Awarded,2020-09-23T09:21:11Z,"INVITATION TO QUOTE FOR RESURFACING OF PATHS AND ASSOCIATED WORKS, WORDEN PARK PLAYGROUND, LEYLAND","South Ribble Borough Council has awarded a contract for the resurfacing of paths and associated works at Worden Park Playground, Worden Lane, Leyland PR25 3DH.",,,"North West","45000000 ",,procurement@chorley.gov.uk,"Civic Centre","West Paddock",Leyland,"PR25 1DH",England,,http://www.southribble.gov.uk/,,,,05/10/2020,30/10/2020,15/06/2020,NO,,Yes,Yes,No,Works,0,,22/09/2020,23321.55,"[Landscape Engineering Ltd|PARK ROAD, PADIHAM, BURNLEY, LANCASHIRE, BB12 8ED|NONE||Yes|No]",,05/10/2020,30/10/2020,"Other ",,12:00
SRIBL001-DN482229-86358044,Contract,"South Ribble Borough Council",Awarded,2020-07-21T14:44:18Z,"INVITATION TO QUOTE FOR THE CONSTRUCTION OF A NEW FOOTPATH & POND OVERFLOW, TARN WOOD PENWORTHAM","South Ribble Borough Council has awarded a contract for the construction of a new footpath link and pond overflow headwall and chamber at Tarn Wood, Howick Moor Lane to Central Drive, Penwortham, Preston, PR1 0NQ.",,,"North West","45200000 45240000 ",,procurement@chorley.gov.uk,"South Ribble Borough Council, Civic Centre","West paddock",Leyland,"PR25 1DH",England,,http://www.southribble.gov.uk/,,,,03/08/2020,11/09/2020,03/07/2020,NO,,Yes,Yes,No,Works,0,,08/07/2020,23792.32,"[Landscape Engineering Ltd|Park Road, Padiham, Burnley, BB12 8ED|NONE||Yes|No]",,03/08/2020,11/09/2020,"Other ",
SRIBL001-DN435171-43374810,Contract,"South Ribble Borough Council",Awarded,2019-10-18T10:36:16Z,"INVITATION TO QUOTE FOR REPLACEMENT OF LOG ROLL EDGING AND ASSOCIATED WORKS, WORDEN PARK AND FARINGTON PARK PLAYGROUNDS, LEYLAND","South Ribble Borough Council have awarded a contract for the replacement of log roll edging and associated works at Worden Park and Farrington Park, Leyland",,,"North West","37000000 ",,procurement@chorley.gov.uk,"Chorley Borough Council","Town Hall","Market Street, Chorley","PR7 1DP","United Kingdom","+44 1257515638",http://www.southribble.gov.uk/,,,,11/11/2019,30/03/2020,09/10/2019,NO,,Yes,Yes,No,Works,0,,18/10/2019,76311.6,"[Landscape Engineering Ltd|PARK ROAD, PADIHAM, BURNLEY, LANCASHIRE, BB12 8ED|NONE||Yes|No]",,11/11/2019,30/03/2020,"Other ",
SRIBL001-DN292783-94089872,Contract,"South Ribble Borough Council",Awarded,2017-11-29T14:46:20Z,"Contract Award - St Catherine's Park Natural Play area - Phase 2","Creation of a natural play area at St Catherine's Park, Lostock Hall",,,"North West","37535200 45112720 ",,procurement@chorley.gov.uk,"Town Hall",,Chorley,"PR7 1DP",England,,,,,,27/11/2017,12/01/2018,25/08/2017,NO,,Yes,Yes,No,Works,0,,27/11/2017,33317,"[Landscape Engineering Ltd|PARK ROAD, PADIHAM, BURNLEY, Lancashire, BB12 8ED|NONE||Yes|No]",,28/11/2017,12/01/2018,"CompetitiveQuotationNonOJEU ",
SRIBL001-DN215148-29390346,Contract,"Chorley Borough Council",Awarded,2016-12-01T10:43:25Z,"INVITATION TO QUOTE FOR THE CONSTRUCTION OF A CAR PARK AT HUTTON VILLAGE HALL, MOOR LANE, HUTTON","South Ribble Borough Council is inviting Quotations for the construction of a Car Park at Hutton Village Hall, Moor Lane, Hutton.

The closing date and time for receipt of completed submissions is Noon on Friday 4th November 2016.  Completed submissions must be submitted electronically through the Chest at www.the-chest.org.uk",,,"North West","45213312 ","Elaine Evans",elaine.evans@chorley.gov.uk,"Civic Centre","West Paddock",Leyland,"PR25 1DH",England,,,,,,28/11/2016,09/01/2017,04/11/2016,NO,,Yes,Yes,No,Works,0,,24/11/2016,29763,"[Landscape Engineering Ltd|Park Road, Padiham, Burnley, Lancashire, BB12 8ED|||No|No]",,28/11/2016,09/01/2017,"Other ",
CHORL001-DN215295-44604922,Contract,"Chorley Borough Council",Awarded,2016-12-01T09:53:22Z,"Quotation for Tennis Court Refurbishment at Astley Park, Chorley, PR7 1XA","Quotation for Tennis Court Refurbishment at Astley Park, Chorley

The closing date and time for receipt of completed quotations is 5pm on Friday 4th November 2016.  Completed submissions must be submitted electronically through the Chest at www.the-chest.org.uk",,,"North West","45112711 ","Elaine Evans",elaine.evans@chorley.gov.uk,"Town Hall","Market Street",Chorley,"PR7 1DP",England,,,,,,05/12/2016,28/02/2017,04/11/2016,NO,,Yes,Yes,No,Works,0,,23/11/2016,26950,"[Landscape Engineering Ltd|Park Road, Padiham, Burnley, Lancs BB12 8ED|||No|No]",,05/12/2016,28/02/2017,"Other ",
"RFQ 15150527/2 AWARDED",Contract,"Lancashire County Council",Awarded,2017-08-02T16:27:55Z,"Schools Routine Grounds Maintenance Framework 2017","Schools Routine Grounds Maintenance Framework 2017",,,"North West","77314000 ","Carol Yates",casprocurement@lancashire.gov.uk,"2nd Floor, Christ Church Precinct, County Hall,",,Preston,"PR1 8XJ",England,"01772 5 32330",,,"http://www3.lancashire.gov.uk/corporate/web/?siteid=6864&pageid=41137&e=e ",,01/04/2017,31/03/2021,31/01/2017,YES,"RFQ 15150527",Yes,No,No,Services,1200000,,08/05/2017,1200000,"[ADJ Ltd|Singletons Farm,	Midge Hall Lane,	Midge Hall,	Leyland,	Lancs.|||No|No][Alben Landscapes Ltd|Alben Depot,	Moss Lane,	Leyland,	Preston,|||No|No][Botanical Group Services Ltd|Suite 104 Glenfield Park,	Philips Road,	Blackburn Lancashire,|||No|No][Countrywide House,|Countrywide House,	Oak Green, Earl Road,	Cheadle Hulme, Cheshire,|||No|No][Hultons Landscapes Ltd|Barns Lane,	Warburton,	Lymm,|||No|No][Lancaster City Council|Lancaster Town Hall|||No|No][Landscape Engineering Ltd|Park Road,	PADIHAM,	BURNLEY,|||No|No][LCC Highways|Cuerden Way	Bamber Bridge	Preston|||No|No][Nurture Landscapes Ltd|Park Road	Rishton	Blackburn|||No|No][Richard Peel Groundcare Ltd|Pinhaw View	Ghyll Barnoldswick|||No|No][Sodexo Ltd|One Southampton Row	London.|||No|No]",,15/05/2017,30/09/2017,"Open ",
