"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
LGSS001-DN347266-07489734,Contract,"Cambridgeshire County Council",Awarded,2019-01-02T15:20:12Z,"March - Wisbech Transport Corridor Study (Including Governance for Railway Investment Projects (GRIP) 3 B Options Selection Rail)","Appointment of Mott MacDonald Ltd for consultancy services via the ESPO 664 framework.",,,"East Midlands","71311200 ",,Contracts@Milton-Keynes.gov.uk,"Shire Hall","Castle Street",Cambridge,"CB3 0AP",England,,,,,,28/11/2018,31/08/2019,02/11/2018,NO,,Yes,No,No,Services,933465,,28/11/2018,933465,"[Mott MacDonald Ltd|Fourth floor
9 Portland Street 
Manchester 
M1 3BE|NONE||No|No]",,29/11/2018,31/08/2019,"Other ",
PSPFW/015,Contract,"MINISTRY OF DEFENCE",Awarded,2016-08-03T10:25:17Z,"Transparency Notice of Direct Award to PSP for Assessment Study Addendum at RAF Waddington ASMT","Direct Award offered to Mott MacDonald Ltd to carry out an Addendum to a previous Assessment Study of the Airfield Servicing Mechanical Transport (ASMT) AT RAF Waddington",,LN59NB,"East Midlands","45000000 ",,DIOComrcl-2d2b@mod.uk,"1st Floor Bazalgette Pavilion","RAF Wyton",Huntingdon,"PE28 2EA",England,,,,,"Direct Award to Mott MacDonald to complete outsatanding Assessment Study ",03/08/2016,28/09/2016,03/08/2016,NO,,No,No,No,Services,30000,,27/07/2016,30000,"[Mott MacDonald Ltd|111 St Mary's Road
Sheffield
S2 4AP|||No|No]",,03/08/2016,28/09/2016," ",
7620113621,Contract,"FCO SERVICES",Awarded,2015-03-20T13:58:12Z,"Seismic Programme-Planning & Desk Study","Seismic Programme - Planning & Desk Study - Call Off from FCO CPG Framework - Contract Ref 2011/S 204-331733",,"MK19 7BH","South East","71240000 ",,CSCG.GovernanceSupport@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,"N/A ",29/04/2014,29/04/2014,29/04/2014,NO,,Yes,No,No,Services,27550.48,,29/04/2014,27550.48,"[Mott Macdonald Ltd|CR9 2UL|||No|No][Mott Macdonald Ltd|CR9 2UL|||No|No][Mott Macdonald Ltd|CR9 2UL|||No|No]",,29/04/2014,29/04/2014," ",
7620113629,Contract,"FCO SERVICES",Awarded,2015-03-20T13:40:13Z,"Seismic Programme-Planning & Desk Study","Seismic Programme - Planning & Desk Study - Call Off from FCO CPG Framework - Contract Ref 2011/S 204-331733",,"MK19 7BH","South East","71240000 ",,CSCG.GovernanceSupport@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,"N/A ",29/04/2014,29/04/2014,29/04/2014,NO,,Yes,No,No,Services,26431.92,,29/04/2014,26431.92,"[Mott Macdonald Ltd|CR9 2UL|||No|No][Mott Macdonald Ltd|CR9 2UL|||No|No][Mott Macdonald Ltd|CR9 2UL|||No|No]",,29/04/2014,29/04/2014," ",
7620114634,Contract,"FCO SERVICES",Awarded,2015-03-20T13:33:15Z,"Seismic Programme-Planning & Desk Study","Seismic Programme - Planning & Desk Study - Call Off from FCO CPG Framework - Contract Ref 2011/S 204-331733",,"MK19 7BH","South East","71240000 ",,CSCG.GovernanceSupport@fco.gov.uk,"Hanslope Park",,"Milton Keynes","MK19 7BH",England,,,,,"N/A ",30/07/2014,30/07/2014,30/07/2014,NO,,Yes,No,No,Services,11000,,30/07/2014,11000,"[Mott Macdonald Ltd|CR9 2UL|||No|No][Mott Macdonald Ltd|CR9 2UL|||No|No][Mott Macdonald Ltd|CR9 2UL|||No|No]",,30/07/2014,30/07/2014," ",
tender_124944/590179,Contract,"Defra Network eTendering Portal",Awarded,2017-06-08T16:28:18Z,"Motts - Weybridge Secondment","Contract to support the scoping of Weybridge capital projects and associated services via the advent of utilising the EA/Mott MacDonald PS framework (Property Design and Specification Services Contract 9Y8C-TM97UR",,,"Any region","66122000 72224000 90700000 90710000 ",,Network.Procurement@defra.gsi.gov.uk,DEFRA,,London,"SW1P 3JR",England,,,,,"
Please note that Defra procurement uses e-tendering, provided by Bravosolutions. In order to access the Bravo system you will need to be registered.
Could I therefore request that you register on the Bravo portal for Defra.
If you're already registered on the Bravo portal please check that your registration includes Defra, as you have to specify us in order to correctly receive the tender documents.
If you have any problems with the registration process, please contact the Bravo helpline on 0800 368 4850 or alternatively email them at help@bravosolution.co.uk. The link you require for new registration/amendments to registrations is -
https://defra.bravosolution.co.uk",15/05/2017,15/07/2017,14/04/2017,NO,,Yes,Yes,No,Services,75211,,15/05/2017,75211.82,"[Mott MacDonald Ltd|Fitzalan House, Fitzalan Road, Cardiff, South Glamorgan,CF24 0EL,UNITED KINGDOM|||No|No]",,15/05/2017,15/07/2017,"Restricted ",
7620124511,Contract,"FCO SERVICES",Awarded,2018-02-27T12:17:58Z,"Seismic Programme - Planning & Desk Study","Seismic Programme - Planning & Desk Study - Call Off from FCO CPG Framework - Contract Ref 2011/S 204-331733",,MK197BH,,"71240000 ",,purchasing.enquiries@fco.gov.uk,"HANSLOPE PARK",,"MILTON KEYNES",MK197BH,England,,,,,NA,06/10/2017,31/12/2017,05/10/2017,NO,,Yes,No,No,Products,22356.25,,05/10/2017,22356.25,"[MOTT MACDONALD LTD|CR9 2UL|NONE||No|No][MOTT MACDONALD LTD|CR9 2UL|NONE||No|No]",,06/10/2017,31/12/2017,"CompetitiveDialogueOJEU ",
tender_124944/636349,Contract,"Defra Network eTendering Portal",Awarded,2017-11-30T20:02:04Z,"Natural England - East Dartmoor NNR Design and construction of a replacement dam at Yarner Wood","Enter into a Design and Build contract with Mott MacDonald (under the Defra framework) to construct a large box culvert and track way to replace a section of the leaking dam wall at Yarner Wood. The contract would incorporate 1) Project Management (incl. CDM) and Professional Services throughout the scheme, and 2) scoping, investigations and design (incl. permissions, consents).

 Year 1 (2016-17) objectives are to complete part 2) above.

 Year 2 (2017-18) objectives are complete construction and any necessary post-construction evaluation and monitoring",,,"Any region","45221220 45247000 45247210 45262640 ",,Supplier.enquiries@naturalengland.org.uk,"Natural England",,Peterborough,"PE1 1NG",England,,,,,"
Please note that Defra procurement uses e-tendering, provided by Bravosolutions. In order to access the Bravo system you will need to be registered.
Could I therefore request that you register on the Bravo portal for Defra.
If you're already registered on the Bravo portal please check that your registration includes Defra, as you have to specify us in order to correctly receive the tender documents.
If you have any problems with the registration process, please contact the Bravo helpline on 0800 368 4850 or alternatively email them at help@bravosolution.co.uk. The link you require for new registration/amendments to registrations is -
https://defra.bravosolution.co.uk",30/01/2017,28/03/2018,30/12/2016,YES,tender_124944/633229,Yes,Yes,No,Works,78247,,30/01/2017,78247.56,"[Mott MacDonald Ltd|Fitzalan House, Fitzalan Road, Cardiff, South Glamorgan, CF24 0EL, UNITED KINGDOM|NONE||No|No]",,30/01/2017,28/03/2018,"Other ",
tender_124944/636237,Contract,"Defra Network eTendering Portal",Awarded,2017-11-30T12:37:16Z,"Strategic Programme Support","EA FRAMEWORK: MOTT MACDONALD CALL-OFF",,,"South East","71242000 71541000 ",,Network.Procurement@defra.gsi.gov.uk,DEFRA,,London,"SW1P 3JR",England,,,,,"
Please note that Defra procurement uses e-tendering, provided by Bravosolutions. In order to access the Bravo system you will need to be registered.
Could I therefore request that you register on the Bravo portal for Defra.
If you're already registered on the Bravo portal please check that your registration includes Defra, as you have to specify us in order to correctly receive the tender documents.
If you have any problems with the registration process, please contact the Bravo helpline on 0800 368 4850 or alternatively email them at help@bravosolution.co.uk. The link you require for new registration/amendments to registrations is -
https://defra.bravosolution.co.uk",01/08/2017,31/12/2017,30/06/2017,NO,,Yes,Yes,No,Services,297693,,06/07/2017,297693,"[Mott MacDonald Ltd|Fitzalan House, Fitzalan Road, Cardiff, CF24 0EL, United Kingdom|NONE||No|No]",,01/08/2017,31/12/2017,"Other ",
tender_124944/604434,Contract,"Defra Network eTendering Portal",Awarded,2017-08-10T20:25:54Z,"Undertaking Water Risk Assessments for Legionella on NNR Buildings","Natural England manages their NNR buildings estate in-house without the benefit of a facilities management company such as Interserve. On occasions we need to buy in expertise to ensure we keep our buildings compliant with various aspects of legislation. In the past we have bought in services to carry out Fire Risk Assessments and Asbestos Management Surveys. 

 At the end of the last F/Y we commissioned Mott MacDonald working with Hydrop to carry out Water Risk Assessments on a sample of our NNR buildings. 

 We have an additional 31 buildings, spread across 22 workbases for which we have no relevant information. We are therefore not compliant with The Control of Legionella bacteria in water systems - Approved Code of Practice & Guidance on Regulations:2013.

 Water Risk Assessments and Reviews for the sites named - A suitable and sufficient assessment in accordance with the HSE's Approved Code of Practice L8 is required to identify and assess the risk of exposure to legionella bacteria from work activities and water systems on the premises and any necessary precautionary measures. The assessment will include identification and evaluation of potential sources of risk and:

 - the particular means by which exposure to legionella bacteria is to be prevented; or

 - if prevention is not reasonably practicable, the particular means by which the risk from exposure to legionella bacteria is to be controlled.",,,"Any region","31161400 44112000 45261420 45262640 71313410 ",,Supplier.enquiries@naturalengland.org.uk,"Natural England",,Peterborough,"PE1 1NG",England,,,,,"
Please note that Defra procurement uses e-tendering, provided by Bravosolutions. In order to access the Bravo system you will need to be registered.
Could I therefore request that you register on the Bravo portal for Defra.
If you're already registered on the Bravo portal please check that your registration includes Defra, as you have to specify us in order to correctly receive the tender documents.
If you have any problems with the registration process, please contact the Bravo helpline on 0800 368 4850 or alternatively email them at help@bravosolution.co.uk. The link you require for new registration/amendments to registrations is -
https://defra.bravosolution.co.uk",16/08/2017,27/10/2017,14/07/2017,NO,,Yes,Yes,No,Works,21700,,08/08/2017,21700,"[Mott MacDonald Ltd|Fitzalan House, Fitzalan Road, Cardiff, South Glamorgan, CF24 0EL, UNITED KINGDOM|||No|No]",,16/08/2017,27/10/2017,"Restricted ",
tender_143218/587379,Contract,"Defra Network eTendering Portal",Awarded,2017-05-26T18:09:42Z,"Provision of Professional Services (PM & QS) - Re:Ne Humberhead Peatlands NNR Project","The services are for Professional Services to support Defra's administration and governing of the design and construction of a new base at Natural England's (NE) Humberhead Peatlands, National Nature Reserve (NNR).

 This contract is designed to provide a suite of professional services to advise the Employer on the best course of action with regards to achieving a value-for-money outcome and as far a reasonably practical ensuring the Supplier delivers its obligations under its contract with Defra.
• Professional Services provided by the Consultant are as follows:
• Project Management (PM)
 Services to assist in the delivery of the project including contract advisory role, contract management of an NEC3 Option A, liaison with the NE / NNR stakeholders responsible for the site. Defra will be looking to Mott MacDonald to assist in the validation of Early Warning Notices, Change Requests and Compensation Events submitted by Supplier, as well as assisting with the preparation of Project Managers Instructions.
• Cost Consultancy/Quantity Surveyor (QS)
 Including services to assist the Project Sponsor, Procurement and Legal team to develop the NEC3 Construction Contract. The ranges of services for the QS role are applicable to a new build of works related to this project. The role involves at Pre-contract Cost Advice and Cost Management Duties.

 Both role(s) will report to Natural England's Project Manager and will assist in the different reporting and in the management of risk. The role will also involve as far as reasonably practical ensuring that works are delivered to programme and in scope.

 The Defra Project Sponsor will ultimately retain the sign-off rights with regard to accepting Compensation Events (issued by Supplier), issuing Project Manager Instructions (to Supplier) related to the Defra-NEC3 construction contract.",,,"Any region","45223000 98112000 44112000 72224000 ",,Supplier.enquiries@naturalengland.org.uk,"Natural England",,Peterborough,"PE1 1NG",England,,,,,"
Please note that Defra procurement uses e-tendering, provided by Bravosolutions. In order to access the Bravo system you will need to be registered.
Could I therefore request that you register on the Bravo portal for Defra.
If you're already registered on the Bravo portal please check that your registration includes Defra, as you have to specify us in order to correctly receive the tender documents.
If you have any problems with the registration process, please contact the Bravo helpline on 0800 368 4850 or alternatively email them at help@bravosolution.co.uk. The link you require for new registration/amendments to registrations is -
https://defra.bravosolution.co.uk",12/04/2017,31/05/2018,10/03/2017,NO,,Yes,Yes,No,Services,64530,,25/05/2017,64530,"[Mott MacDonald Ltd|Fitzalan House, Fitzalan Road, Cardiff, South Glamorgan, CF24 0EL, UNITED KINGDOM|||No|No]",,12/04/2017,31/05/2018,"AwardWithoutPriorPublication ",
