"Notice Identifier","Notice Type","Organisation Name",Status,"Published Date",Title,Description,Nationwide,Postcode,Region,"Cpv Codes","Contact Name","Contact Email","Contact Address 1","Contact Address 2","Contact Town","Contact Postcode","Contact Country","Contact Telephone","Contact Website",Attachments,Links,"Additional Text","Start Date","End Date","Closing Date","Is sub-contract","Parent Reference","Suitable for SME","Suitable for VCO","Supply Chain","OJEU Contract Type","Value Low","Value High","Awarded Date","Awarded Value","Supplier [Name|Address|Ref type|Ref Number|Is SME|Is VCSE]","Supplier's contact name","Contract start date","Contract end date","OJEU Procedure Type","Accelerated Justification","Closing Time"
"RM971 - Interquest Group (UK) Ltd",Contract,"CROWN COMMERCIAL SERVICE",Awarded,2015-09-17T13:15:53Z,"The Supply of Non Medical Non Clinical (NMNC) and Fixed Term Staff","This Framework Agreement is for the Supply of Non Medical Non Clinical temporary and fixed term staff. The Framework Agreement will bring together a comprehensive range of suppliers providing a mix of national and local coverage.

This Framework Agreement comprises of eight (8) lots, listed as followed:

Lot 1 — Neutral Vendor Supply,

Lot 2 — Master Vendor Supply,

Lot 3 — Admin and Clerical Supply,

Lot 4 — Corporate Functions Supply,

Lot 5 — IT Professionals Supply,

Lot 6 — Legal Supply,

Lot 7 — Clinical Coding Supply,

Lot 8 — Ancillary Staff Supply.",,,"Any region","79600000 85100000 ",,nmnc@crowncommercial.gov.uk,"The Capital, 9th Floor,","Old Hall Street,",Liverpool,"L3 9PP",England,"0345 010 3503",www.gov.uk/ccs,"Interquest Group - REDACTED.docx ",,,01/07/2015,30/06/2017,07/01/2015,YES,"RM971 - Access Computer Consulting plc",Yes,Yes,No,Services,600000000,2000000000,23/06/2015,0,"[Interquest Group (UK) Ltd|6-7 St Cross Street, London EC1N 8UA|||No|No]",,01/07/2015,30/06/2017,"Open ",
XLY999/900/07/M(3),Contract,"FCO SERVICES",Awarded,2020-10-06T12:20:59Z,"GPS NPS Framework","Government Procurement Service Non Permanent Staff Framework ref XLY999/900/07/M(3)",,"mk19 7bh",,"79620000 ",,PurchasingEnquiries@fco.gov.uk,"Hanslope Park",,"MILTON KEYNES",MK197BH,England,,,,,,25/08/2020,05/02/2021,24/08/2020,NO,,Yes,No,No,Products,81116.5,,24/08/2020,81116.5,"[INTERQUEST GROUP UK LTD|HP4 2DF|NONE_OTHER||Yes|No]",,25/08/2020,05/02/2021,"CallOffFromFrameworkAgreement ",,00:00
